Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Saint Vincent and the Grenadines's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Saint Vincent and the Grenadines (%)	
"Total"	98368	-273578	100	-12	169		100	3				
"Netherlands"	54810	-25362	55.7	751	7576	8	2.8	5	3706	0.07		
"India"	11982	11026	12.2			10	2.6	2	5793	0.05		
"United States of America"	6174	-96150	6.3	4	4	1	13.4	3	7938	0.08		
"Barbados"	6008	-4399	6.1	-3	-14	161	0	0	4992	0.21		
"Saudi Arabia"	5171	5171	5.3	157	109896	32	0.7	3	5816	0.07		
"Switzerland"	4401	1746	4.5	3	-14	20	1.5	4	3384	0.07		
"Grenada"	2949	1222	3	0	31	191	0	-1	4157	0.2		
"Greece"	2903	1254	3	5	-26	45	0.3	4	2847	0.05		
"Thailand"	1082	202	1.1	-37	47666	23	1.2	2	4905	0.09		
"United Kingdom"	695	-16853	0.7	-3	-24	7	3.2	1	3930	0.06		
"Japan"	666	-4011	0.7	-29	-68	4	3.5	1	6256	0.09		
"France"	376	-21833	0.4	-66	-63	6	3.2	1	3195	0.06		
"Germany"	223	-2636	0.2		-1	3	6.5	3	3376	0.05		
"Guyana"	216	-10984	0.2	0	26	144	0.02	13	11175	0.21		
"Angola"	128	127	0.1			100	0.05	-11	7692	0.06		
"Italy"	81	-4370	0.1	25	-96	11	2.5	2	2891	0.06		
"Canada"	60	-18051	0.1	-23	-29	14	2.2	1	5042	0.26		
"Czech Republic"	52	43	0.1		189	28	1	4	2987	0.1		
"Dominican Republic"	48	-2739	0	55	1298	67	0.1	5	6446	0.22		
"Tajikistan"	39	39	0			142	0.02	9	2803	0.17		
"Singapore"	32	-9941	0	506	123	16	1.9	3	5773	0.07		
"Poland"	29	-66	0	-58	-98	18	1.5	8	3121	0.08		
"Belgium"	28	-359	0	81	-96	12	2.4	3	2709	0.08		
"Ireland"	28	-822	0	76	-53	36	0.5	4	3265	0.1		
"South Africa"	26	-221	0	-13		41	0.4	-1	9230	0.07		
"Austria"	22	-499	0	-32		27	1	3	1514	0.18		
"Luxembourg"	16	16	0	27	433	71	0.1	3	1488	0.14		
"Korea, Republic of"	16	-2184	0	30	-63	9	2.8	4	5699	0.09		
"Spain"	15	-434	0	-60		15	1.9	3	3890	0.05		
"Mozambique"	14	6	0	13		108	0.04	8	6196	0.1		
"Bolivia, Plurinational State of"	12	12	0			106	0.04	-3	7978	0.11		
"Burkina Faso"	12	12	0	30		136	0.02	5	6109	0.05		
"Slovakia"	9	9	0	1	-18	38	0.5	4	2664	0.07		
"Philippines"	7	7	0	-62		34	0.6	2	4354	0.09		
