Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Saudi Arabia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Saudi Arabia (%)	
"World"	267546847	115212888	100	-1	52		100	3				
"Area Nes"	206096179	205963777	77	-2	56							
"China"	9286700	-21784940	3.5	7	19	2	11.1	5	6416	0.04		
"United Arab Emirates"	5473645	-7063860	2	-11	11	29	0.9	-2	5715	0.08		
"India"	4925395	-3116684	1.8	12	62	10	2.6	2	5793	0.05		
"Turkey"	3367938	3310257	1.3	11	93	22	1.2	3	4285	0.05		
"Singapore"	3089002	1487943	1.2	-4	13	16	1.9	3	5773	0.07		
"Belgium"	2789446	869275	1	3	120	12	2.4	3	2709	0.08		
"Egypt"	2507682	-1687763	0.9	9	60	46	0.3	-1	5219	0.05		
"United States of America"	2285007	-13261250	0.9	6	104	1	13.4	3	7938	0.08		
"Jordan"	1714855	379088	0.6	4	48	84	0.08	0	5167	0.07		
"Kuwait"	1565213	1002495	0.6	-8	12	76	0.1	-3	5837	0.07		
"Korea, Republic of"	1259128	-2142239	0.5	7	53	9	2.8	4	5699	0.09		
"Malaysia"	1200765	-234348	0.4	-3	4	25	1.1	3	5172	0.09		
"Brazil"	1163740	-1264901	0.4	32	119	26	1	6	10879	0.09		
"Pakistan"	1140483	591881	0.4	2	62	47	0.3	2	4850	0.11		
"Bahrain"	1136929	-1468641	0.4	-13	29	101	0.05	1	6359	0.08		
"Yemen"	1103863	877603	0.4	20	23	107	0.04	11	5706	0.11		
"Bangladesh"	931959	441800	0.3	17	62	49	0.3	6	4172	0.15		
"Japan"	928685	-5140665	0.3	-6	51	4	3.5	1	6256	0.09		
"Spain"	850015	-1584529	0.3	5	64	15	1.9	3	3890	0.05		
"Oman"	839056	-948878	0.3	-5	0	83	0.08	-6	5977	0.08		
"Iraq"	776000	757515	0.3	9	16	62	0.2	3	4107	0.18		
"South Africa"	753781	-84797	0.3	8	87	41	0.4	-1	9230	0.07		
"Italy"	713737	-3803730	0.3	-5	104	11	2.5	2	2891	0.06		
"Thailand"	702077	-1607365	0.3	2	8	23	1.2	2	4905	0.09		
"Viet Nam"	692548	-758645	0.3	-4	8	19	1.5	8	3535	0.19		
"Algeria"	672871	645644	0.3	3	34	64	0.2	-8	4584	0.07		
"Australia"	648353	-769767	0.2	22	-17	24	1.1	1	10262	0.1		
"Nigeria"	570945	546936	0.2	14	273	53	0.2	17	7792	0.1		
"Netherlands"	537987	-1667685	0.2	-7	16	8	2.8	5	3706	0.07		
"Switzerland"	533765	-1630015	0.2	7	-8	20	1.5	4	3384	0.07		
"Taipei, Chinese"	520797	-687689	0.2		26	17	1.7	8	5007	0.1		
"Morocco"	485645	348824	0.2	2	47	52	0.3	4	4316	0.07		
"Indonesia"	470480	-1772903	0.2	-3	27	30	0.9	2	5872	0.11		
"Kenya"	427355	339270	0.2	14	27	80	0.09	2	6680	0.08		
"Portugal"	380964	193180	0.1	53	142	40	0.4	2	2788	0.14		
"Sudan"	374761	33796	0.1	-18	48	122	0.03	-2		0.13		
"Poland"	307023	-925685	0.1	-6	51	18	1.5	8	3121	0.08		
"United Kingdom"	253040	-3414213	0.1	-22	74	7	3.2	1	3930	0.06		
"Tunisia"	238345	170377	0.1	-2	59	78	0.10	-1	3411	0.06		
"Greece"	215742	-362579	0.1	4	49	45	0.3	4	2847	0.05		
"New Zealand"	192817	-251561	0.1	12	46	56	0.2	3	11141	0.09		
"Hong Kong, China"	187821	-1116411	0.1	-18	48	5	3.3	3	2841	0.22		
"Tanzania, United Republic of"	177347	163828	0.1	8	18	102	0.05	7	6633	0.1		
"Djibouti"	152197	130800	0.1	2	42	130	0.02	5	6387	0.22		
"Côte d'Ivoire"	141012	135072	0.1	10	51	93	0.06	9	6793	0.08		
"Lebanon"	137912	-9412	0.1	-30	-1	97	0.06	-12	3592	0.06		
"Ghana"	137890	134693	0.1	7	69	82	0.08	8	8888	0.18		
"Ukraine"	122614	-641012	0	24	214	48	0.3	7	3255	0.06		
"Libya, State of"	119480	119388	0	3	2	89	0.07	12	3475	0.08		
"Peru"	110895	90532	0	1	69	54	0.2	3	10420	0.13		
"Germany"	105175	-7308285	0	-27	68	3	6.5	3	3376	0.05		
"France"	97463	-4015605	0	-36	31	6	3.2	1	3195	0.06		
"Mozambique"	94861	91773	0	32	-5	108	0.04	8	6196	0.1		
"Sweden"	94192	-1348259	0	2	48	31	0.9	3	2128	0.07		
"Colombia"	84592	24912	0	12	344	51	0.3	4	8915	0.13		
"Guatemala"	80614	-105557	0		168	68	0.1	7	5828	0.15		
"Argentina"	79672	-769997	0	-2	82	50	0.3	-5	10631	0.1		
"Russian Federation"	76591	-1123147	0	25	110	21	1.3	5	4187	0.09		
"Sri Lanka"	71890	-41062	0	-2	-5	85	0.08	-3	4351	0.16		
"Syrian Arab Republic"	69001	-251612	0	-11	162588	139	0.02	-3	2496	0.27		
"Mexico"	63449	-814208	0	29	64	13	2.3	2	7039	0.24		
"Ethiopia"	61713	-167902	0	-7	17	90	0.07	1	6305	0.11		
"Canada"	53131	-1562353	0	-16	-28	14	2.2	1	5042	0.26		
"Ecuador"	53020	-81796	0	18	136	69	0.1	3	9174	0.12		
"Palestine, State of"	50569	28310	0	36	103	176	0	8	3026	0.1		
"Estonia"	49685	-22802	0	-4	102	73	0.1	6	2314	0.06		
"Togo"	48354	46776	0	2	-1	153	0.01	10	7318	0.08		
"Philippines"	46988	-142009	0	-23	11	34	0.6	2	4354	0.09		
"Dominican Republic"	46683	35157	0	46	266	67	0.1	5	6446	0.22		
"Malta"	43988	-20839	0	14	-16	120	0.03	1	3249	0.08		
"Senegal"	41688	41237	0	2	70	110	0.04	4	6632	0.05		
"Somalia"	41141	-5487	0	-7	-9	150	0.01	9	5305	0.16		
"Bulgaria"	41027	-206568	0	53	182	57	0.2	6	2237	0.05		
"Guinea"	38974	38838	0	2	52	135	0.02	7	9140	0.19		
"Mauritania"	35088	34870	0	18	35	146	0.02	1	5817	0.07		
"Denmark"	31579	-750119	0	11	6	35	0.6	5	2182	0.08		
"El Salvador"	31187	24939	0	10	380	88	0.07	9	4914	0.15		
"Angola"	28361	28046	0	-10	135	100	0.05	-11	7692	0.06		
"Cameroon"	24216	21082	0	11	55	116	0.03	8	7279	0.14		
"Myanmar"	22723	-46324	0	-23	-69	79	0.10	-1	2536	0.25		
"Uganda"	21757	15855	0	-7	31	132	0.02	11	5788	0.09		
"Paraguay"	20877	6013	0	24	98	92	0.06	0	7311	0.15		
