Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Senegal's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Senegal (%)	
"World"	4486066	-3799390	100	9	14		100	3				
"Mali"	1027273	1024580	22.9	13	24	141	0.02	9	5008	0.1		
"India"	509129	-144073	11.3	27	70	10	2.6	2	5793	0.05		
"Switzerland"	354383	293742	7.9	2	-27	20	1.5	4	3384	0.07		
"China"	340440	-480767	7.6	31	29	2	11.1	5	6416	0.04		
"Côte d'Ivoire"	211539	116065	4.7	13	10	93	0.06	9	6793	0.08		
"Spain"	190433	-219484	4.2	11	53	15	1.9	3	3890	0.05		
"Ship stores and bunkers"	147817	147817	3.3	-2	-1	75	0.1	-11		0.16		
"Gambia"	145638	139185	3.2	8	30	167	0	7	8260	0.14		
"Guinea"	135073	132203	3	7	-9	135	0.02	7	9140	0.19		
"United States of America"	121441	-99015	2.7	6	3	1	13.4	3	7938	0.08		
"Netherlands"	117859	-329440	2.6	3	71	8	2.8	5	3706	0.07		
"Australia"	106894	86016	2.4	358	-50	24	1.1	1	10262	0.1		
"Italy"	105303	-56030	2.3	-1	95	11	2.5	2	2891	0.06		
"Mauritania"	82631	79320	1.8	1	16	146	0.02	1	5817	0.07		
"Norway"	75911	23093	1.7	47	37	39	0.5	3	3470	0.06		
"France"	70880	-854931	1.6	-3	-8	6	3.2	1	3195	0.06		
"United Kingdom"	69819	-30500	1.6	3	11	7	3.2	1	3930	0.06		
"Burkina Faso"	61853	61675	1.4	-1	19	136	0.02	5	6109	0.05		
"Guinea-Bissau"	60337	60029	1.3	-2	5	195	0	2	5802	0.16		
"Mexico"	55004	50493	1.2	39	127	13	2.3	2	7039	0.24		
"Viet Nam"	39333	30523	0.9	48	103	19	1.5	8	3535	0.19		
"Congo"	35431	33274	0.8	-8	29	154	0.01	-18	6851	0.07		
"Korea, Republic of"	30465	-45646	0.7	-4	-5	9	2.8	4	5699	0.09		
"United Arab Emirates"	28788	-324974	0.6	-30	-35	29	0.9	-2	5715	0.08		
"Cameroon"	25979	356	0.6	5	-14	116	0.03	8	7279	0.14		
"Benin"	25047	22975	0.6	8	45	149	0.01	-2	6481	0.07		
"Togo"	24718	-6507	0.6	-1	29	153	0.01	10	7318	0.08		
"Ghana"	23984	-49817	0.5	4	56	82	0.08	8	8888	0.18		
"Niger"	22154	21373	0.5	2	8	162	0	13	5715	0.09		
"Nigeria"	20307	-497673	0.5	-3	-15	53	0.2	17	7792	0.1		
"Hungary"	16193	11840	0.4	360	52986	33	0.6	6	2180	0.09		
"Japan"	15635	-130323	0.3	21	46	4	3.5	1	6256	0.09		
"Bangladesh"	14947	14780	0.3	8	77	49	0.3	6	4172	0.15		
"Gabon"	14007	10466	0.3	27	129	158	0.01	-2	7114	0.11		
"Lebanon"	13728	1439	0.3	-9	65	97	0.06	-12	3592	0.06		
"Brazil"	12685	-139096	0.3	16	1679	26	1	6	10879	0.09		
"Morocco"	10698	-133070	0.2	21	-2	52	0.3	4	4316	0.07		
"Belgium"	10093	-222557	0.2			12	2.4	3	2709	0.08		
"Greece"	9491	-4903	0.2	10	37	45	0.3	4	2847	0.05		
"European Union Nes"	8294	-172212	0.2	2	-83							
"Chad"	8045	8041	0.2	-30	13	184	0	13	6931	0.16		
"Sierra Leone"	7057	-9651	0.2	-15	-42	170	0	10	8820	0.13		
"Portugal"	5758	-28141	0.1	-20	33	40	0.4	2	2788	0.14		
"Area Nes"	5385	-22784	0.1	-6	65							
"Turkey"	5071	-370324	0.1	32	-44	22	1.2	3	4285	0.05		
"Ukraine"	5008	-125007	0.1	30	161	48	0.3	7	3255	0.06		
"Eswatini"	3590	3447	0.1	7	-44	160	0	1	1597	0.74		
"Central African Republic"	3470	2834	0.1	-18	-56	199	0	7	6606	0.08		
"Liberia"	3388	514	0.1	-20	9	87	0.07	17	11608	0.19		
"Germany"	3264	-124625	0.1	-9	-56	3	6.5	3	3376	0.05		
"Ecuador"	2913	2913	0.1	33	20	69	0.1	3	9174	0.12		
"Equatorial Guinea"	2860	2857	0.1	12	-32	182	0	2	6008	0.11		
"Haiti"	2834	2701	0.1		86	140	0.02	0	6340	0.18		
"Tunisia"	2811	-40342	0.1	10	25	78	0.10	-1	3411	0.06		
"New Zealand"	2389	1590	0.1	48	35	56	0.2	3	11141	0.09		
"Singapore"	2366	-32877	0.1	-1	7	16	1.9	3	5773	0.07		
"Congo, Democratic Republic of the"	2291	1159	0.1	-5	-34	111	0.04	13	6479	0.14		
"Zambia"	1788	1788	0	13	40	119	0.03	-9	5447	0.14		
"Poland"	1379	-39217	0	-27	-21	18	1.5	8	3121	0.08		
"Cabo Verde"	1367	-1684	0	-26	-26	181	0	4	5196	0.21		
"Egypt"	1264	-56197	0	32	53	46	0.3	-1	5219	0.05		
"Canada"	1239	-44554	0	-6	-26	14	2.2	1	5042	0.26		
"Uganda"	1227	1021	0	40	72	132	0.02	11	5788	0.09		
"Israel"	1151	-8111	0	-22	-31	42	0.4	4	5483	0.07		
"Brunei Darussalam"	1141	1122	0	3	-72	109	0.04	26	5185	0.11		
"Tanzania, United Republic of"	1093	979	0	23	-36	102	0.05	7	6633	0.1		
"Malaysia"	958	-156290	0	-10	-71	25	1.1	3	5172	0.09		
"Sudan"	902	-10532	0	-4	-25	122	0.03	-2		0.13		
"Mozambique"	854	-6923	0	89	124	108	0.04	8	6196	0.1		
"Indonesia"	854	-28045	0	-5	-65	30	0.9	2	5872	0.11		
"Taipei, Chinese"	827	-1994	0	-15	-50	17	1.7	8	5007	0.1		
"South Africa"	798	-123924	0	-37	400	41	0.4	-1	9230	0.07		
"Hong Kong, China"	786	-20401	0	-40	23	5	3.3	3	2841	0.22		
"Panama"	753	358	0	81	1003	60	0.2	1	8657	0.12		
"Peru"	733	657	0		-23	54	0.2	3	10420	0.13		
"Colombia"	556	-1453	0	3	-86	51	0.3	4	8915	0.13		
"Chile"	513	62	0	-15	248	43	0.4	6	11582	0.13		
"Russian Federation"	450	-553273	0	-37	232	21	1.3	5	4187	0.09		
"Thailand"	420	-79072	0	-49	-61	23	1.2	2	4905	0.09		
"Angola"	411	-4039	0	0	-67	100	0.05	-11	7692	0.06		
"Algeria"	352	-8697	0	-3	-49	64	0.2	-8	4584	0.07		
"Sweden"	339	-19398	0	-54	337	31	0.9	3	2128	0.07		
"Bulgaria"	336	-5939	0	-23	-18	57	0.2	6	2237	0.05		
"Mauritius"	294	-866	0	89	-83	133	0.02	-2	7320	0.08		
"Botswana"	256	256	0	-14		124	0.03	2	2968	0.52		
"Korea, Democratic People's Republic of"	254	-7295	0	-49	42	200	0	-49	1470	0.87		
"Madagascar"	243	114	0	56	-42	138	0.02	2	7339	0.08		
"Iceland"	234	-14128	0	5	-72	112	0.04	-1	4251	0.05		
"Tonga"	208	208	0			202	0	4	5771	0.16		
"Denmark"	200	-7898	0	-26	-89	35	0.6	5	2182	0.08		
"Burundi"	182	182	0	32	106	188	0	13	4755	0.14		
