Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Seychelles's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Seychelles (%)	
"Total"	668369	52016	100	2	3		100	3				
"France"	152684	100061	22.8	3	22	6	3.2	1	3195	0.06		
"Japan"	79906	78037	12	8	-7	4	3.5	1	6256	0.09		
"United Kingdom"	72039	48123	10.8	-4	2	7	3.2	1	3930	0.06		
"Mauritius"	66014	41949	9.9	-2	28	133	0.02	-2	7320	0.08		
"Italy"	45418	8876	6.8	-3	20	11	2.5	2	2891	0.06		
"Spain"	40754	-40020	6.1	-5	22	15	1.9	3	3890	0.05		
"Netherlands"	24439	7037	3.7	15	16	8	2.8	5	3706	0.07		
"Turkey"	21366	9097	3.2	9	136	22	1.2	3	4285	0.05		
"Guatemala"	13608	13608	2	125	1931	68	0.1	7	5828	0.15		
"Pakistan"	12819	11306	1.9	89	2633	47	0.3	2	4850	0.11		
"Madagascar"	12762	10452	1.9	0	37	138	0.02	2	7339	0.08		
"United States of America"	12053	694	1.8	-3	39	1	13.4	3	7938	0.08		
"Indonesia"	12017	9091	1.8	43	-52	30	0.9	2	5872	0.11		
"Colombia"	11840	11840	1.8	42	261	51	0.3	4	8915	0.13		
"Tunisia"	9956	6160	1.5	61	168	78	0.10	-1	3411	0.06		
"Germany"	8555	-8592	1.3	19	60	3	6.5	3	3376	0.05		
"Taipei, Chinese"	8036	357	1.2	39	10	17	1.7	8	5007	0.1		
"Denmark"	6693	2088	1	-7	50	35	0.6	5	2182	0.08		
"Korea, Republic of"	5610	-8158	0.8	-13	59	9	2.8	4	5699	0.09		
"Ecuador"	5260	5260	0.8	63	295	69	0.1	3	9174	0.12		
"Hong Kong, China"	5090	1972	0.8	29	73	5	3.3	3	2841	0.22		
"Ireland"	5076	4016	0.8	266	252033	36	0.5	4	3265	0.1		
"India"	3720	-37099	0.6	32	5	10	2.6	2	5793	0.05		
"South Africa"	2670	-56555	0.4	0	-13	41	0.4	-1	9230	0.07		
"Israel"	2653	2653	0.4	18	-65	42	0.4	4	5483	0.07		
"Belgium"	2407	-4426	0.4	-4	6	12	2.4	3	2709	0.08		
"Finland"	2359	-759	0.4	6	-8	44	0.4	3	2842	0.07		
"Thailand"	2293	-7107	0.3	-45	-90	23	1.2	2	4905	0.09		
"Luxembourg"	2127	2109	0.3	6	19	71	0.1	3	1488	0.14		
"Estonia"	2029	2003	0.3	159	3958	73	0.1	6	2314	0.06		
"Latvia"	1868	1804	0.3	15	199	77	0.1	7	1575	0.08		
"Canada"	1725	918	0.3	27	110	14	2.2	1	5042	0.26		
"Australia"	1620	-1758	0.2	-17	16	24	1.1	1	10262	0.1		
"Hungary"	1567	1313	0.2	2	113	33	0.6	6	2180	0.09		
"Portugal"	1030	-4398	0.2	20	-51	40	0.4	2	2788	0.14		
"Brazil"	910	-7464	0.1	40	606	26	1	6	10879	0.09		
"Greece"	671	-910	0.1	113	3628	45	0.3	4	2847	0.05		
"Switzerland"	666	-28580	0.1	-62	52	20	1.5	4	3384	0.07		
"Nigeria"	636	636	0.1	226	-81	53	0.2	17	7792	0.1		
