Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Sierra Leone's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Sierra Leone (%)	
"Total"	911445	-586692	100	0	60		100	3				
"China"	356501	-86587	39.1	-1	125	2	11.1	5	6416	0.04		
"Belgium"	195423	70276	21.4	7	49	12	2.4	3	2709	0.08		
"Germany"	77742	59299	8.5	25	194	3	6.5	3	3376	0.05		
"Romania"	68194	67425	7.5	-3	55	37	0.5	6	1891	0.07		
"Netherlands"	43041	-16607	4.7	-4	-17	8	2.8	5	3706	0.07		
"France"	29151	15353	3.2	4	31	6	3.2	1	3195	0.06		
"United States of America"	17523	-97320	1.9	-16	-46	1	13.4	3	7938	0.08		
"Senegal"	16708	9651	1.8	26	282	110	0.04	4	6632	0.05		
"India"	14689	-176757	1.6	-7	10	10	2.6	2	5793	0.05		
"Korea, Republic of"	13601	4666	1.5	-3	-21	9	2.8	4	5699	0.09		
"Japan"	12010	-6209	1.3	56	-57	4	3.5	1	6256	0.09		
"Turkey"	8195	-126171	0.9	48	358	22	1.2	3	4285	0.05		
"Nigeria"	5341	2919	0.6	111	18	53	0.2	17	7792	0.1		
"Portugal"	4266	2209	0.5	34	854	40	0.4	2	2788	0.14		
"Egypt"	4224	-2095	0.5	30	2429	46	0.3	-1	5219	0.05		
"Poland"	3245	-13156	0.4	45	-54	18	1.5	8	3121	0.08		
"United Kingdom"	2908	-41396	0.3	-24	191	7	3.2	1	3930	0.06		
"Australia"	2644	-314	0.3	-34	74	24	1.1	1	10262	0.1		
"Czech Republic"	2635	2522	0.3	9	15	28	1	4	2987	0.1		
"Canada"	2581	-6164	0.3	-26	-2	14	2.2	1	5042	0.26		
"Indonesia"	2371	-6026	0.3	104	-24	30	0.9	2	5872	0.11		
"Congo"	1881	420	0.2	155		154	0.01	-18	6851	0.07		
"Switzerland"	1840	-1285	0.2	5	83	20	1.5	4	3384	0.07		
"Thailand"	1723	-9605	0.2	6	-19	23	1.2	2	4905	0.09		
"Malaysia"	1579	-14310	0.2	50	574	25	1.1	3	5172	0.09		
"Singapore"	1405	-13825	0.2	13	67	16	1.9	3	5773	0.07		
"Austria"	1381	443	0.2	186	128	27	1	3	1514	0.18		
"Slovakia"	1357	1211	0.1	-21	36	38	0.5	4	2664	0.07		
"South Africa"	1204	-31534	0.1	-16	22	41	0.4	-1	9230	0.07		
"Finland"	1143	-959	0.1	61	108	44	0.4	3	2842	0.07		
"Belarus"	1004	821	0.1	133	250	61	0.2	2	2268	0.23		
"Spain"	984	-19015	0.1	-32	66	15	1.9	3	3890	0.05		
"Luxembourg"	982	-2391	0.1	32	3	71	0.1	3	1488	0.14		
"Pakistan"	890	-1813	0.1	99	35	47	0.3	2	4850	0.11		
"New Zealand"	868	-641	0.1	12	282	56	0.2	3	11141	0.09		
"Mexico"	696	696	0.1	-66	86	13	2.3	2	7039	0.24		
"Hong Kong, China"	671	-2387	0.1	-12	189	5	3.3	3	2841	0.22		
"Russian Federation"	637	-1168	0.1	8	362	21	1.3	5	4187	0.09		
"Estonia"	623	396	0.1	-24	32	73	0.1	6	2314	0.06		
"Saudi Arabia"	615	-7907	0.1	50	199	32	0.7	3	5816	0.07		
"Morocco"	590	-18534	0.1	-11	26	52	0.3	4	4316	0.07		
"Serbia"	572	314	0.1	18	372	65	0.2	9	2497	0.06		
"Italy"	547	-7000	0.1	-4	138	11	2.5	2	2891	0.06		
"Benin"	546	217	0.1	16	480	149	0.01	-2	6481	0.07		
"Zambia"	484	470	0.1	19	639	119	0.03	-9	5447	0.14		
"Israel"	426	426	0		1320	42	0.4	4	5483	0.07		
"Philippines"	387	-24054	0	5	177	34	0.6	2	4354	0.09		
"Brazil"	371	-42316	0	82	339	26	1	6	10879	0.09		
"Ireland"	307	-1974	0	97	1404	36	0.5	4	3265	0.1		
"Sweden"	300	-5837	0	-16	1775	31	0.9	3	2128	0.07		
"Mauritania"	273	-253	0		816	146	0.02	1	5817	0.07		
"Armenia"	256	256	0	-36	5020	131	0.02	6	3323	0.15		
"Brunei Darussalam"	242	242	0	29	4085	109	0.04	26	5185	0.11		
"Ukraine"	232	-6451	0	-59	24	48	0.3	7	3255	0.06		
"Taipei, Chinese"	180	-3364	0	-42	-76	17	1.7	8	5007	0.1		
"Slovenia"	172	-91	0	-17	-18	55	0.2	10	2404	0.07		
