Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Somalia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Somalia (%)	
"Total"	164687	-3007364	100	-2	29		100	3				
"Saudi Arabia"	46628	5487	28.3	-16	17	32	0.7	3	5816	0.07		
"India"	16856	-681830	10.2	23	230	10	2.6	2	5793	0.05		
"France"	12618	-628	7.7	1	88	6	3.2	1	3195	0.06		
"Bulgaria"	11124	10826	6.8	4	-7	57	0.2	6	2237	0.05		
"Japan"	10759	7906	6.5	1	-37	4	3.5	1	6256	0.09		
"China"	9783	-880703	5.9	-11	23	2	11.1	5	6416	0.04		
"Turkey"	7918	-346941	4.8	48	60	22	1.2	3	4285	0.05		
"Pakistan"	7629	-62466	4.6	-2	55	47	0.3	2	4850	0.11		
"Germany"	7069	-20518	4.3	53	165	3	6.5	3	3376	0.05		
"Spain"	3628	-10440	2.2	110	43	15	1.9	3	3890	0.05		
"Ukraine"	3494	-18116	2.1	67	371	48	0.3	7	3255	0.06		
"Poland"	3394	-1483	2.1	149	2359	18	1.5	8	3121	0.08		
"Netherlands"	3200	-18532	1.9		397	8	2.8	5	3706	0.07		
"Morocco"	2603	797	1.6	58	330	52	0.3	4	4316	0.07		
"Hong Kong, China"	2548	135	1.5	34	18	5	3.3	3	2841	0.22		
"Argentina"	1509	1053	0.9	298	146	50	0.3	-5	10631	0.1		
"Senegal"	1460	1460	0.9	270	-52	110	0.04	4	6632	0.05		
"Thailand"	1396	-11818	0.8	14	755	23	1.2	2	4905	0.09		
"United States of America"	1195	-51416	0.7	-6	132	1	13.4	3	7938	0.08		
"Egypt"	1178	-62698	0.7	19	-79	46	0.3	-1	5219	0.05		
"Italy"	1156	-36517	0.7	16	32	11	2.5	2	2891	0.06		
"Korea, Republic of"	958	-13392	0.6	-25	-69	9	2.8	4	5699	0.09		
"United Kingdom"	911	-19515	0.6	29	-29	7	3.2	1	3930	0.06		
"Kenya"	895	-121631	0.5	-25	76	80	0.09	2	6680	0.08		
"Mozambique"	858	858	0.5	109	60405	108	0.04	8	6196	0.1		
"Taipei, Chinese"	525	-1083	0.3	36	-26	17	1.7	8	5007	0.1		
"Ethiopia"	420	-360418	0.3	-24	16	90	0.07	1	6305	0.11		
"Canada"	338	-2282	0.2	1	5	14	2.2	1	5042	0.26		
"Greece"	313	57	0.2			45	0.3	4	2847	0.05		
"Russian Federation"	234	-14540	0.1	16	236	21	1.3	5	4187	0.09		
"Lithuania"	229	-10	0.1		149	59	0.2	7	1630	0.07		
"Czech Republic"	194	-926	0.1	4	118	28	1	4	2987	0.1		
"South Africa"	180	-9666	0.1	41	205	41	0.4	-1	9230	0.07		
"Slovenia"	175	-10638	0.1	-15	187	55	0.2	10	2404	0.07		
"Sweden"	171	-582	0.1	41	490	31	0.9	3	2128	0.07		
"Singapore"	131	-3692	0.1	17	-82	16	1.9	3	5773	0.07		
"Nigeria"	129	88	0.1	184	-73	53	0.2	17	7792	0.1		
"Malaysia"	125	-87213	0.1	21	-74	25	1.1	3	5172	0.09		
"Ireland"	117	-234	0.1	104		36	0.5	4	3265	0.1		
"Israel"	106	50	0.1		2020	42	0.4	4	5483	0.07		
"Estonia"	106	22	0.1			73	0.1	6	2314	0.06		
"Belgium"	73	-3933	0	-10	213	12	2.4	3	2709	0.08		
"New Zealand"	71	-5834	0	-2	537	56	0.2	3	11141	0.09		
"Australia"	48	-1023	0	-19	-55	24	1.1	1	10262	0.1		
"Norway"	42	-118	0	23	673	39	0.5	3	3470	0.06		
"Ecuador"	33	33	0			69	0.1	3	9174	0.12		
"Austria"	29	-2242	0	12	490	27	1	3	1514	0.18		
"Switzerland"	28	-1163	0	-16	0	20	1.5	4	3384	0.07		
