Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in South Sudan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by South Sudan (%)	
"Total"	477193	71180	100	-25	-32		100	3				
"China"	296280	173664	62.1	-31	-56	2	11.1	5	6416	0.04		
"Italy"	88715	88715	18.6		265	11	2.5	2	2891	0.06		
"Singapore"	85721	84217	18	883	7617	16	1.9	3	5773	0.07		
"Russian Federation"	3548	-4200	0.7	388	376	21	1.3	5	4187	0.09		
"India"	1046	-27234	0.2		-50	10	2.6	2	5793	0.05		
"Kenya"	634	-154805	0.1	32	60	80	0.09	2	6680	0.08		
"Slovakia"	302	293	0.1	260	69	38	0.5	4	2664	0.07		
"Egypt"	195	-1566	0		-51	46	0.3	-1	5219	0.05		
"Czech Republic"	154	-26	0	33	267	28	1	4	2987	0.1		
"Germany"	150	-9401	0	-14	1054	3	6.5	3	3376	0.05		
"United Kingdom"	108	-7724	0	49	157	7	3.2	1	3930	0.06		
"Indonesia"	99	99	0	-36		30	0.9	2	5872	0.11		
"Mozambique"	84	41	0		84	108	0.04	8	6196	0.1		
"Tanzania, United Republic of"	71	-8876	0			102	0.05	7	6633	0.1		
"Korea, Republic of"	32	-2835	0	0	2263	9	2.8	4	5699	0.09		
"Australia"	21	-440	0	82	-35	24	1.1	1	10262	0.1		
"Canada"	10	-1761	0			14	2.2	1	5042	0.26		
"Thailand"	5	-3146	0	-44	-34	23	1.2	2	4905	0.09		
"Lithuania"	4	-4	0			59	0.2	7	1630	0.07		
"Pakistan"	3	3	0	-94		47	0.3	2	4850	0.11		
"Brunei Darussalam"	3	3	0			109	0.04	26	5185	0.11		
"Denmark"	3	-5241	0	-54		35	0.6	5	2182	0.08		
"Saudi Arabia"	2	-2538	0		-96	32	0.7	3	5816	0.07		
"Finland"	1	-5	0			44	0.4	3	2842	0.07		
"Greece"		-6				45	0.3	4	2847	0.05		
"Estonia"		-13				73	0.1	6	2314	0.06		
"Croatia"		-22				63	0.2	6	1362	0.07		
"Latvia"		-24				77	0.1	7	1575	0.08		
"Romania"		-26				37	0.5	6	1891	0.07		
"Hungary"		-37				33	0.6	6	2180	0.09		
"Bulgaria"		-120				57	0.2	6	2237	0.05		
"Ireland"		-294				36	0.5	4	3265	0.1		
"Slovenia"		-419				55	0.2	10	2404	0.07		
"Sweden"		-705				31	0.9	3	2128	0.07		
"Nigeria"		-764				53	0.2	17	7792	0.1		
"Cyprus"		-1013				105	0.05	-1	3118	0.09		
"Spain"		-2506				15	1.9	3	3890	0.05		
"Malta"		-2835				120	0.03	1	3249	0.08		
"Hong Kong, China"		-3306				5	3.3	3	2841	0.22		
"Poland"		-3317				18	1.5	8	3121	0.08		
"Austria"		-3449				27	1	3	1514	0.18		
"Belgium"		-3881				12	2.4	3	2709	0.08		
"Ukraine"		-3927				48	0.3	7	3255	0.06		
"Netherlands"		-19392				8	2.8	5	3706	0.07		
"United States of America"						1	13.4	3	7938	0.08		
"Japan"						4	3.5	1	6256	0.09		
"France"						6	3.2	1	3195	0.06		
"Mexico"						13	2.3	2	7039	0.24		
"Taipei, Chinese"						17	1.7	8	5007	0.1		
"Viet Nam"						19	1.5	8	3535	0.19		
"Switzerland"						20	1.5	4	3384	0.07		
"Turkey"						22	1.2	3	4285	0.05		
"Malaysia"						25	1.1	3	5172	0.09		
"Brazil"						26	1	6	10879	0.09		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Philippines"						34	0.6	2	4354	0.09		
"Norway"						39	0.5	3	3470	0.06		
"Portugal"						40	0.4	2	2788	0.14		
"South Africa"						41	0.4	-1	9230	0.07		
"Israel"						42	0.4	4	5483	0.07		
"Chile"						43	0.4	6	11582	0.13		
"Bangladesh"						49	0.3	6	4172	0.15		
"Argentina"						50	0.3	-5	10631	0.1		
"Colombia"						51	0.3	4	8915	0.13		
"Morocco"						52	0.3	4	4316	0.07		
"Peru"						54	0.2	3	10420	0.13		
"New Zealand"						56	0.2	3	11141	0.09		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Belarus"						61	0.2	2	2268	0.23		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Serbia"						65	0.2	9	2497	0.06		
"Cambodia"						66	0.1	16	2651	0.18		
"Dominican Republic"						67	0.1	5	6446	0.22		
"Guatemala"						68	0.1	7	5828	0.15		
"Ecuador"						69	0.1	3	9174	0.12		
"Qatar"						70	0.1	0	5745	0.06		
"Luxembourg"						71	0.1	3	1488	0.14		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Tunisia"						78	0.10	-1	3411	0.06		
"Myanmar"						79	0.10	-1	2536	0.25		
"Macao, China"						81	0.09	15		0.17		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"El Salvador"						88	0.07	9	4914	0.15		
"Libya, State of"						89	0.07	12	3475	0.08		
"Ethiopia"						90	0.07	1	6305	0.11		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Paraguay"						92	0.06	0	7311	0.15		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Bosnia and Herzegovina"						94	0.06	3	2228	0.07		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Honduras"						99	0.05	4	6104	0.16		
"Angola"						100	0.05	-11	7692	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Nicaragua"						104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Senegal"						110	0.04	4	6632	0.05		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Iceland"						112	0.04	-1	4251	0.05		
"Georgia"						113	0.04	-2	2513	0.09		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Zambia"						119	0.03	-9	5447	0.14		
