Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Sudan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Sudan (%)	
"Total"	2319333	-3970344	100	-4	11		100	3				
"China"	773263	-979220	33.3	7	1	2	11.1	5	6416	0.04		
"Saudi Arabia"	340965	-33796	14.7	-19	41	32	0.7	3	5816	0.07		
"India"	258778	-747299	11.2	-23	2	10	2.6	2	5793	0.05		
"Italy"	202403	104006	8.7	85	24	11	2.5	2	2891	0.06		
"Egypt"	177848	-538188	7.7	7	24	46	0.3	-1	5219	0.05		
"Malaysia"	114068	84180	4.9	83	9233	25	1.1	3	5172	0.09		
"Turkey"	104963	-184661	4.5	8	0	22	1.2	3	4285	0.05		
"Japan"	80359	21200	3.5	70	687	4	3.5	1	6256	0.09		
"France"	50038	-10307	2.2	-4	-10	6	3.2	1	3195	0.06		
"Singapore"	27602	21630	1.2	141	836	16	1.9	3	5773	0.07		
"Pakistan"	23928	-786	1		-1	47	0.3	2	4850	0.11		
"Germany"	20758	-109858	0.9	-1	13	3	6.5	3	3376	0.05		
"United States of America"	19302	-181716	0.8	25	-78	1	13.4	3	7938	0.08		
"Indonesia"	16185	-103332	0.7	-29	-76	30	0.9	2	5872	0.11		
"Belgium"	13743	-63801	0.6	-2	64	12	2.4	3	2709	0.08		
"Korea, Republic of"	12488	-139819	0.5	-24	15	9	2.8	4	5699	0.09		
"United Kingdom"	11560	-44904	0.5	-4	16	7	3.2	1	3930	0.06		
"Senegal"	11434	10532	0.5	152	559	110	0.04	4	6632	0.05		
"Ukraine"	9181	-43846	0.4	175	291	48	0.3	7	3255	0.06		
"Tunisia"	8649	6480	0.4	-4	-51	78	0.10	-1	3411	0.06		
"Netherlands"	7061	-71737	0.3	-25	242	8	2.8	5	3706	0.07		
"Nigeria"	6858	913	0.3	-12	14	53	0.2	17	7792	0.1		
"Greece"	6214	2271	0.3	-19	-57	45	0.3	4	2847	0.05		
"Ethiopia"	4438	-31939	0.2	-47	-90	90	0.07	1	6305	0.11		
"Kenya"	3865	-62113	0.2	-32	-8	80	0.09	2	6680	0.08		
"Taipei, Chinese"	2309	-6432	0.1	49	31	17	1.7	8	5007	0.1		
"Slovakia"	2056	-1593	0.1	8	-25	38	0.5	4	2664	0.07		
"Thailand"	1392	-28220	0.1	11	79	23	1.2	2	4905	0.09		
"Switzerland"	813	-30390	0	-20	-60	20	1.5	4	3384	0.07		
"Togo"	581	476	0			153	0.01	10	7318	0.08		
"Poland"	546	-8268	0	-33	47	18	1.5	8	3121	0.08		
"Morocco"	407	-5534	0	39	125	52	0.3	4	4316	0.07		
"Spain"	376	-33022	0	-58	-4	15	1.9	3	3890	0.05		
"Guatemala"	366	-970	0	15	-41	68	0.1	7	5828	0.15		
"Hong Kong, China"	349	-5496	0	-24	-29	5	3.3	3	2841	0.22		
"Canada"	321	-35497	0	13	-39	14	2.2	1	5042	0.26		
"Russian Federation"	272	-306026	0	-32	49	21	1.3	5	4187	0.09		
"Armenia"	254	-200	0	51	68	131	0.02	6	3323	0.15		
"Argentina"	226	-1755	0	-18	43	50	0.3	-5	10631	0.1		
"Angola"	213	188	0	65	833	100	0.05	-11	7692	0.06		
"Brazil"	211	-22042	0	5	-72	26	1	6	10879	0.09		
"Serbia"	200	-109	0	39	60	65	0.2	9	2497	0.06		
"Cyprus"	190	-3743	0	108		105	0.05	-1	3118	0.09		
"Norway"	178	-1378	0	-10	42	39	0.5	3	3470	0.06		
"Colombia"	160	108	0	-20	167	51	0.3	4	8915	0.13		
"Sweden"	156	-14750	0	-15	-48	31	0.9	3	2128	0.07		
"South Africa"	120	-15940	0	-33	72	41	0.4	-1	9230	0.07		
"Belarus"	110	-1087	0	-63	900	61	0.2	2	2268	0.23		
"Australia"	109	-55848	0	2	74	24	1.1	1	10262	0.1		
"Israel"	103	103	0			42	0.4	4	5483	0.07		
"Philippines"	102	-318	0	-51	-70	34	0.6	2	4354	0.09		
"Dominican Republic"	101	100	0	2	115	67	0.1	5	6446	0.22		
"Congo"	100	91	0		1403	154	0.01	-18	6851	0.07		
"Iceland"	94	94	0	-13	-16	112	0.04	-1	4251	0.05		
"Portugal"	92	-4226	0		667	40	0.4	2	2788	0.14		
"Nicaragua"	75	75	0			104	0.05	4	5888	0.1		
"Ireland"	72	-9610	0	32	1517	36	0.5	4	3265	0.1		
"Cambodia"	67	52	0		-32	66	0.1	16	2651	0.18		
"Lao People's Democratic Republic"	62	-232	0	-12	230	129	0.02	-1	2572	0.28		
"Bosnia and Herzegovina"	59	4	0	-36	624	94	0.06	3	2228	0.07		
"Romania"	59	-117951	0	-65	-83	37	0.5	6	1891	0.07		
"Peru"	56	-191	0	-6	187	54	0.2	3	10420	0.13		
"Lithuania"	55	-18445	0	25	-83	59	0.2	7	1630	0.07		
"Austria"	46	-10544	0	22	196	27	1	3	1514	0.18		
"Maldives"	44	44	0			151	0.01	-3	4478	0.08		
"Slovenia"	43	-4462	0	148	13	55	0.2	10	2404	0.07		
"Tanzania, United Republic of"	41	-12315	0	-35	1654	102	0.05	7	6633	0.1		
"Luxembourg"	39	-2549	0	67		71	0.1	3	1488	0.14		
