Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Suriname's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Suriname (%)	
"Total"	1528934	288406	100	-7	-6		100	3				
"Switzerland"	1092332	1090775	71.4	1	-2	20	1.5	4	3384	0.07		
"Belgium"	90773	69205	5.9	-21	64	12	2.4	3	2709	0.08		
"Guyana"	73773	65193	4.8	-16	61	144	0.02	13	11175	0.21		
"United States of America"	71450	-229130	4.7	7	-61	1	13.4	3	7938	0.08		
"China"	39365	-201949	2.6	10	-36	2	11.1	5	6416	0.04		
"India"	37342	18745	2.4	-24	24	10	2.6	2	5793	0.05		
"Netherlands"	32276	-217680	2.1	-6	-5	8	2.8	5	3706	0.07		
"France"	22260	3192	1.5	2	76	6	3.2	1	3195	0.06		
"Taipei, Chinese"	8339	1299	0.5	27	2	17	1.7	8	5007	0.1		
"Canada"	7737	-11056	0.5	-1	-38	14	2.2	1	5042	0.26		
"Barbados"	5670	3490	0.4	-4	5	161	0	0	4992	0.21		
"Portugal"	5626	4663	0.4	18	-47	40	0.4	2	2788	0.14		
"Italy"	5109	-2616	0.3	63	-10	11	2.5	2	2891	0.06		
"Thailand"	4315	-16631	0.3	20	176	23	1.2	2	4905	0.09		
"Hong Kong, China"	3743	-35	0.2	-71	-55	5	3.3	3	2841	0.22		
"Japan"	3645	-54949	0.2	-15	11	4	3.5	1	6256	0.09		
"Korea, Republic of"	3514	-2898	0.2	14	-65	9	2.8	4	5699	0.09		
"Germany"	2777	-32749	0.2	16	68	3	6.5	3	3376	0.05		
"United Kingdom"	2263	-11313	0.1	32	104	7	3.2	1	3930	0.06		
"Morocco"	2179	1795	0.1	2	-42	52	0.3	4	4316	0.07		
"Australia"	1594	-7120	0.1	37	215	24	1.1	1	10262	0.1		
"Poland"	1394	-4649	0.1	59	66	18	1.5	8	3121	0.08		
"Czech Republic"	1388	509	0.1	2	187	28	1	4	2987	0.1		
"Brazil"	1295	-37242	0.1	-18	-50	26	1	6	10879	0.09		
"Slovenia"	1127	702	0.1	78	188	55	0.2	10	2404	0.07		
"Slovakia"	996	996	0.1	18	-20	38	0.5	4	2664	0.07		
"Malaysia"	960	-4161	0.1	-8	463	25	1.1	3	5172	0.09		
"Mauritius"	613	613	0	322	702	133	0.02	-2	7320	0.08		
"Denmark"	550	-9302	0	-3	1347	35	0.6	5	2182	0.08		
"New Zealand"	540	538	0	-7	41	56	0.2	3	11141	0.09		
"Ukraine"	395	-7191	0	263	-52	48	0.3	7	3255	0.06		
"Colombia"	312	-6100	0	32	1162	51	0.3	4	8915	0.13		
"Croatia"	252	219	0		4704	63	0.2	6	1362	0.07		
"Fiji"	250	250	0			157	0.01	-7	7384	0.12		
"Saudi Arabia"	232	226	0	62	-87	32	0.7	3	5816	0.07		
"Norway"	221	-1028	0	17	121	39	0.5	3	3470	0.06		
"Dominican Republic"	197	-9743	0	-26	38	67	0.1	5	6446	0.22		
"South Africa"	189	-7301	0	29	100	41	0.4	-1	9230	0.07		
"Spain"	177	-14326	0	-56	-84	15	1.9	3	3890	0.05		
"Israel"	146	146	0	-35		42	0.4	4	5483	0.07		
"Egypt"	136	-8	0	-47		46	0.3	-1	5219	0.05		
"Turkey"	136	-29982	0	-21	68	22	1.2	3	4285	0.05		
"Cyprus"	135	134	0	115	694	105	0.05	-1	3118	0.09		
"Indonesia"	133	-3940	0	38	-39	30	0.9	2	5872	0.11		
"Grenada"	117	42	0	5	-39	191	0	-1	4157	0.2		
"Finland"	113	-776	0	34	190	44	0.4	3	2842	0.07		
"Singapore"	112	-2963	0	-11	117	16	1.9	3	5773	0.07		
"Estonia"	90	-507	0	-7	27	73	0.1	6	2314	0.06		
"Serbia"	81	-347	0	-10	272	65	0.2	9	2497	0.06		
"Hungary"	80	-706	0			33	0.6	6	2180	0.09		
"Philippines"	66	-462	0		-26	34	0.6	2	4354	0.09		
"Maldives"	43	43	0	102		151	0.01	-3	4478	0.08		
