Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Taipei, Chinese's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Taipei, Chinese (%)	
"World"	447565068	65066611	100	8	29		100	3				
"China"	126227456	43537518	28.2	8	23	2	11.1	5	6416	0.04		
"United States of America"	65933112	26153490	14.7	15	30	1	13.4	3	7938	0.08		
"Hong Kong, China"	63148972	61433961	14.1	11	28	5	3.3	3	2841	0.22		
"Japan"	29291850	-26971267	6.5	8	25	4	3.5	1	6256	0.09		
"Singapore"	25790914	13680357	5.8	9	35	16	1.9	3	5773	0.07		
"Korea, Republic of"	20194294	-10519276	4.5	7	33	9	2.8	4	5699	0.09		
"Viet Nam"	14013487	7857674	3.1	6	33	19	1.5	8	3535	0.19		
"Malaysia"	13363900	1537722	3	4	41	25	1.1	3	5172	0.09		
"Germany"	8193654	-4344175	1.8	3	35	3	6.5	3	3376	0.05		
"Netherlands"	8102966	-2132552	1.8	11	33	8	2.8	5	3706	0.07		
"Thailand"	7043401	1066133	1.6	0	33	23	1.2	2	4905	0.09		
"Philippines"	6092783	3087531	1.4	-13	7	34	0.6	2	4354	0.09		
"Australia"	4817458	-9969991	1.1	10	48	24	1.1	1	10262	0.1		
"India"	4535973	1351579	1	3	75	10	2.6	2	5793	0.05		
"United Kingdom"	4159394	1785722	0.9	1	24	7	3.2	1	3930	0.06		
"Mexico"	3755866	2112500	0.8	11	39	13	2.3	2	7039	0.24		
"Indonesia"	3079272	-4832661	0.7	-4	34	30	0.9	2	5872	0.11		
"Canada"	3016508	655602	0.7	5	38	14	2.2	1	5042	0.26		
"Belgium"	2744238	2063250	0.6	14	90	12	2.4	3	2709	0.08		
"Italy"	2574504	-447548	0.6	1	59	11	2.5	2	2891	0.06		
"Area Nes"	2242409	2081141	0.5	9	143							
"Brazil"	1632112	-998184	0.4	3	50	26	1	6	10879	0.09		
"Spain"	1617274	735735	0.4	8	55	15	1.9	3	3890	0.05		
"France"	1599074	-1930972	0.4	-4	23	6	3.2	1	3195	0.06		
"Turkey"	1371695	971519	0.3	-4	27	22	1.2	3	4285	0.05		
"United Arab Emirates"	1370519	-3592911	0.3	0	17	29	0.9	-2	5715	0.08		
"Russian Federation"	1321361	-3692028	0.3	3	29	21	1.3	5	4187	0.09		
"Poland"	1244318	830928	0.3	5	44	18	1.5	8	3121	0.08		
"Bangladesh"	1223319	1109415	0.3	1	45	49	0.3	6	4172	0.15		
"Israel"	977962	-548401	0.2	7	16	42	0.4	4	5483	0.07		
"Saudi Arabia"	926000	-6974733	0.2	-2	6	32	0.7	3	5816	0.07		
"Cambodia"	860345	741244	0.2	5	28	66	0.1	16	2651	0.18		
"Sweden"	771804	-55271	0.2	4	36	31	0.9	3	2128	0.07		
"Switzerland"	768042	-1506519	0.2	6	41	20	1.5	4	3384	0.07		
"Pakistan"	730577	571218	0.2	2	65	47	0.3	2	4850	0.11		
"Hungary"	729857	331796	0.2	9	20	33	0.6	6	2180	0.09		
"New Zealand"	643694	-362847	0.1	5	48	56	0.2	3	11141	0.09		
"Austria"	574304	-480488	0.1	6	36	27	1	3	1514	0.18		
"Ireland"	574123	-197102	0.1	30	46	36	0.5	4	3265	0.1		
"South Africa"	569662	-421790	0.1	-6	23	41	0.4	-1	9230	0.07		
"Czech Republic"	530470	103950	0.1	4	1	28	1	4	2987	0.1		
"Portugal"	521645	317885	0.1	3	20	40	0.4	2	2788	0.14		
"Egypt"	489688	103248	0.1	5	27	46	0.3	-1	5219	0.05		
"Denmark"	476005	-307391	0.1	8	13	35	0.6	5	2182	0.08		
"Sri Lanka"	402799	314553	0.1	-3	31	85	0.08	-3	4351	0.16		
"Colombia"	376878	260325	0.1	0	46	51	0.3	4	8915	0.13		
"Nigeria"	322961	-271205	0.1	25	237	53	0.2	17	7792	0.1		
"Jordan"	313395	226320	0.1	-6	26	84	0.08	0	5167	0.07		
"Romania"	292597	161504	0.1	6	54	37	0.5	6	1891	0.07		
"Peru"	282147	-64844	0.1	0	50	54	0.2	3	10420	0.13		
"Finland"	275871	-256447	0.1	0	24	44	0.4	3	2842	0.07		
