Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Tanzania, United Republic of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Tanzania, United Republic of (%)	
"World"	6390863	-4482401	100	14	7		100	3				
"United Arab Emirates"	1051734	-307773	16.5	100	41	29	0.9	-2	5715	0.08		
"India"	1008694	-200824	15.8	-3	94	10	2.6	2	5793	0.05		
"South Africa"	916675	484336	14.3	10	-20	41	0.4	-1	9230	0.07		
"Switzerland"	526945	449892	8.2	30	-39	20	1.5	4	3384	0.07		
"Kenya"	397225	-13659	6.2	15	75	80	0.09	2	6680	0.08		
"Uganda"	314018	204354	4.9	68	66	132	0.02	11	5788	0.09		
"Rwanda"	277799	275602	4.3	42	35	159	0.01	17	5437	0.08		
"China"	273095	-2423099	4.3	19	16	2	11.1	5	6416	0.04		
"Congo, Democratic Republic of the"	207235	204643	3.2	12	46	111	0.04	13	6479	0.14		
"Burundi"	163260	162643	2.6	40	-8	188	0	13	4755	0.14		
"Singapore"	139216	56982	2.2	149	223	16	1.9	3	5773	0.07		
"Viet Nam"	102019	66066	1.6	-10	-55	19	1.5	8	3535	0.19		
"Belgium"	101398	35498	1.6	-18	-17	12	2.4	3	2709	0.08		
"Netherlands"	78861	-15519	1.2	-1	24	8	2.8	5	3706	0.07		
"Zambia"	68607	-1814	1.1	0	28	119	0.03	-9	5447	0.14		
"Japan"	67473	-401533	1.1	-4	23	4	3.5	1	6256	0.09		
"Malawi"	64049	41582	1	6	38	168	0	0	5169	0.15		
"Pakistan"	62172	30697	1	53	-22	47	0.3	2	4850	0.11		
"Hong Kong, China"	61302	8244	1	20	-52	5	3.3	3	2841	0.22		
"Germany"	39908	-203930	0.6	-2	-21	3	6.5	3	3376	0.05		
"United States of America"	39076	-222280	0.6	-13	-16	1	13.4	3	7938	0.08		
"Italy"	33988	-71188	0.5	-4	56	11	2.5	2	2891	0.06		
"Qatar"	25314	-15509	0.4	11	159	70	0.1	0	5745	0.06		
"Turkey"	22022	-215454	0.3	68	34	22	1.2	3	4285	0.05		
"United Kingdom"	19460	-114243	0.3	-5	34	7	3.2	1	3930	0.06		
"France"	18820	-44768	0.3	5	-16	6	3.2	1	3195	0.06		
"Indonesia"	18721	-201291	0.3	-2	76	30	0.9	2	5872	0.11		
"Spain"	16860	-45842	0.3	23	-91	15	1.9	3	3890	0.05		
"Mozambique"	15484	10892	0.2	8	-25	108	0.04	8	6196	0.1		
"Zimbabwe"	14856	4950	0.2	20	-30	134	0.02	7	3754	0.39		
"Israel"	13072	7911	0.2	-3	23	42	0.4	4	5483	0.07		
"Sudan"	12356	12315	0.2	40	201	122	0.03	-2		0.13		
"Korea, Republic of"	10185	-127132	0.2	-18	-53	9	2.8	4	5699	0.09		
"Bangladesh"	10148	7721	0.2	-17	44	49	0.3	6	4172	0.15		
"Nigeria"	9922	9027	0.2	7	4	53	0.2	17	7792	0.1		
"Morocco"	9788	3781	0.2	18	160	52	0.3	4	4316	0.07		
"Poland"	9514	-17209	0.1	-11	31	18	1.5	8	3121	0.08		
"Oman"	9338	-211748	0.1	12	31	83	0.08	-6	5977	0.08		
"South Sudan"	8947	8876	0.1			194	0	12		0.25		
"Portugal"	8893	4892	0.1	-23	14	40	0.4	2	2788	0.14		
"Finland"	8474	-60725	0.1	23	509	44	0.4	3	2842	0.07		
"Romania"	7944	-3692	0.1	-2	191	37	0.5	6	1891	0.07		
"Malaysia"	7840	-103858	0.1	1	-45	25	1.1	3	5172	0.09		
"Saudi Arabia"	7250	-666867	0.1	2	-33	32	0.7	3	5816	0.07		
"Russian Federation"	7129	-143418	0.1	-14	-4	21	1.3	5	4187	0.09		
"Greece"	6931	-3546	0.1	10	109	45	0.3	4	2847	0.05		
"Bulgaria"	6874	-1225	0.1	8	-92	57	0.2	6	2237	0.05		
"Comoros"	6696	6643	0.1	-3	42	192	0	18	5731	0.22		
"Jordan"	4303	1685	0.1	97	54	84	0.08	0	5167	0.07		
"Angola"	4144	3819	0.1	-32	868	100	0.05	-11	7692	0.06		
"Kuwait"	4095	1312	0.1	90	599	76	0.1	-3	5837	0.07		
"Ukraine"	4001	-56740	0.1	76	8	48	0.3	7	3255	0.06		
"Yemen"	3973	3931	0.1	141	130	107	0.04	11	5706	0.11		
"Australia"	3927	-83910	0.1	-10	4	24	1.1	1	10262	0.1		
"Denmark"	3851	-17332	0.1	3	5	35	0.6	5	2182	0.08		
"Canada"	3651	-41756	0.1	-10	17	14	2.2	1	5042	0.26		
"Egypt"	3524	-44412	0.1	4	17	46	0.3	-1	5219	0.05		
"Sri Lanka"	3495	-152	0.1	40	-49	85	0.08	-3	4351	0.16		
"Thailand"	3429	-107097	0.1	-18	-71	23	1.2	2	4905	0.09		
"Ghana"	3047	205	0	-29	18	82	0.08	8	8888	0.18		
"Bahrain"	3038	-3119	0	19	250	101	0.05	1	6359	0.08		
"Sweden"	2396	-55059	0	-24	1	31	0.9	3	2128	0.07		
"Madagascar"	2381	-5245	0	-23	6	138	0.02	2	7339	0.08		
"Philippines"	2228	-1704	0	4	74	34	0.6	2	4354	0.09		
"Congo"	2168	2145	0	1	166	154	0.01	-18	6851	0.07		
"Namibia"	2130	-3491	0	28	561	126	0.03	-1	3757	0.37		
"Algeria"	2128	-797	0	37	7	64	0.2	-8	4584	0.07		
"Iran, Islamic Republic of"	1721	-9787	0	-10	1472	72	0.1	-18	5612	0.13		
"Taipei, Chinese"	1653	-27255	0	14	2	17	1.7	8	5007	0.1		
"Mexico"	1324	-5478	0	14	174	13	2.3	2	7039	0.24		
"Lebanon"	1223	-2282	0	23	-51	97	0.06	-12	3592	0.06		
"Guinea"	1143	1142	0	44	51	135	0.02	7	9140	0.19		
"Slovenia"	999	-332	0	212	81	55	0.2	10	2404	0.07		
"Cambodia"	888	375	0	-16	529	66	0.1	16	2651	0.18		
