Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Togo's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Togo (%)	
"World"	1069303	-1423835	100	4	9		100	3				
"Burkina Faso"	153388	144055	14.3	1	14	136	0.02	5	6109	0.05		
"Mali"	118875	118670	11.1	31	-7	141	0.02	9	5008	0.1		
"Benin"	116153	111280	10.9	-5	19	149	0.01	-2	6481	0.07		
"Ghana"	93908	21176	8.8	12	18	82	0.08	8	8888	0.18		
"Niger"	86996	86738	8.1	3	4	162	0	13	5715	0.09		
"Côte d'Ivoire"	84666	53472	7.9	3	36	93	0.06	9	6793	0.08		
"India"	78225	-97218	7.3	11	7	10	2.6	2	5793	0.05		
"France"	61485	-155010	5.8	7	10	6	3.2	1	3195	0.06		
"Senegal"	46728	28917	4.4	50	-4	110	0.04	4	6632	0.05		
"Australia"	31912	30799	3	4	173	24	1.1	1	10262	0.1		
"Pakistan"	31239	27391	2.9	29	353	47	0.3	2	4850	0.11		
"Nigeria"	30712	-21531	2.9	-14	-22	53	0.2	17	7792	0.1		
"Turkey"	11950	-59914	1.1	48	218	22	1.2	3	4285	0.05		
"Bangladesh"	11661	11523	1.1	-15	231	49	0.3	6	4172	0.15		
"United States of America"	10699	-49695	1	20	-8	1	13.4	3	7938	0.08		
"Philippines"	9708	9643	0.9		1	34	0.6	2	4354	0.09		
"New Zealand"	8863	7757	0.8	328	53	56	0.2	3	11141	0.09		
"China"	8201	-548315	0.8	-2	-66	2	11.1	5	6416	0.04		
"Malaysia"	7289	-64645	0.7	-6	-67	25	1.1	3	5172	0.09		
"Belgium"	6464	-48125	0.6	6	-43	12	2.4	3	2709	0.08		
"Guinea"	5689	5683	0.5	0	13	135	0.02	7	9140	0.19		
"Netherlands"	5327	-56083	0.5	-3	-40	8	2.8	5	3706	0.07		
"Italy"	5274	-26965	0.5	3	83	11	2.5	2	2891	0.06		
"Bulgaria"	5244	4675	0.5			57	0.2	6	2237	0.05		
"Gabon"	3936	3557	0.4	-11	-1	158	0.01	-2	7114	0.11		
"Viet Nam"	3531	-11333	0.3	-6	-56	19	1.5	8	3535	0.19		
"Germany"	3421	-79272	0.3	10	166	3	6.5	3	3376	0.05		
"Cameroon"	2821	2436	0.3	2	39	116	0.03	8	7279	0.14		
"Indonesia"	2630	-35814	0.2	-46	1789	30	0.9	2	5872	0.11		
"Spain"	1528	-82597	0.1	-19	-65	15	1.9	3	3890	0.05		
"Chad"	1395	1392	0.1	-8	37	184	0	13	6931	0.16		
"Congo"	1366	1364	0.1	-18	-26	154	0.01	-18	6851	0.07		
"Central African Republic"	1259	1259	0.1	21	4	199	0	7	6606	0.08		
"Congo, Democratic Republic of the"	1141	1077	0.1	-22	0	111	0.04	13	6479	0.14		
"Switzerland"	1122	-4401	0.1	-1	-22	20	1.5	4	3384	0.07		
"United Arab Emirates"	1113	-40130	0.1	-64	322	29	0.9	-2	5715	0.08		
"Liberia"	1072	1054	0.1	-22	54	87	0.07	17	11608	0.19		
"Zambia"	883	828	0.1	8	154	119	0.03	-9	5447	0.14		
"Thailand"	799	-11326	0.1	21	59	23	1.2	2	4905	0.09		
"United Kingdom"	781	-15018	0.1	5	-27	7	3.2	1	3930	0.06		
"Equatorial Guinea"	691	685	0.1	-7	23	182	0	2	6008	0.11		
"Mauritius"	687	452	0.1			133	0.02	-2	7320	0.08		
"Lebanon"	627	-5409	0.1	-56	74	97	0.06	-12	3592	0.06		
"Sierra Leone"	617	617	0.1	-13	145	170	0	10	8820	0.13		
"Sao Tome and Principe"	600	600	0.1	90	83	210	0	-3	6155	0.31		
"South Africa"	552	-34937	0.1	27	-44	41	0.4	-1	9230	0.07		
"Kenya"	527	-349	0	42	1	80	0.09	2	6680	0.08		
"Guinea-Bissau"	501	-2531	0	23	-26	195	0	2	5802	0.16		
"Portugal"	499	-4741	0	-36	-19	40	0.4	2	2788	0.14		
"Mozambique"	454	-13737	0	65	70	108	0.04	8	6196	0.1		
"Canada"	367	-14391	0	-60	-56	14	2.2	1	5042	0.26		
"Morocco"	340	-36813	0	-25	-91	52	0.3	4	4316	0.07		
"Korea, Republic of"	287	-22815	0	38	-95	9	2.8	4	5699	0.09		
"Uganda"	260	168	0	-22	-34	132	0.02	11	5788	0.09		
"Djibouti"	256	256	0		6515	130	0.02	5	6387	0.22		
"Mauritania"	229	-11223	0	20	124	146	0.02	1	5817	0.07		
"Namibia"	226	208	0		5451	126	0.03	-1	3757	0.37		
"Algeria"	149	-2549	0	-13	226	64	0.2	-8	4584	0.07		
"Japan"	141	-108409	0	-2	-68	4	3.5	1	6256	0.09		
"Singapore"	131	-1289	0	-49	-75	16	1.9	3	5773	0.07		
"Iceland"	128	101	0			112	0.04	-1	4251	0.05		
"Sri Lanka"	128	-367	0	133	47	85	0.08	-3	4351	0.16		
"Sweden"	128	-9790	0	59	4548	31	0.9	3	2128	0.07		
"Rwanda"	124	118	0		14	159	0.01	17	5437	0.08		
"Marshall Islands"	122	122	0	35	6846	91	0.06	-1	7455	0.18		
"Denmark"	117	-14519	0	95	200	35	0.6	5	2182	0.08		
"Ukraine"	117	-34427	0	-18	-64	48	0.3	7	3255	0.06		
"Greece"	110	-62142	0	-24	24	45	0.3	4	2847	0.05		
"Sudan"	105	-476	0	61	113	122	0.03	-2		0.13		
"Madagascar"	87	45	0	0	563	138	0.02	2	7339	0.08		
"Gambia"	60	60	0	-48	-16	167	0	7	8260	0.14		
"Tanzania, United Republic of"	58	40	0	-18	-32	102	0.05	7	6633	0.1		
"Haiti"	53	53	0	-41		140	0.02	0	6340	0.18		
"Angola"	51	-658	0	-23	-83	100	0.05	-11	7692	0.06		
"Egypt"	47	-47263	0	-15	-19	46	0.3	-1	5219	0.05		
"Suriname"	40	40	0		701	173	0	1	9050	0.14		
"Libya, State of"	39	26	0		-69	89	0.07	12	3475	0.08		
