Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Trinidad and Tobago's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Trinidad and Tobago (%)	
"Total"	10697366	5210584	100	-2	51		100	3				
"United States of America"	4430923	1689150	41.4	1	66	1	13.4	3	7938	0.08		
"Brazil"	617050	297434	5.8	13	240	26	1	6	10879	0.09		
"China"	471139	88115	4.4	19	41	2	11.1	5	6416	0.04		
"Spain"	425651	350324	4	14	-26	15	1.9	3	3890	0.05		
"Belgium"	380838	313719	3.6	4	285	12	2.4	3	2709	0.08		
"Korea, Republic of"	336800	287578	3.1	1	181	9	2.8	4	5699	0.09		
"Guyana"	332284	231237	3.1	-16	18	144	0.02	13	11175	0.21		
"France"	314762	265771	2.9	0	42	6	3.2	1	3195	0.06		
"Chile"	306545	283500	2.9	-29	86	43	0.4	6	11582	0.13		
"Morocco"	283528	279587	2.7	24	51	52	0.3	4	4316	0.07		
"Canada"	282466	34837	2.6	14	24	14	2.2	1	5042	0.26		
"Mexico"	279498	203888	2.6	-7	67	13	2.3	2	7039	0.24		
"Colombia"	269051	218639	2.5	28	140	51	0.3	4	8915	0.13		
"Netherlands"	267651	208243	2.5	5	5	8	2.8	5	3706	0.07		
"Barbados"	208980	183317	2	-8	1	161	0	0	4992	0.21		
"India"	142574	50284	1.3	6	-21	10	2.6	2	5793	0.05		
"United Kingdom"	140818	-4030	1.3	-2	-36	7	3.2	1	3930	0.06		
"Thailand"	120867	47126	1.1	46	169	23	1.2	2	4905	0.09		
"Malta"	110085	108894	1	25	-6	120	0.03	1	3249	0.08		
"Japan"	102791	24885	1	-17	264	4	3.5	1	6256	0.09		
"Taipei, Chinese"	102727	79205	1	-14	95	17	1.7	8	5007	0.1		
"Dominican Republic"	97448	58997	0.9	-30	-59	67	0.1	5	6446	0.22		
"Lithuania"	82283	80316	0.8	40		59	0.2	7	1630	0.07		
"Germany"	81087	-36824	0.8	-15	87	3	6.5	3	3376	0.05		
"Grenada"	76872	75553	0.7	-5	0	191	0	-1	4157	0.2		
"Portugal"	75882	73221	0.7	7	196	40	0.4	2	2788	0.14		
"Croatia"	67892	67865	0.6	632		63	0.2	6	1362	0.07		
"Italy"	60271	-12131	0.6	-19	327	11	2.5	2	2891	0.06		
"Norway"	41067	22150	0.4	182	173	39	0.5	3	3470	0.06		
"Argentina"	39883	20940	0.4	-30	-47	50	0.3	-5	10631	0.1		
"South Africa"	33157	28920	0.3	9	82	41	0.4	-1	9230	0.07		
"Peru"	21065	5065	0.2	-60	51	54	0.2	3	10420	0.13		
"Belize"	18791	6344	0.2	11	39	179	0	1	5006	0.18		
"Ecuador"	9335	-305	0.1	13	96	69	0.1	3	9174	0.12		
"Ireland"	8520	-21747	0.1	1	102	36	0.5	4	3265	0.1		
"Madagascar"	7374	7374	0.1	-28	48045	138	0.02	2	7339	0.08		
"Australia"	6618	-101755	0.1	-13	60	24	1.1	1	10262	0.1		
"Sweden"	6176	236	0.1	95	-29	31	0.9	3	2128	0.07		
"Guatemala"	5194	-13338	0	-1	54	68	0.1	7	5828	0.15		
"Angola"	5039	4887	0	143	2484	100	0.05	-11	7692	0.06		
"Honduras"	4403	1693	0	2	-22	99	0.05	4	6104	0.16		
"Nicaragua"	2608	2504	0	51	-26	104	0.05	4	5888	0.1		
"El Salvador"	2365	-4019	0	-1	207	88	0.07	9	4914	0.15		
"Malaysia"	2281	-27625	0	15	-1	25	1.1	3	5172	0.09		
"Pakistan"	2174	-2527	0	-11	51	47	0.3	2	4850	0.11		
"Senegal"	1244	1244	0	-35	-78	110	0.04	4	6632	0.05		
"Hong Kong, China"	1239	-9289	0	3	99	5	3.3	3	2841	0.22		
"Greece"	1088	-23451	0	-39	95	45	0.3	4	2847	0.05		
"Turkey"	1085	-95455	0	-42	-95	22	1.2	3	4285	0.05		
"Russian Federation"	1066	-1280	0	-4	65	21	1.3	5	4187	0.09		
"New Zealand"	879	-45924	0	-3	-19	56	0.2	3	11141	0.09		
"Poland"	751	-4468	0	91	-92	18	1.5	8	3121	0.08		
"Czech Republic"	714	-2183	0	43	63	28	1	4	2987	0.1		
"Switzerland"	651	-6799	0	-20	-1	20	1.5	4	3384	0.07		
"Singapore"	621	-10726	0	-51	-97	16	1.9	3	5773	0.07		
"Austria"	505	-2982	0	8	615	27	1	3	1514	0.18		
"Denmark"	406	-15584	0	-7	129	35	0.6	5	2182	0.08		
"Saudi Arabia"	392	-64	0	44	-82	32	0.7	3	5816	0.07		
"Ukraine"	384	-1236	0	12	-5	48	0.3	7	3255	0.06		
"Finland"	160	-1001	0	-48	3	44	0.4	3	2842	0.07		
"Estonia"	156	23	0	-4	37	73	0.1	6	2314	0.06		
"Slovakia"	136	-5887	0	66	-97	38	0.5	4	2664	0.07		
"Israel"	121	-971	0	14	34	42	0.4	4	5483	0.07		
"Belarus"	118	100	0	10	69	61	0.2	2	2268	0.23		
"Moldova, Republic of"	75	75	0	-5	121	118	0.03	8	2317	0.08		
"Mozambique"	74	74	0	94	22	108	0.04	8	6196	0.1		
"Luxembourg"	73	-6513	0	40	115	71	0.1	3	1488	0.14		
"Congo"	59	-107	0	-3	-94	154	0.01	-18	6851	0.07		
"Nigeria"	58	46	0	-73	91	53	0.2	17	7792	0.1		
"Bolivia, Plurinational State of"	57	-308	0	16	-40	106	0.04	-3	7978	0.11		
"Romania"	55	-343	0	42	-6	37	0.5	6	1891	0.07		
"Indonesia"	54	-21110	0	16	386	30	0.9	2	5872	0.11		
"Kenya"	51	-221	0	164	862	80	0.09	2	6680	0.08		
"Cyprus"	48	-524	0			105	0.05	-1	3118	0.09		
"Paraguay"	46	30	0	300	63	92	0.06	0	7311	0.15		
"Burkina Faso"	43	43	0	-35	-98	136	0.02	5	6109	0.05		
"Azerbaijan"	21	-139	0	-20	-5	98	0.05	5	3712	0.09		
"Serbia"	21	-854	0	22	-46	65	0.2	9	2497	0.06		
"Bosnia and Herzegovina"	15	15	0	19	255	94	0.06	3	2228	0.07		
"Maldives"	14	14	0	8		151	0.01	-3	4478	0.08		
"Iceland"	14	10	0	9	43	112	0.04	-1	4251	0.05		
"Tunisia"	14	-67	0	26	-18	78	0.10	-1	3411	0.06		
"Tanzania, United Republic of"	11	11	0	14	395	102	0.05	7	6633	0.1		
"Slovenia"	10	-361	0	-13	-78	55	0.2	10	2404	0.07		
"Mauritius"	6	6	0	-14	-73	133	0.02	-2	7320	0.08		
"Macao, China"	5	5	0	32	67	81	0.09	15		0.17		
"Brunei Darussalam"	3	3	0			109	0.04	26	5185	0.11		
"Armenia"	2	2	0		-75	131	0.02	6	3323	0.15		
"Montenegro"	2	2	0	-1	4	152	0.01	0	2382	0.08		
"Kyrgyzstan"	1	1	0	13		127	0.03	1	2892	0.2		
"Lao People's Democratic Republic"	1	1	0	-22		129	0.02	-1	2572	0.28		
"Philippines"	1	-323	0			34	0.6	2	4354	0.09		
"Bulgaria"	1	-473	0	5		57	0.2	6	2237	0.05		
"Egypt"	1	-3029	0	-91		46	0.3	-1	5219	0.05		
"Cambodia"		-251				66	0.1	16	2651	0.18		
"Latvia"		-754				77	0.1	7	1575	0.08		
"Hungary"		-5945				33	0.6	6	2180	0.09		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Ethiopia"						90	0.07	1	6305	0.11		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Georgia"						113	0.04	-2	2513	0.09		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Zambia"						119	0.03	-9	5447	0.14		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Togo"						153	0.01	10	7318	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
