Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Tunisia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Tunisia (%)	
"World"	16432745	-5379223	100	2	19		100	3				
"France"	3966802	1542594	24.1	-4	9	6	3.2	1	3195	0.06		
"Italy"	3015623	90972	18.4	5	29	11	2.5	2	2891	0.06		
"Germany"	2093785	711894	12.7	4	23	3	6.5	3	3376	0.05		
"Area Nes"	1034095	406165	6.3	8	29							
"Spain"	675717	-245501	4.1	5	-17	15	1.9	3	3890	0.05		
"Libya, State of"	642507	564947	3.9	9	43	89	0.07	12	3475	0.08		
"Netherlands"	428919	188869	2.6	10	36	8	2.8	5	3706	0.07		
"United States of America"	379870	-174185	2.3	0	29	1	13.4	3	7938	0.08		
"Belgium"	308697	-33877	1.9	6	11	12	2.4	3	2709	0.08		
"United Kingdom"	270270	39748	1.6	-4	-2	7	3.2	1	3930	0.06		
"Morocco"	251332	128464	1.5	5	24	52	0.3	4	4316	0.07		
"Algeria"	233837	-563934	1.4	-16	-21	64	0.2	-8	4584	0.07		
"Turkey"	230223	-959301	1.4	6	44	22	1.2	3	4285	0.05		
"Switzerland"	203322	-30312	1.2	-10	64	20	1.5	4	3384	0.07		
"India"	171793	-238183	1	8	148	10	2.6	2	5793	0.05		
"Poland"	157693	19851	1	-1	3	18	1.5	8	3121	0.08		
"Romania"	152435	-65786	0.9	3	97	37	0.5	6	1891	0.07		
"Austria"	95807	-3208	0.6	5	-10	27	1	3	1514	0.18		
"United Arab Emirates"	94616	-74518	0.6	1	55	29	0.9	-2	5715	0.08		
"Malta"	93180	58385	0.6	19	-25	120	0.03	1	3249	0.08		
"Canada"	91295	-61940	0.6	29	10	14	2.2	1	5042	0.26		
"Bangladesh"	91276	78705	0.6	-4	55	49	0.3	6	4172	0.15		
"Slovakia"	88657	6309	0.5	23	26	38	0.5	4	2664	0.07		
"Portugal"	88519	-79155	0.5	3	17	40	0.4	2	2788	0.14		
"Côte d'Ivoire"	84343	76890	0.5	13	58	93	0.06	9	6793	0.08		
"Czech Republic"	83672	-28650	0.5	-15	26	28	1	4	2987	0.1		
"Ireland"	76338	34628	0.5	59	26	36	0.5	4	3265	0.1		
"China"	73735	-2214363	0.4	9	68	2	11.1	5	6416	0.04		
"Egypt"	66925	-199352	0.4	9	28	46	0.3	-1	5219	0.05		
"Greece"	63112	-498040	0.4	32	-5	45	0.3	4	2847	0.05		
"Sweden"	62634	-16962	0.4	19	100	31	0.9	3	2128	0.07		
"Senegal"	54578	51045	0.3	-4	34	110	0.04	4	6632	0.05		
"Hungary"	48397	-40824	0.3	-5	51	33	0.6	6	2180	0.09		
"Japan"	47801	-127437	0.3	36	31	4	3.5	1	6256	0.09		
"Hong Kong, China"	45917	2010	0.3	2	73	5	3.3	3	2841	0.22		
"Brazil"	37340	-250123	0.2	27	23	26	1	6	10879	0.09		
"Saudi Arabia"	34926	-428847	0.2	4	27	32	0.7	3	5816	0.07		
"Cameroon"	34456	32778	0.2	15	10	116	0.03	8	7279	0.14		
"Indonesia"	29975	-67064	0.2	16	29	30	0.9	2	5872	0.11		
"Guinea"	29865	29010	0.2	25	15	135	0.02	7	9140	0.19		
"Burkina Faso"	27622	27429	0.2	13	8	136	0.02	5	6109	0.05		
"Malaysia"	26891	-21024	0.2	1	26	25	1.1	3	5172	0.09		
"Korea, Republic of"	24500	-290390	0.1	25	26	9	2.8	4	5699	0.09		
"Mexico"	24398	-28586	0.1	5	61	13	2.3	2	7039	0.24		
"Gabon"	24369	23910	0.1	7	22	158	0.01	-2	7114	0.11		
"Australia"	23890	18979	0.1	33	214	24	1.1	1	10262	0.1		
"Honduras"	22912	22296	0.1		96564	99	0.05	4	6104	0.16		
"Ghana"	22831	11932	0.1	2	43	82	0.08	8	8888	0.18		
"Ethiopia"	22071	21577	0.1	-20	-21	90	0.07	1	6305	0.11		
"Russian Federation"	20997	-517193	0.1	-4	0	21	1.3	5	4187	0.09		
"Kenya"	20834	10756	0.1	94	209	80	0.09	2	6680	0.08		
"South Africa"	20544	13044	0.1	3	90	41	0.4	-1	9230	0.07		
"Jordan"	19987	1531	0.1	7	-5	84	0.08	0	5167	0.07		
"Mauritania"	19334	19004	0.1	-2	19	146	0.02	1	5817	0.07		
"Bulgaria"	19332	-242743	0.1	31	15	57	0.2	6	2237	0.05		
