Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Turks and Caicos Islands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Turks and Caicos Islands (%)	
"Total"	9598	-432857	100	-6	-76		100	3				
"United States of America"	5405	-374017	56.3	-15	10	1	13.4	3	7938	0.08		
"Mauritania"	809	809	8.4	277	180	146	0.02	1	5817	0.07		
"France"	669	-4142	7	24	-68	6	3.2	1	3195	0.06		
"Angola"	323	322	3.4	887	-99	100	0.05	-11	7692	0.06		
"Slovakia"	247	247	2.6	-22	-35	38	0.5	4	2664	0.07		
"Burkina Faso"	239	239	2.5	161	-77	136	0.02	5	6109	0.05		
"Comoros"	218	218	2.3	16		192	0	18	5731	0.22		
"Belgium"	207	-338	2.2	-36		12	2.4	3	2709	0.08		
"Switzerland"	173	-6192	1.8	121	2710	20	1.5	4	3384	0.07		
"Canada"	139	-4582	1.4	21	116	14	2.2	1	5042	0.26		
"United Kingdom"	135	-8370	1.4	17	-60	7	3.2	1	3930	0.06		
"Poland"	118	115	1.2	-18	97	18	1.5	8	3121	0.08		
"Lao People's Democratic Republic"	78	78	0.8	33	2585	129	0.02	-1	2572	0.28		
"Germany"	73	-1713	0.8	29	103	3	6.5	3	3376	0.05		
"Senegal"	58	58	0.6	19	354	110	0.04	4	6632	0.05		
"Australia"	56	24	0.6	-18	657	24	1.1	1	10262	0.1		
"Singapore"	55	39	0.6	-32	-87	16	1.9	3	5773	0.07		
"India"	54	-348	0.6	14	800	10	2.6	2	5793	0.05		
