Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ukraine's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ukraine (%)	
"World"	65870276	-4092540	100	9	33		100	3				
"China"	7992492	-2645342	12.1	46	12	2	11.1	5	6416	0.04		
"Poland"	4979135	84311	7.6	13	45	18	1.5	8	3121	0.08		
"Turkey"	3999618	845734	6.1	10	66	22	1.2	3	4285	0.05		
"Russian Federation"	3349120	-2500973	5.1	-6	24	21	1.3	5	4187	0.09		
"Italy"	3241967	621470	4.9	2	68	11	2.5	2	2891	0.06		
"Germany"	2789957	-3278155	4.2	9	33	3	6.5	3	3376	0.05		
"India"	2513805	1579269	3.8	2	27	10	2.6	2	5793	0.05		
"Netherlands"	2128423	1165467	3.2	6	17	8	2.8	5	3706	0.07		
"Egypt"	1909978	1765057	2.9	1	18	46	0.3	-1	5219	0.05		
"Spain"	1639830	689438	2.5	4	31	15	1.9	3	3890	0.05		
"Hungary"	1583363	65600	2.4	1	26	33	0.6	6	2180	0.09		
"United States of America"	1549892	-1860170	2.4	12	58	1	13.4	3	7938	0.08		
"Romania"	1500271	704208	2.3	14	38	37	0.5	6	1891	0.07		
"Belarus"	1462730	-3243796	2.2	5	9	61	0.2	2	2268	0.23		
"Czech Republic"	1378790	-78298	2.1	13	67	28	1	4	2987	0.1		
"United Kingdom"	1045967	-32087	1.6	18	57	7	3.2	1	3930	0.06		
"Slovakia"	948562	21381	1.4	1	112	38	0.5	4	2664	0.07		
"Austria"	904651	75731	1.4	12	55	27	1	3	1514	0.18		
"France"	850253	-879663	1.3	16	41	6	3.2	1	3195	0.06		
"Moldova, Republic of"	841635	733310	1.3	2	23	118	0.03	8	2317	0.08		
"Bulgaria"	781774	267048	1.2	13	53	57	0.2	6	2237	0.05		
"Saudi Arabia"	779546	602818	1.2	8	8	32	0.7	3	5816	0.07		
"Indonesia"	734953	320347	1.1	15	0	30	0.9	2	5872	0.11		
"Israel"	711704	500181	1.1	3	26	42	0.4	4	5483	0.07		
"Iraq"	686667	686539	1	7	15	62	0.2	3	4107	0.18		
"Belgium"	650164	-74579	1	7	13	12	2.4	3	2709	0.08		
"Iran, Islamic Republic of"	590277	495480	0.9	-4	128	72	0.1	-18	5612	0.13		
"Pakistan"	572624	480655	0.9	41	73	47	0.3	2	4850	0.11		
"Lithuania"	553374	-672830	0.8	11	27	59	0.2	7	1630	0.07		
"Morocco"	520873	395268	0.8	18	46	52	0.3	4	4316	0.07		
"United Arab Emirates"	516974	435243	0.8	5	19	29	0.9	-2	5715	0.08		
"Georgia"	430525	231162	0.7	-3	18	113	0.04	-2	2513	0.09		
"Libya, State of"	425007	277940	0.6	16	30	89	0.07	12	3475	0.08		
"Kazakhstan"	424541	-381643	0.6	1	26	58	0.2	6	3017	0.25		
"Algeria"	410228	365444	0.6	-6	15	64	0.2	-8	4584	0.07		
"Uzbekistan"	402821	142021	0.6	20	36	74	0.1	16	3412	0.12		
"Azerbaijan"	389534	-262173	0.6	2	12	98	0.05	5	3712	0.09		
"Tunisia"	386055	344185	0.6	7	-7	78	0.10	-1	3411	0.06		
"Lebanon"	386038	381637	0.6	-4	18	97	0.06	-12	3592	0.06		
"Dominican Republic"	360743	353490	0.5	330	327	67	0.1	5	6446	0.22		
"Japan"	341494	-871986	0.5	7	88	4	3.5	1	6256	0.09		
"Portugal"	315640	226683	0.5	3	35	40	0.4	2	2788	0.14		
"Latvia"	282462	78564	0.4	3	22	77	0.1	7	1575	0.08		
"Denmark"	279836	-15644	0.4	8	13	35	0.6	5	2182	0.08		
"Viet Nam"	278634	-286565	0.4	28	53	19	1.5	8	3535	0.19		
"Korea, Republic of"	267278	-409113	0.4	-2	-24	9	2.8	4	5699	0.09		
"Thailand"	262989	10893	0.4	-2	60	23	1.2	2	4905	0.09		
"Bangladesh"	250567	127259	0.4	-3	-29	49	0.3	6	4172	0.15		
"Ethiopia"	245732	239172	0.4	21	77	90	0.07	1	6305	0.11		
"Yemen"	234705	232324	0.4	55	36	107	0.04	11	5706	0.11		
"Greece"	221452	-226873	0.3	-2	24	45	0.3	4	2847	0.05		
"Switzerland"	212246	-1406914	0.3	1	49	20	1.5	4	3384	0.07		
"Colombia"	207304	126538	0.3	41	598	51	0.3	4	8915	0.13		
"Serbia"	195731	4615	0.3	-4	45	65	0.2	9	2497	0.06		
"Jordan"	193812	186195	0.3	5	22	84	0.08	0	5167	0.07		
"Brazil"	189414	-181894	0.3	89	195	26	1	6	10879	0.09		
"Mexico"	188569	-111111	0.3	-1	171	13	2.3	2	7039	0.24		
"Oman"	183473	166971	0.3	45	116	83	0.08	-6	5977	0.08		
"Costa Rica"	163770	119582	0.2	45	121	86	0.08	3	6987	0.22		
"Estonia"	163201	-10666	0.2	1	51	73	0.1	6	2314	0.06		
"Canada"	155871	-95815	0.2	26	92	14	2.2	1	5042	0.26		
"Kenya"	155008	137962	0.2	17	99	80	0.09	2	6680	0.08		
"Nigeria"	153646	145238	0.2	6	122	53	0.2	17	7792	0.1		
"Qatar"	140219	122809	0.2	37	9	70	0.1	0	5745	0.06		
"Ghana"	136989	7048	0.2	19	68	82	0.08	8	8888	0.18		
"Malaysia"	136388	-140070	0.2	5	-25	25	1.1	3	5172	0.09		
"Area Nes"	132609	85996	0.2	-8	43							
"Armenia"	130870	106367	0.2	2	16	131	0.02	6	3323	0.15		
"Peru"	126544	96505	0.2	71	141	54	0.2	3	10420	0.13		
"Senegal"	123964	121525	0.2	-2	50	110	0.04	4	6632	0.05		
"Macedonia, North"	120707	99174	0.2	55	49	103	0.05	8	1348	0.09		
"Finland"	108100	-195106	0.2	3	94	44	0.4	3	2842	0.07		
"Philippines"	107527	42249	0.2	-14	-37	34	0.6	2	4354	0.09		
"Sweden"	106078	-611081	0.2	7	40	31	0.9	3	2128	0.07		
"Taipei, Chinese"	104962	-181336	0.2	11	143	17	1.7	8	5007	0.1		
"Cameroon"	99461	98597	0.2	31	93	116	0.03	8	7279	0.14		
"Ireland"	97899	-130828	0.1	14	8	36	0.5	4	3265	0.1		
"Côte d'Ivoire"	92918	7932	0.1	3	119	93	0.06	9	6793	0.08		
"Djibouti"	82553	79442	0.1	49	275	130	0.02	5	6387	0.22		
"Hong Kong, China"	78142	40178	0.1	12	10	5	3.3	3	2841	0.22		
"Slovenia"	67381	-212412	0.1	21	65	55	0.2	10	2404	0.07		
"Mauritania"	63265	59036	0.1	-5	50	146	0.02	1	5817	0.07		
"Australia"	61333	-93537	0.1	37	45	24	1.1	1	10262	0.1		
"Tanzania, United Republic of"	54894	51030	0.1	95	58	102	0.05	7	6633	0.1		
"Guatemala"	53903	-13367	0.1	205	231	68	0.1	7	5828	0.15		
"Sudan"	53027	43846	0.1	-2	-19	122	0.03	-2		0.13		
"Turkmenistan"	52523	-37286	0.1	-3	-6	148	0.02	4	3495	0.15		
"Kyrgyzstan"	51469	49215	0.1	13	21	127	0.03	1	2892	0.2		
"Benin"	47325	47310	0.1	50	310	149	0.01	-2	6481	0.07		
"Croatia"	46589	-18820	0.1	12	59	63	0.2	6	1362	0.07		
"Cyprus"	46310	13744	0.1	-13	46	105	0.05	-1	3118	0.09		
"Albania"	39768	32961	0.1	18	33	121	0.03	6	1886	0.13		
"Norway"	38355	-333646	0.1	14	41	39	0.5	3	3470	0.06		
"Kuwait"	38151	36135	0.1	24	5	76	0.1	-3	5837	0.07		
"Gambia"	37355	37355	0.1	19	82	167	0	7	8260	0.14		
"Haiti"	36589	36428	0.1	139	142	140	0.02	0	6340	0.18		
"Togo"	36369	36280	0.1	10	160	153	0.01	10	7318	0.08		
"Argentina"	33463	-27491	0.1	23	493	50	0.3	-5	10631	0.1		
"Burkina Faso"	30676	30493	0	17	151	136	0.02	5	6109	0.05		
"Malta"	30373	12749	0	-27	253	120	0.03	1	3249	0.08		
"Mali"	28215	21611	0	14	77	141	0.02	9	5008	0.1		
"Bosnia and Herzegovina"	26355	15070	0	10	42	94	0.06	3	2228	0.07		
"Myanmar"	26320	6854	0	-9	-30	79	0.10	-1	2536	0.25		
"Mongolia"	25109	24779	0	0	9	125	0.03	8	3267	0.22		
"Sri Lanka"	23317	-14290	0	-20	-34	85	0.08	-3	4351	0.16		
"Mozambique"	22764	11210	0	74	-15	108	0.04	8	6196	0.1		
"Tajikistan"	22022	20999	0	-12	-9	142	0.02	9	2803	0.17		
"South Africa"	21870	-74078	0	-24	-27	41	0.4	-1	9230	0.07		
"Singapore"	21787	-24384	0	-22	-82	16	1.9	3	5773	0.07		
"Palestine, State of"	21729	21692	0	1	-17	176	0	8	3026	0.1		
