Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in United Kingdom's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by United Kingdom (%)	
"World"	468059106	-221639701	100	-1	18		100	3				
"United States of America"	59850388	159316	12.8	-1	8	1	13.4	3	7938	0.08		
"Germany"	40670824	-34687889	8.7	-4	-2	3	6.5	3	3376	0.05		
"Switzerland"	39647835	28716880	8.5	11	116	20	1.5	4	3384	0.07		
"Netherlands"	35194475	-8081209	7.5	2	39	8	2.8	5	3706	0.07		
"Ireland"	29071169	9691682	6.2	3	4	36	0.5	4	3265	0.1		
"France"	26163570	-4593111	5.6	-6	10	6	3.2	1	3195	0.06		
"China"	20889601	-70272591	4.5	-4	13	2	11.1	5	6416	0.04		
"Belgium"	20001561	-11053080	4.3	-1	46	12	2.4	3	2709	0.08		
"Area Nes"	15885825	9065563	3.4	19	57							
"Italy"	12178180	-13667141	2.6	-4	10	11	2.5	2	2891	0.06		
"Spain"	11172195	-9273457	2.4	-6	0	15	1.9	3	3890	0.05		
"Hong Kong, China"	9839953	3749411	2.1	1	-2	5	3.3	3	2841	0.22		
"United Arab Emirates"	7856419	5622889	1.7	-9	29	29	0.9	-2	5715	0.08		
"Japan"	7568329	-2025326	1.6	-1	6	4	3.5	1	6256	0.09		
"Singapore"	7166173	5252867	1.5	1	27	16	1.9	3	5773	0.07		
"Europe Othr. Nes"	7129566	7129566	1.5									
"Canada"	7022021	-7191093	1.5	3	-7	14	2.2	1	5042	0.26		
"Korea, Republic of"	6463453	210570	1.4	-7	32	9	2.8	4	5699	0.09		
"Turkey"	6274172	-8813270	1.3	-15	0	22	1.2	3	4285	0.05		
"Sweden"	6078483	-2868726	1.3	-5	8	31	0.9	3	2128	0.07		
"India"	6077147	-5249177	1.3	-2	55	10	2.6	2	5793	0.05		
"Australia"	5805077	2226008	1.2	-1	12	24	1.1	1	10262	0.1		
"Poland"	5432853	-8524457	1.2	-5	-9	18	1.5	8	3121	0.08		
"Norway"	4181965	-31784019	0.9	3	-19	39	0.5	3	3470	0.06		
"Saudi Arabia"	4141932	2935218	0.9	-8	17	32	0.7	3	5816	0.07		
"Russian Federation"	3820039	-21031401	0.8	-1	38	21	1.3	5	4187	0.09		
"Denmark"	3354486	-3180228	0.7	-3	11	35	0.6	5	2182	0.08		
"Brazil"	2518433	-875688	0.5	0	13	26	1	6	10879	0.09		
"Czech Republic"	2441424	-3613031	0.5	-3	-7	28	1	4	2987	0.1		
"Austria"	2420297	-2517286	0.5	0	-13	27	1	3	1514	0.18		
"Qatar"	2337559	46448	0.5	-5	-27	70	0.1	0	5745	0.06		
"Malaysia"	2060045	-1137937	0.4	2	20	25	1.1	3	5172	0.09		
"Macedonia, North"	2048563	1846218	0.4	17	48	103	0.05	8	1348	0.09		
"South Africa"	1981476	-8528695	0.4	-11	18	41	0.4	-1	9230	0.07		
"Egypt"	1883647	663385	0.4	2	45	46	0.3	-1	5219	0.05		
"Israel"	1859393	-276521	0.4	7	-8	42	0.4	4	5483	0.07		
"Taipei, Chinese"	1858088	-2936090	0.4	4	12	17	1.7	8	5007	0.1		
"Thailand"	1806340	-1754291	0.4	-1	26	23	1.2	2	4905	0.09		
"Hungary"	1675089	-1536803	0.4	-4	7	33	0.6	6	2180	0.09		
"Portugal"	1660418	-1965230	0.4	-5	-13	40	0.4	2	2788	0.14		
"Nigeria"	1636656	334109	0.3	-1	28	53	0.2	17	7792	0.1		
"Mexico"	1421146	-2373542	0.3	-10	8	13	2.3	2	7039	0.24		
"Finland"	1343865	-1510503	0.3	-7	-15	44	0.4	3	2842	0.07		
"Slovakia"	1288365	-1776104	0.3	15	8	38	0.5	4	2664	0.07		
"Romania"	1255950	-1311330	0.3	-7	-10	37	0.5	6	1891	0.07		
"New Zealand"	1147309	136053	0.2	-2	27	56	0.2	3	11141	0.09		
"Greece"	973100	-214270	0.2	-9	-13	45	0.3	4	2847	0.05		
