Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in United States of America's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by United States of America (%)	
"World"	1753941406	-1183123078	100	1	23		100	3				
"Canada"	307000703	-58736817	17.5	0	20	14	2.2	1	5042	0.26		
"Mexico"	276458852	-111919258	15.8	0	31	13	2.3	2	7039	0.24		
"China"	151065225	-390482066	8.6	3	21	2	11.1	5	6416	0.04		
"Japan"	74970192	-64419666	4.3	0	18	4	3.5	1	6256	0.09		
"Korea, Republic of"	65771801	-33048721	3.7	5	29	9	2.8	4	5699	0.09		
"Germany"	65174169	-73066688	3.7	4	13	3	6.5	3	3376	0.05		
"United Kingdom"	61463010	3971454	3.5	0	5	7	3.2	1	3930	0.06		
"Netherlands"	53580185	17322658	3.1	5	18	8	2.8	5	3706	0.07		
"Brazil"	46882052	14039037	2.7	3	36	26	1	6	10879	0.09		
"India"	40130084	-36890185	2.3	7	48	10	2.6	2	5793	0.05		
"Taipei, Chinese"	36944135	-43792554	2.1	7	22	17	1.7	8	5007	0.1		
"Singapore"	35762643	5923431	2	2	33	16	1.9	3	5773	0.07		
"Belgium"	33653582	12114959	1.9	1	22	12	2.4	3	2709	0.08		
"France"	30681321	-21051467	1.7	-5	9	6	3.2	1	3195	0.06		
"Hong Kong, China"	29958053	25723594	1.7	-10	26	5	3.3	3	2841	0.22		
"Australia"	26433694	13649798	1.5	1	13	24	1.1	1	10262	0.1		
"Switzerland"	24016809	-39630158	1.4	0	33	20	1.5	4	3384	0.07		
"Italy"	21775221	-41287220	1.2	2	9	11	2.5	2	2891	0.06		
"Chile"	17340332	1379882	1	3	39	43	0.4	6	11582	0.13		
"United Arab Emirates"	17079143	10858141	1	-6	16	29	0.9	-2	5715	0.08		
"Colombia"	16451441	2720621	0.9	2	38	51	0.3	4	8915	0.13		
"Spain"	16061989	-3390327	0.9	8	25	15	1.9	3	3890	0.05		
"Malaysia"	15171488	-42669511	0.9	3	23	25	1.1	3	5172	0.09		
"Ireland"	13556416	-60491829	0.8	4	42	36	0.5	4	3265	0.1		
"Israel"	12820429	-6176055	0.7	-3	26	42	0.4	4	5483	0.07		
"Thailand"	12697229	-37731290	0.7	2	13	23	1.2	2	4905	0.09		
"Turkey"	11894645	-5171458	0.7	4	19	22	1.2	3	4285	0.05		
"Saudi Arabia"	11138042	-2792593	0.6	-9	0	32	0.7	3	5816	0.07		
"Viet Nam"	10947236	-97248281	0.6	6	10	19	1.5	8	3535	0.19		
"Dominican Republic"	10444400	3898612	0.6	4	39	67	0.1	5	6446	0.22		
"Peru"	10242464	2906460	0.6	1	35	54	0.2	3	10420	0.13		
"Indonesia"	9478654	-19474422	0.5	6	28	30	0.9	2	5872	0.11		
"Philippines"	9268867	-5306636	0.5	1	20	34	0.6	2	4354	0.09		
"Panama"	8273011	7489414	0.5	4	46	60	0.2	1	8657	0.12		
"Guatemala"	7997091	2922219	0.5	2	37	68	0.1	7	5828	0.15		
"Argentina"	7739467	2347290	0.4	-9	31	50	0.3	-5	10631	0.1		
"Costa Rica"	7311571	468331	0.4	2	29	86	0.08	3	6987	0.22		
"Honduras"	6512260	1063542	0.4	2	55	99	0.05	4	6104	0.16		
"Russian Federation"	6388256	-24374047	0.4	-5	31	21	1.3	5	4187	0.09		
"Poland"	5907585	-4256259	0.3	5	19	18	1.5	8	3121	0.08		
"Egypt"	5786374	2280611	0.3	7	24	46	0.3	-1	5219	0.05		
"South Africa"	5501252	-10460180	0.3	-1	26	41	0.4	-1	9230	0.07		
"Sweden"	5139621	-10358274	0.3	7	8	31	0.9	3	2128	0.07		
