Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Uzbekistan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Uzbekistan (%)	
"World"	14034977	-9689298	100	9	7		100	3				
"Area Nes"	4802820	4800076	34.2	13	-26							
"China"	1744424	-3116291	12.4	1	36	2	11.1	5	6416	0.04		
"Russian Federation"	1703536	-3628155	12.1	0	47	21	1.3	5	4187	0.09		
"Turkey"	1638927	-17041	11.7	16	73	22	1.2	3	4285	0.05		
"Kazakhstan"	1023478	-1677641	7.3	-4	40	58	0.2	6	3017	0.25		
"Kyrgyzstan"	770421	613335	5.5	51	8	127	0.03	1	2892	0.2		
"Afghanistan"	493900	488068	3.5	1	-13	147	0.02	-8	2990	0.12		
"Tajikistan"	329180	231228	2.3	44	16	142	0.02	9	2803	0.17		
"Ukraine"	225226	-244958	1.6	21	89	48	0.3	7	3255	0.06		
"Iran, Islamic Republic of"	167890	-85757	1.2	-10	24	72	0.1	-18	5612	0.13		
"Pakistan"	126629	75900	0.9	99	30	47	0.3	2	4850	0.11		
"Turkmenistan"	95077	-592713	0.7	21	28	148	0.02	4	3495	0.15		
"Poland"	86851	-72269	0.6	25	53	18	1.5	8	3121	0.08		
"Azerbaijan"	73214	31131	0.5	31	43	98	0.05	5	3712	0.09		
"Lithuania"	60200	-376862	0.4	81	91	59	0.2	7	1630	0.07		
"Belarus"	52122	-261985	0.4	15	40	61	0.2	2	2268	0.23		
"Latvia"	49319	-121175	0.4	-9	56	77	0.1	7	1575	0.08		
"Singapore"	37882	31695	0.3	-24	371	16	1.9	3	5773	0.07		
"Italy"	37876	-347938	0.3	30	175	11	2.5	2	2891	0.06		
"Germany"	36937	-609036	0.3	38	65	3	6.5	3	3376	0.05		
