Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Venezuela, Bolivarian Republic of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Venezuela, Bolivarian Republic of (%)	
"Total"	3291830	-3956987	100	-47	-31		100	3				
"China"	910016	-1035777	27.6	-49	70	2	11.1	5	6416	0.04		
"Turkey"	551235	251538	16.7	3	792	22	1.2	3	4285	0.05		
"United States of America"	326955	-1325758	9.9	-69	82	1	13.4	3	7938	0.08		
"Netherlands"	184131	150439	5.6	-13	160	8	2.8	5	3706	0.07		
"Brazil"	162530	-923459	4.9	-23	114	26	1	6	10879	0.09		
"Italy"	144811	38895	4.4	-3	-30	11	2.5	2	2891	0.06		
"Guatemala"	123944	110654	3.8	50	149	68	0.1	7	5828	0.15		
"India"	98619	-213303	3	-61	-96	10	2.6	2	5793	0.05		
"Egypt"	85819	77512	2.6	2	3741	46	0.3	-1	5219	0.05		
"France"	77961	53278	2.4	-1	-1	6	3.2	1	3195	0.06		
"Spain"	74779	-53175	2.3	-29	-78	15	1.9	3	3890	0.05		
"Colombia"	69378	-261794	2.1	-32	152	51	0.3	4	8915	0.13		
"Japan"	53388	35168	1.6	-17	42	4	3.5	1	6256	0.09		
"Taipei, Chinese"	52435	36488	1.6	37	213	17	1.7	8	5007	0.1		
"Germany"	50434	-9483	1.5	-44	47	3	6.5	3	3376	0.05		
"Belgium"	37815	-283	1.1	-34	20	12	2.4	3	2709	0.08		
"United Kingdom"	36988	17501	1.1	-22	-22	7	3.2	1	3930	0.06		
"Portugal"	34930	24775	1.1	12	20	40	0.4	2	2788	0.14		
"Thailand"	26268	14105	0.8	41	248	23	1.2	2	4905	0.09		
"Malaysia"	18327	7980	0.6	-42	-96	25	1.1	3	5172	0.09		
"Ecuador"	17661	-31705	0.5	3	52	69	0.1	3	9174	0.12		
"Korea, Republic of"	15062	-16100	0.5	-10	4	9	2.8	4	5699	0.09		
"Guyana"	14163	-50630	0.4	14	153	144	0.02	13	11175	0.21		
"Indonesia"	13841	-9009	0.4	42	21	30	0.9	2	5872	0.11		
"Dominican Republic"	13709	-11101	0.4	-39	159	67	0.1	5	6446	0.22		
"Canada"	11609	-122574	0.4	-8	19	14	2.2	1	5042	0.26		
"Hong Kong, China"	10249	518	0.3	-26	53	5	3.3	3	2841	0.22		
"Chile"	9500	-48001	0.3	-35	-49	43	0.4	6	11582	0.13		
"Peru"	8505	-78547	0.3	-13	-32	54	0.2	3	10420	0.13		
"Czech Republic"	7536	4431	0.2	16	-43	28	1	4	2987	0.1		
"Greece"	7280	5256	0.2	49	-66	45	0.3	4	2847	0.05		
"Argentina"	6587	-168570	0.2	-18	5	50	0.3	-5	10631	0.1		
"Poland"	3487	-11311	0.1	-54	473	18	1.5	8	3121	0.08		
"Tunisia"	3244	3244	0.1	183	2197	78	0.10	-1	3411	0.06		
"Estonia"	2538	1501	0.1	38	24	73	0.1	6	2314	0.06		
"Romania"	2336	2221	0.1	213	-53	37	0.5	6	1891	0.07		
"Switzerland"	2217	-30964	0.1	-14	-9	20	1.5	4	3384	0.07		
"Morocco"	2157	1235	0.1	-24	91	52	0.3	4	4316	0.07		
"Cambodia"	1960	1887	0.1	162		66	0.1	16	2651	0.18		
"Russian Federation"	1790	-144811	0.1	22	16	21	1.3	5	4187	0.09		
"Israel"	1364	527	0	-46	74	42	0.4	4	5483	0.07		
"Bolivia, Plurinational State of"	1290	-7977	0	-32	39	106	0.04	-3	7978	0.11		
"Australia"	1252	-7134	0	-7	43	24	1.1	1	10262	0.1		
"Slovakia"	1226	770	0	10	25	38	0.5	4	2664	0.07		
"Denmark"	1078	-8556	0	-33	413	35	0.6	5	2182	0.08		
"Singapore"	880	-4314	0	-88	-37	16	1.9	3	5773	0.07		
"Luxembourg"	718	-84	0	13	240	71	0.1	3	1488	0.14		
"Ukraine"	672	-4371	0	57	-10	48	0.3	7	3255	0.06		
"Slovenia"	639	-752	0	54	70	55	0.2	10	2404	0.07		
"Croatia"	620	440	0	-29	40	63	0.2	6	1362	0.07		
"Honduras"	580	323	0	-17	117	99	0.05	4	6104	0.16		
"Saudi Arabia"	548	-1378	0	-34	96	32	0.7	3	5816	0.07		
"Nigeria"	526	526	0	-37	101	53	0.2	17	7792	0.1		
"Sweden"	526	-2368	0	-90	1597	31	0.9	3	2128	0.07		
"Philippines"	521	184	0	72	-27	34	0.6	2	4354	0.09		
"South Africa"	420	-1536	0	-70	395	41	0.4	-1	9230	0.07		
"Nicaragua"	344	-15521	0	-75	-23	104	0.05	4	5888	0.1		
"New Zealand"	331	61	0	2	252	56	0.2	3	11141	0.09		
"Norway"	259	-633	0	-59	-12	39	0.5	3	3470	0.06		
"Comoros"	254	254	0			192	0	18	5731	0.22		
"Mexico"	253	-170993	0	-76	-97	13	2.3	2	7039	0.24		
"El Salvador"	181	-2417	0	-79	98	88	0.07	9	4914	0.15		
"Zambia"	118	118	0	94	4014	119	0.03	-9	5447	0.14		
"Belarus"	106	-1073	0	-14	-50	61	0.2	2	2268	0.23		
"Pakistan"	99	-2830	0	-3	-89	47	0.3	2	4850	0.11		
"Austria"	87	-9683	0	-38	-73	27	1	3	1514	0.18		
"Ireland"	82	-308	0	-4	-49	36	0.5	4	3265	0.1		
"Paraguay"	79	-1286	0	-62	60	92	0.06	0	7311	0.15		
"Serbia"	63	63	0	10	-5	65	0.2	9	2497	0.06		
"Maldives"	63	63	0	132	34	151	0.01	-3	4478	0.08		
"Cyprus"	54	-496	0	-55	286	105	0.05	-1	3118	0.09		
"Brunei Darussalam"	53	53	0	136		109	0.04	26	5185	0.11		
"Finland"	52	-1409	0	-21	73	44	0.4	3	2842	0.07		
"Congo"	46	46	0	83	-65	154	0.01	-18	6851	0.07		
"Senegal"	41	-131	0	-53	-76	110	0.04	4	6632	0.05		
"Angola"	21	-194	0	-56	-99	100	0.05	-11	7692	0.06		
"Moldova, Republic of"	20	20	0	-39		118	0.03	8	2317	0.08		
"Burkina Faso"	20	20	0	-79	46	136	0.02	5	6109	0.05		
"Tanzania, United Republic of"	19	19	0	266		102	0.05	7	6633	0.1		
"Azerbaijan"	18	18	0	-50	500	98	0.05	5	3712	0.09		
"Iceland"	16	-564	0	-18	80	112	0.04	-1	4251	0.05		
"Lithuania"	16	-1446	0	-19	167	59	0.2	7	1630	0.07		
"Grenada"	13	13	0	-49	-91	191	0	-1	4157	0.2		
"Mozambique"	12	12	0	6		108	0.04	8	6196	0.1		
"Bulgaria"	11	-227	0	-15		57	0.2	6	2237	0.05		
"Barbados"	9	-50	0	-39	291	161	0	0	4992	0.21		
"Macao, China"	7	7	0	-15		81	0.09	15		0.17		
"Montenegro"	6	6	0	-16	-25	152	0.01	0	2382	0.08		
"Armenia"	5	5	0	20		131	0.02	6	3323	0.15		
"Mauritius"	5	-19	0	-29	18	133	0.02	-2	7320	0.08		
"Bosnia and Herzegovina"	4	4	0	-65	224	94	0.06	3	2228	0.07		
"Malta"	2	2	0	-16	-56	120	0.03	1	3249	0.08		
"Fiji"	2	2	0	24	-98	157	0.01	-7	7384	0.12		
"Kenya"	2	-594	0		-99	80	0.09	2	6680	0.08		
"Hungary"	2	-853	0	-71	0	33	0.6	6	2180	0.09		
"Madagascar"	1	1	0	66		138	0.02	2	7339	0.08		
"Latvia"		-232				77	0.1	7	1575	0.08		
"Georgia"		-522				113	0.04	-2	2513	0.09		
"Uzbekistan"		-678				74	0.1	16	3412	0.12		
"Ethiopia"		-929				90	0.07	1	6305	0.11		
"Aruba"		-1257				175	0	-3	4917	0.3		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Togo"						153	0.01	10	7318	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
