Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Viet Nam's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Viet Nam (%)	
"Total"	406755914	77556653	100	12	17		100	3				
"United States of America"	108195517	97248281	26.6	23	30	1	13.4	3	7938	0.08		
"China"	83003642	-42807483	20.4	13	6	2	11.1	5	6416	0.04		
"Korea, Republic of"	23965702	-32763363	5.9	9	16	9	2.8	4	5699	0.09		
"Japan"	23013572	3899068	5.7	5	4	4	3.5	1	6256	0.09		
"Hong Kong, China"	15139793	1734496	3.7	21	-1	5	3.3	3	2841	0.22		
"Germany"	12671915	8263864	3.1	3	8	3	6.5	3	3376	0.05		
"Mexico"	8608257	8481581	2.1	18	30	13	2.3	2	7039	0.24		
"Canada"	7850084	7324464	1.9	19	29	14	2.2	1	5042	0.26		
"Netherlands"	7178132	6057061	1.8	5	3	8	2.8	5	3706	0.07		
"India"	7075315	436925	1.7	8	27	10	2.6	2	5793	0.05		
"Thailand"	6970452	-5343578	1.7	6	26	23	1.2	2	4905	0.09		
"France"	6515446	5042237	1.6	2	6	6	3.2	1	3195	0.06		
"United Kingdom"	6282687	5479451	1.5	1	25	7	3.2	1	3930	0.06		
"Taipei, Chinese"	6155813	-7857674	1.5	19	11	17	1.7	8	5007	0.1		
"Malaysia"	5736488	-5247738	1.4	1	34	25	1.1	3	5172	0.09		
"Australia"	5104786	-1911319	1.3	5	19	24	1.1	1	10262	0.1		
"Russian Federation"	4893324	2654808	1.2	9	21	21	1.3	5	4187	0.09		
"Slovakia"	4764130	4732533	1.2	-1	12	38	0.5	4	2664	0.07		
"Philippines"	4469123	2830363	1.1	11	43	34	0.6	2	4354	0.09		
"Singapore"	4386939	-11293317	1.1	7	9	16	1.9	3	5773	0.07		
"Indonesia"	4212976	-2450397	1	3	35	30	0.9	2	5872	0.11		
"Italy"	4165180	2763187	1	9	27	11	2.5	2	2891	0.06		
"Poland"	4073704	3593338	1	18	24	18	1.5	8	3121	0.08		
"Spain"	3316050	2770044	0.8	1	18	15	1.9	3	3890	0.05		
"Austria"	3220529	2993753	0.8	-8	2	27	1	3	1514	0.18		
"Belgium"	3201901	2161892	0.8	5	28	12	2.4	3	2709	0.08		
"Cambodia"	3143535	2635884	0.8	15	18	66	0.1	16	2651	0.18		
"Brazil"	2773614	153712	0.7	5	18	26	1	6	10879	0.09		
"Switzerland"	1877506	1348072	0.5	12	-35	20	1.5	4	3384	0.07		
"Czech Republic"	1792807	1701228	0.4	19	25	28	1	4	2987	0.1		
"Turkey"	1573059	1236395	0.4	-15	15	22	1.2	3	4285	0.05		
"Sweden"	1540215	1293127	0.4	7	11	31	0.9	3	2128	0.07		
"Saudi Arabia"	1451193	758645	0.4	-6	21	32	0.7	3	5816	0.07		
"Israel"	1226932	1068158	0.3	6	217	42	0.4	4	5483	0.07		
"Argentina"	1184386	-2036533	0.3	16	57	50	0.3	-5	10631	0.1		
"Chile"	1176536	903508	0.3	11	60	43	0.4	6	11582	0.13		
"South Africa"	1065023	651584	0.3	0	21	41	0.4	-1	9230	0.07		
"Hungary"	973437	870822	0.2	37	-3	33	0.6	6	2180	0.09		
"Norway"	968079	685284	0.2	17	11	39	0.5	3	3470	0.06		
"Colombia"	916168	895270	0.2	13	47	51	0.3	4	8915	0.13		
"New Zealand"	908984	319251	0.2	9	44	56	0.2	3	11141	0.09		
"Peru"	838744	771498	0.2	19	78	54	0.2	3	10420	0.13		
"Egypt"	737087	704178	0.2	10	43	46	0.3	-1	5219	0.05		
"Finland"	638192	380514	0.2	21	49	44	0.4	3	2842	0.07		
"Pakistan"	579098	384343	0.1	8	32	47	0.3	2	4850	0.11		
"Ukraine"	565199	286565	0.1	9	22	48	0.3	7	3255	0.06		
"Ireland"	555415	415660	0.1	50	341	36	0.5	4	3265	0.1		
"Portugal"	530201	446717	0.1	9	48	40	0.4	2	2788	0.14		
"Denmark"	464537	227116	0.1	0	26	35	0.6	5	2182	0.08		
"Lao People's Democratic Republic"	422893	-232049	0.1	-1	5	129	0.02	-1	2572	0.28		
"Guatemala"	343451	341204	0.1	49	68	68	0.1	7	5828	0.15		
"Morocco"	333834	322304	0.1	10	24	52	0.3	4	4316	0.07		
"Slovenia"	310878	268473	0.1	19	58	55	0.2	10	2404	0.07		
"Greece"	293129	239845	0.1	6	26	45	0.3	4	2847	0.05		
"Romania"	245531	132066	0.1	11	9	37	0.5	6	1891	0.07		
"Ecuador"	232193	188815	0.1	6	30	69	0.1	3	9174	0.12		
"Serbia"	232109	226472	0.1	6	3	65	0.2	9	2497	0.06		
"Luxembourg"	225426	159644	0.1	12	36	71	0.1	3	1488	0.14		
"Latvia"	212182	191982	0.1	12	9	77	0.1	7	1575	0.08		
"Honduras"	127310	126158	0	23	78	99	0.05	4	6104	0.16		
"Uzbekistan"	117661	96864	0	75	61	74	0.1	16	3412	0.12		
"Bulgaria"	116951	4040	0	23	51	57	0.2	6	2237	0.05		
"Estonia"	113475	101425	0	12	32	73	0.1	6	2314	0.06		
"Azerbaijan"	112701	39646	0	22	40	98	0.05	5	3712	0.09		
"Belarus"	106001	82426	0	17	28	61	0.2	2	2268	0.23		
"El Salvador"	105726	104366	0	34	46	88	0.07	9	4914	0.15		
"Nigeria"	104868	-208035	0	56	-21	53	0.2	17	7792	0.1		
"Kenya"	90394	69428	0	22	50	80	0.09	2	6680	0.08		
"Dominican Republic"	88166	73949	0	3	62	67	0.1	5	6446	0.22		
"Macao, China"	82289	68093	0	2	14	81	0.09	15		0.17		
"Bosnia and Herzegovina"	79268	78370	0	8	7	94	0.06	3	2228	0.07		
"Mozambique"	71407	25823	0	4	-1	108	0.04	8	6196	0.1		
"Tunisia"	67536	61843	0	-6	13	78	0.10	-1	3411	0.06		
"Lithuania"	67315	22952	0	25	55	59	0.2	7	1630	0.07		
"Iceland"	59466	58655	0	25	42	112	0.04	-1	4251	0.05		
