Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Yemen's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Yemen (%)	
"Total"	1800466	-7438193	100	6	46		100	3				
"Thailand"	555304	291153	30.8	21	1105	23	1.2	2	4905	0.09		
"China"	397817	-1918545	22.1	-10	-41	2	11.1	5	6416	0.04		
"Saudi Arabia"	226260	-877603	12.6	15	27	32	0.7	3	5816	0.07		
"Austria"	144779	133265	8	3716	804	27	1	3	1514	0.18		
"India"	103902	-663958	5.8	-11	657	10	2.6	2	5793	0.05		
"Germany"	102223	-8371	5.7	128	606	3	6.5	3	3376	0.05		
"Korea, Republic of"	48349	-70255	2.7	-1	21	9	2.8	4	5699	0.09		
"Pakistan"	44693	-38246	2.5	31	77	47	0.3	2	4850	0.11		
"Egypt"	42879	-268251	2.4	12	-2	46	0.3	-1	5219	0.05		
"Malaysia"	26303	-168974	1.5	13	-61	25	1.1	3	5172	0.09		
"Turkey"	21139	-1076848	1.2	139	176	22	1.2	3	4285	0.05		
"Italy"	14374	-70175	0.8	2	128	11	2.5	2	2891	0.06		
"United States of America"	10795	-261008	0.6	7	161	1	13.4	3	7938	0.08		
"Hong Kong, China"	9465	8862	0.5	-12	-11	5	3.3	3	2841	0.22		
"Belgium"	7794	-115401	0.4	21	127	12	2.4	3	2709	0.08		
"Netherlands"	6870	-82441	0.4	7	80	8	2.8	5	3706	0.07		
"Japan"	6365	-288593	0.4	-4	-2	4	3.5	1	6256	0.09		
"Taipei, Chinese"	5580	-6629	0.3	15	-40	17	1.7	8	5007	0.1		
"Singapore"	4693	-6719	0.3	32	-84	16	1.9	3	5773	0.07		
"Spain"	4304	-41210	0.2	-23	-36	15	1.9	3	3890	0.05		
"Ethiopia"	2658	-28339	0.1	-5	-2	90	0.07	1	6305	0.11		
"Ukraine"	2381	-232324	0.1	36	1003	48	0.3	7	3255	0.06		
"France"	2129	-130741	0.1	18	-15	6	3.2	1	3195	0.06		
"Chile"	2058	2058	0.1		653	43	0.4	6	11582	0.13		
"Greece"	1921	-5794	0.1	0	-37	45	0.3	4	2847	0.05		
"United Kingdom"	1083	-51607	0.1	0	72	7	3.2	1	3930	0.06		
"Bulgaria"	738	-13149	0	-16	-76	57	0.2	6	2237	0.05		
"Indonesia"	676	-128924	0	-11	-64	30	0.9	2	5872	0.11		
"Congo"	608	608	0			154	0.01	-18	6851	0.07		
"Switzerland"	401	-16363	0	9	3521	20	1.5	4	3384	0.07		
"Canada"	392	-5147	0	23	-22	14	2.2	1	5042	0.26		
"Portugal"	301	-1718	0	-16	-42	40	0.4	2	2788	0.14		
"Romania"	174	-16232	0	372		37	0.5	6	1891	0.07		
"Benin"	163	163	0			149	0.01	-2	6481	0.07		
"Australia"	158	-256257	0	63	237	24	1.1	1	10262	0.1		
"Russian Federation"	157	-234226	0	3	3422	21	1.3	5	4187	0.09		
"Mozambique"	103	103	0	-23	5724	108	0.04	8	6196	0.1		
"Kenya"	74	-45397	0	-6	6	80	0.09	2	6680	0.08		
"Macao, China"	65	65	0	98	550	81	0.09	15		0.17		
"Dominican Republic"	48	48	0	20	1859	67	0.1	5	6446	0.22		
"Poland"	45	-19797	0	52	-97	18	1.5	8	3121	0.08		
"Tanzania, United Republic of"	42	-3931	0	-42	-82	102	0.05	7	6633	0.1		
"Brunei Darussalam"	30	30	0	-7		109	0.04	26	5185	0.11		
"Nigeria"	30	-118	0	71		53	0.2	17	7792	0.1		
"Cambodia"	18	18	0	-8		66	0.1	16	2651	0.18		
"South Africa"	17	-36087	0	71	178	41	0.4	-1	9230	0.07		
"Brazil"	17	-269440	0	-12	-47	26	1	6	10879	0.09		
"Norway"	14	-41	0	11	-66	39	0.5	3	3470	0.06		
"Ireland"	14	-12843	0	-21	-72	36	0.5	4	3265	0.1		
