Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Zimbabwe's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Zimbabwe (%)	
"Total"	2063471	-2869953	100	-2	6		100	3				
"China"	892482	62186	43.3	0	2	2	11.1	5	6416	0.04		
"South Africa"	186682	-2741205	9	-7	66	41	0.4	-1	9230	0.07		
"Italy"	125244	107034	6.1	-1	48	11	2.5	2	2891	0.06		
"Belgium"	114871	89044	5.6	29	-23	12	2.4	3	2709	0.08		
"Indonesia"	80626	76383	3.9	7	40	30	0.9	2	5872	0.11		
"Zambia"	80217	-118341	3.9	0	27	119	0.03	-9	5447	0.14		
"France"	59784	32417	2.9	-1	30	6	3.2	1	3195	0.06		
"United States of America"	44245	-299	2.1	-9	16	1	13.4	3	7938	0.08		
"Germany"	39750	-6258	1.9	-14	23	3	6.5	3	3376	0.05		
"Netherlands"	38471	4255	1.9	-11	-42	8	2.8	5	3706	0.07		
"Russian Federation"	34846	26929	1.7	-5	-24	21	1.3	5	4187	0.09		
"Japan"	31902	10437	1.5	44	-6	4	3.5	1	6256	0.09		
"Poland"	29241	22066	1.4	18	24	18	1.5	8	3121	0.08		
"Mozambique"	26370	-184736	1.3	25	49	108	0.04	8	6196	0.1		
"Hong Kong, China"	22751	-27875	1.1	-14	11	5	3.3	3	2841	0.22		
"Egypt"	20436	-3597	1	85	-58	46	0.3	-1	5219	0.05		
"Spain"	18176	8818	0.9	5	48	15	1.9	3	3890	0.05		
"Kenya"	17260	-9921	0.8	1	-68	80	0.09	2	6680	0.08		
"Turkey"	16478	1747	0.8	12	21	22	1.2	3	4285	0.05		
"Pakistan"	14321	1838	0.7	66	814	47	0.3	2	4850	0.11		
"United Kingdom"	14146	-41355	0.7	-45	-13	7	3.2	1	3930	0.06		
"Armenia"	13877	13847	0.7	1	-4	131	0.02	6	3323	0.15		
"Tanzania, United Republic of"	9906	-4950	0.5	77	113	102	0.05	7	6633	0.1		
"Korea, Republic of"	9627	-10777	0.5	-1	-15	9	2.8	4	5699	0.09		
"Singapore"	8604	6580	0.4	-19	-15	16	1.9	3	5773	0.07		
"Canada"	7770	600	0.4	-3	22	14	2.2	1	5042	0.26		
"Romania"	7392	7373	0.4	29	29	37	0.5	6	1891	0.07		
"Finland"	6532	-4899	0.3	62	1793	44	0.4	3	2842	0.07		
"Portugal"	6478	5519	0.3	-11	2	40	0.4	2	2788	0.14		
"Taipei, Chinese"	6074	4114	0.3	-33	19	17	1.7	8	5007	0.1		
"Philippines"	5909	5883	0.3	11	530	34	0.6	2	4354	0.09		
"India"	5715	-183137	0.3	-50	130	10	2.6	2	5793	0.05		
"Switzerland"	5469	493	0.3	16	-9	20	1.5	4	3384	0.07		
"Mauritius"	5032	2655	0.2	-13	866	133	0.02	-2	7320	0.08		
"Tunisia"	4853	3786	0.2	0	44	78	0.10	-1	3411	0.06		
"Sweden"	4554	1473	0.2	-13	247	31	0.9	3	2128	0.07		
"Hungary"	4305	3868	0.2	4	-19	33	0.6	6	2180	0.09		
"Czech Republic"	4194	1947	0.2	21	15	28	1	4	2987	0.1		
"Thailand"	3835	-7844	0.2	22	87	23	1.2	2	4905	0.09		
"Nigeria"	3648	3648	0.2	41	18	53	0.2	17	7792	0.1		
"Madagascar"	2921	1602	0.1	8	-16	138	0.02	2	7339	0.08		
"Saudi Arabia"	2620	2263	0.1	12	36	32	0.7	3	5816	0.07		
"Serbia"	2617	2494	0.1	11	17	65	0.2	9	2497	0.06		
"Ukraine"	2420	2379	0.1	-36	20	48	0.3	7	3255	0.06		
"Slovenia"	2379	1875	0.1	-4	15	55	0.2	10	2404	0.07		
"Croatia"	2017	1965	0.1	5	4	63	0.2	6	1362	0.07		
"Luxembourg"	1900	1378	0.1	57	29	71	0.1	3	1488	0.14		
"Norway"	1180	-245	0.1	-8	-24	39	0.5	3	3470	0.06		
"Bulgaria"	1119	-41	0.1	50	-47	57	0.2	6	2237	0.05		
"Malaysia"	895	-1406	0	16	-53	25	1.1	3	5172	0.09		
"Uzbekistan"	884	884	0	-16	-39	74	0.1	16	3412	0.12		
"Cambodia"	863	863	0	17	254	66	0.1	16	2651	0.18		
"Ethiopia"	771	-1161	0	113	49	90	0.07	1	6305	0.11		
"Azerbaijan"	766	766	0	16	-42	98	0.05	5	3712	0.09		
"Greece"	726	-645	0	-33	-80	45	0.3	4	2847	0.05		
"Ireland"	718	-3897	0	-24	6843	36	0.5	4	3265	0.1		
"Israel"	688	-2064	0	38	44	42	0.4	4	5483	0.07		
"New Zealand"	682	-772	0	-24	186	56	0.2	3	11141	0.09		
"Austria"	627	-2776	0	6	-28	27	1	3	1514	0.18		
"Angola"	592	592	0	-9	1	100	0.05	-11	7692	0.06		
"Brazil"	502	-9827	0	-23	706	26	1	6	10879	0.09		
"Belarus"	486	-2518	0	41	338	61	0.2	2	2268	0.23		
"Argentina"	434	-1877	0	-5	-4	50	0.3	-5	10631	0.1		
"Slovakia"	329	-2317	0	37	-46	38	0.5	4	2664	0.07		
"Bosnia and Herzegovina"	286	286	0	8	-73	94	0.06	3	2228	0.07		
"Australia"	266	-865	0	-18	-30	24	1.1	1	10262	0.1		
"Macao, China"	259	259	0	178	354	81	0.09	15		0.17		
"Iceland"	224	224	0	36	7	112	0.04	-1	4251	0.05		
"Moldova, Republic of"	194	193	0	78	-9	118	0.03	8	2317	0.08		
"Dominican Republic"	190	189	0	3	8991	67	0.1	5	6446	0.22		
"Estonia"	174	132	0	-15	-62	73	0.1	6	2314	0.06		
"Denmark"	168	-12523	0	-9	-78	35	0.6	5	2182	0.08		
"Mexico"	160	160	0	-42	-85	13	2.3	2	7039	0.24		
"Lao People's Democratic Republic"	132	132	0	-43	-77	129	0.02	-1	2572	0.28		
"Montenegro"	53	53	0	4	-65	152	0.01	0	2382	0.08		
"Kyrgyzstan"	52	52	0			127	0.03	1	2892	0.2		
"Burkina Faso"	21	21	0			136	0.02	5	6109	0.05		
"Barbados"	21	15	0	-44		161	0	0	4992	0.21		
"Chile"	21	8	0	-50	-87	43	0.4	6	11582	0.13		
"Benin"	19	19	0	40		149	0.01	-2	6481	0.07		
"Cyprus"	7	-1523	0	11	-46	105	0.05	-1	3118	0.09		
"Lithuania"	5	-803	0	-33		59	0.2	7	1630	0.07		
"Honduras"	3	3	0	-69	-85	99	0.05	4	6104	0.16		
"Brunei Darussalam"	2	2	0			109	0.04	26	5185	0.11		
"Peru"	2	-12	0	-56	-61	54	0.2	3	10420	0.13		
"Malta"	1	1	0	-67		120	0.03	1	3249	0.08		
"Maldives"	1	1	0			151	0.01	-3	4478	0.08		
"Morocco"	1	-25	0	-80		52	0.3	4	4316	0.07		
"Colombia"		-51				51	0.3	4	8915	0.13		
"Paraguay"		-178				92	0.06	0	7311	0.15		
"Latvia"		-195				77	0.1	7	1575	0.08		
"Georgia"		-2785				113	0.04	-2	2513	0.09		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Guatemala"						68	0.1	7	5828	0.15		
"Ecuador"						69	0.1	3	9174	0.12		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"El Salvador"						88	0.07	9	4914	0.15		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Nicaragua"						104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Senegal"						110	0.04	4	6632	0.05		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Cuba"						145	0.02	-13	7148	0.09		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"Togo"						153	0.01	10	7318	0.08		
"Congo"						154	0.01	-18	6851	0.07		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
