Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Albania's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Albania (%)	
"Total"	3287624	-3392426	100	6	37		100	3				
"Italy"	1475856	-440535	44.9	3	34	11	2.5	2	2891	0.06		
"Greece"	251791	-557841	7.7	21	72	45	0.3	4	2847	0.05		
"Spain"	233941	145010	7.1	8	43	15	1.9	3	3890	0.05		
"Germany"	175023	-188343	5.3	11	5	3	6.5	3	3376	0.05		
"China"	144603	-408344	4.4	-9	81	2	11.1	5	6416	0.04		
"France"	72595	16553	2.2	-11	-10	6	3.2	1	3195	0.06		
"Serbia"	71505	-152787	2.2	11	43	65	0.2	9	2497	0.06		
"United States of America"	70623	-26935	2.1	6	45	1	13.4	3	7938	0.08		
"Czech Republic"	62455	-11958	1.9	18	16	28	1	4	2987	0.1		
"Turkey"	60788	-729516	1.8	25	81	22	1.2	3	4285	0.05		
"Bulgaria"	49353	-90963	1.5	29	10	57	0.2	6	2237	0.05		
"Slovakia"	45621	-970	1.4	63	188	38	0.5	4	2664	0.07		
"Montenegro"	42783	22829	1.3	3	8	152	0.01	0	2382	0.08		
"Poland"	37397	-64844	1.1	28	-8	18	1.5	8	3121	0.08		
"Romania"	36931	-40598	1.1	-5	12	37	0.5	6	1891	0.07		
"Bosnia and Herzegovina"	36649	5146	1.1	26	63	94	0.06	3	2228	0.07		
"Japan"	35748	32277	1.1	30	114	4	3.5	1	6256	0.09		
"Sweden"	30730	21928	0.9	12	29	31	0.9	3	2128	0.07		
