Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Algeria's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Algeria (%)	
"Total"	37322036	2860377	100	-5	70		100	3				
"Italy"	6602706	4515759	17.7	-3	84	11	2.5	2	2891	0.06		
"Spain"	5639436	3406474	15.1	-5	97	15	1.9	3	3890	0.05		
"France"	5103320	716676	13.7	1	67	6	3.2	1	3195	0.06		
"United States of America"	1907299	1123674	5.1	-31	279	1	13.4	3	7938	0.08		
"Korea, Republic of"	1902850	1705597	5.1	13	110	9	2.8	4	5699	0.09		
"Netherlands"	1693704	1123650	4.5	8	130	8	2.8	5	3706	0.07		
"United Kingdom"	1434745	1134738	3.8	-18	136	7	3.2	1	3930	0.06		
"Turkey"	1194880	-503941	3.2	2	111	22	1.2	3	4285	0.05		
"Singapore"	1161572	1119649	3.1	226	59	16	1.9	3	5773	0.07		
"Brazil"	1139928	-378459	3.1	-23	48	26	1	6	10879	0.09		
"Belgium"	1097810	214611	2.9	-8	57	12	2.4	3	2709	0.08		
"China"	1018412	-4680304	2.7	16	2	2	11.1	5	6416	0.04		
"Germany"	911039	-1266608	2.4	-8	28	3	6.5	3	3376	0.05		
"Tunisia"	797771	563934	2.1	1	-12	78	0.10	-1	3411	0.06		
"Thailand"	731172	669139	2	8	379	23	1.2	2	4905	0.09		
"Greece"	712034	628296	1.9	20	2	45	0.3	4	2847	0.05		
"Morocco"	649198	534361	1.7	-2	50	52	0.3	4	4316	0.07		
"India"	636614	-65990	1.7	-16	-11	10	2.6	2	5793	0.05		
"Japan"	560682	472065	1.5	16	120	4	3.5	1	6256	0.09		
"Taipei, Chinese"	428418	373310	1.1	15	41	17	1.7	8	5007	0.1		
"Portugal"	321923	80459	0.9	-8	1	40	0.4	2	2788	0.14		
"Indonesia"	300261	64485	0.8	-8	64	30	0.9	2	5872	0.11		
"Malaysia"	212449	96204	0.6	168	23	25	1.1	3	5172	0.09		
"Australia"	157391	153135	0.4	-27	35	24	1.1	1	10262	0.1		
"Austria"	116784	-49842	0.3	1	-53	27	1	3	1514	0.18		
"Philippines"	100734	99030	0.3	-20	40773	34	0.6	2	4354	0.09		
"Mauritania"	78378	78238	0.2	36	80	146	0.02	1	5817	0.07		
"Egypt"	59538	-447612	0.2	-36	-65	46	0.3	-1	5219	0.05		
"Poland"	58774	-646005	0.2	21	6	18	1.5	8	3121	0.08		
"Bulgaria"	52059	-44963	0.1	107	1047	57	0.2	6	2237	0.05		
"Argentina"	46695	-1420682	0.1	19	-31	50	0.3	-5	10631	0.1		
"Canada"	46238	-815783	0.1	-51	48	14	2.2	1	5042	0.26		
"Romania"	45157	-11907	0.1	21	949	37	0.5	6	1891	0.07		
"Ukraine"	44784	-365444	0.1	37	523	48	0.3	7	3255	0.06		
"Mexico"	39494	-106090	0.1	15	24	13	2.3	2	7039	0.24		
"Switzerland"	32536	-183139	0.1	44	-55	20	1.5	4	3384	0.07		
"Saudi Arabia"	27227	-645644	0.1	34	550	32	0.7	3	5816	0.07		
"Burkina Faso"	25601	25583	0.1	152	105	136	0.02	5	6109	0.05		
"Ireland"	24695	-64055	0.1	-37	158	36	0.5	4	3265	0.1		
"Croatia"	24200	17091	0.1	60	89	63	0.2	6	1362	0.07		
"Dominican Republic"	21876	21848	0.1	358	105	67	0.1	5	6446	0.22		
"Russian Federation"	18267	-2971180	0	13	99	21	1.3	5	4187	0.09		
"Israel"	14942	14942	0			42	0.4	4	5483	0.07		
"Sweden"	13407	-270783	0	-10	80	31	0.9	3	2128	0.07		
"Norway"	10441	-25133	0	-27	347	39	0.5	3	3470	0.06		
"Peru"	10259	6188	0	939	35	54	0.2	3	10420	0.13		
"Malta"	9231	6608	0	-5	100	120	0.03	1	3249	0.08		
"Senegal"	9049	8697	0	15	-66	110	0.04	4	6632	0.05		
