Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Angola's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Angola (%)	
"World"	33743794	22384113	100	-7	60		100	3				
"China"	20324472	18613929	60.2	-5	55	2	11.1	5	6416	0.04		
"India"	3059806	2299931	9.1	-7	88	10	2.6	2	5793	0.05		
"United Arab Emirates"	1410405	1093120	4.2	9	55	29	0.9	-2	5715	0.08		
"Thailand"	1004972	844925	3	43	13	23	1.2	2	4905	0.09		
"Singapore"	750094	688188	2.2	20	72	16	1.9	3	5773	0.07		
"Spain"	713659	581770	2.1	-15	36	15	1.9	3	3890	0.05		
"Italy"	639378	216230	1.9	0	140	11	2.5	2	2891	0.06		
"Chile"	518157	512417	1.5	370	589	43	0.4	6	11582	0.13		
"South Africa"	512143	151717	1.5	-31	184	41	0.4	-1	9230	0.07		
"Netherlands"	469447	24961	1.4	44	103	8	2.8	5	3706	0.07		
"United States of America"	467976	-62892	1.4	-27	25	1	13.4	3	7938	0.08		
"Indonesia"	437787	270733	1.3	-26	1591	30	0.9	2	5872	0.11		
"Canada"	425383	339580	1.3	-31	321	14	2.2	1	5042	0.26		
"Uruguay"	334142	332726	1	1011	114	95	0.06	0	9836	0.11		
"Area Nes"	327080	327080	1	-17	262							
"Pakistan"	286338	269859	0.8	354	2263	47	0.3	2	4850	0.11		
"Congo, Democratic Republic of the"	262281	255440	0.8	10	418	111	0.04	13	6479	0.14		
"France"	242534	-173580	0.7	-13	-35	6	3.2	1	3195	0.06		
"Belgium"	199713	-189077	0.6	65	27	12	2.4	3	2709	0.08		
"Brazil"	166290	-366552	0.5	2	74	26	1	6	10879	0.09		
"Taipei, Chinese"	135185	124901	0.4	-33	-53	17	1.7	8	5007	0.1		
"Malaysia"	122862	-87862	0.4	-36	103	25	1.1	3	5172	0.09		
"Greece"	100377	97958	0.3	766	1031	45	0.3	4	2847	0.05		
"Korea, Republic of"	93030	-129375	0.3	-8	44	9	2.8	4	5699	0.09		
"Japan"	90441	-48772	0.3	-32	71	4	3.5	1	6256	0.09		
"Israel"	90278	79333	0.3	-23	18	42	0.4	4	5483	0.07		
"Portugal"	80280	-1294360	0.2	-34	-71	40	0.4	2	2788	0.14		
