Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Austria's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Austria (%)	
"World"	202927906	-16335814	100	3	20		100	3				
"Germany"	59785581	-27308692	29.5	3	19	3	6.5	3	3376	0.05		
"Italy"	13370946	-251481	6.6	4	31	11	2.5	2	2891	0.06		
"United States of America"	12720918	8832128	6.3	3	23	1	13.4	3	7938	0.08		
"Switzerland"	10268143	-907576	5.1	4	13	20	1.5	4	3384	0.07		
"Poland"	8147910	892892	4	11	23	18	1.5	8	3121	0.08		
"Slovakia"	7766210	2181662	3.8	-3	13	38	0.5	4	2664	0.07		
"France"	7544102	2550166	3.7	-2	7	6	3.2	1	3195	0.06		
"Hungary"	7380538	1575461	3.6	5	28	33	0.6	6	2180	0.09		
"Czech Republic"	7152387	-3052457	3.5	3	23	28	1	4	2987	0.1		
"China"	5760708	-3588123	2.8	5	26	2	11.1	5	6416	0.04		
"United Kingdom"	5358474	2883617	2.6	4	15	7	3.2	1	3930	0.06		
"Slovenia"	4120618	562290	2	4	27	55	0.2	10	2404	0.07		
"Netherlands"	3822321	-5903444	1.9	5	16	8	2.8	5	3706	0.07		
"Romania"	3756875	1259590	1.9	6	30	37	0.5	6	1891	0.07		
"Belgium"	3514620	-1395961	1.7	12	14	12	2.4	3	2709	0.08		
"Spain"	2994531	413021	1.5	-1	31	15	1.9	3	3890	0.05		
"Russian Federation"	2423465	1669871	1.2	0	-2	21	1.3	5	4187	0.09		
"Sweden"	2168257	228359	1.1	2	21	31	0.9	3	2128	0.07		
"Japan"	2040768	600742	1	7	17	4	3.5	1	6256	0.09		
"Croatia"	1829731	679477	0.9	4	25	63	0.2	6	1362	0.07		
"Turkey"	1796546	-412001	0.9	3	22	22	1.2	3	4285	0.05		
"Canada"	1708926	1342426	0.8	6	35	14	2.2	1	5042	0.26		
"Mexico"	1559900	1419595	0.8	4	23	13	2.3	2	7039	0.24		
"Australia"	1375437	1245786	0.7	-1	19	24	1.1	1	10262	0.1		
"India"	1257555	456209	0.6	6	29	10	2.6	2	5793	0.05		
"Korea, Republic of"	1246255	91041	0.6	4	9	9	2.8	4	5699	0.09		
"Serbia"	1110831	317850	0.5	6	28	65	0.2	9	2497	0.06		
"Denmark"	1096560	185517	0.5	7	22	35	0.6	5	2182	0.08		
"Bulgaria"	1018071	230962	0.5	5	13	57	0.2	6	2237	0.05		
"Taipei, Chinese"	967245	128326	0.5	17	39	17	1.7	8	5007	0.1		
"Brazil"	924374	789902	0.5	0	26	26	1	6	10879	0.09		
"Special categories"	917689	-4110887	0.5	-27	42							
"Finland"	860616	139991	0.4	4	23	44	0.4	3	2842	0.07		
"Ukraine"	773800	-260091	0.4	8	21	48	0.3	7	3255	0.06		
"South Africa"	725620	272468	0.4	6	37	41	0.4	-1	9230	0.07		
"Norway"	723465	650909	0.4	5	18	39	0.5	3	3470	0.06		
"Greece"	677124	344196	0.3	9	20	45	0.3	4	2847	0.05		
"United Arab Emirates"	662874	576535	0.3	-3	22	29	0.9	-2	5715	0.08		
"Hong Kong, China"	603318	506860	0.3	-2	35	5	3.3	3	2841	0.22		
