Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Azerbaijan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Azerbaijan (%)	
"World"	22206671	10508175	100	4	62		100	3				
"Italy"	9243666	8823691	41.6	8	122	11	2.5	2	2891	0.06		
"Turkey"	2818136	974453	12.7	19	8	22	1.2	3	4285	0.05		
"Russian Federation"	920820	-1152491	4.1	10	30	21	1.3	5	4187	0.09		
"Israel"	898097	867791	4	-4	105	42	0.4	4	5483	0.07		
"Croatia"	751279	747903	3.4	37	60	63	0.2	6	1362	0.07		
"Georgia"	661081	558869	3	5	43	113	0.04	-2	2513	0.09		
"Germany"	650259	17511	2.9	-5	178	3	6.5	3	3376	0.05		
"India"	594431	449759	2.7	2	30	10	2.6	2	5793	0.05		
"Portugal"	587440	570874	2.6	-5	145	40	0.4	2	2788	0.14		
"Tunisia"	577312	574792	2.6	32	85	78	0.10	-1	3411	0.06		
"Spain"	564436	483057	2.5	6	71	15	1.9	3	3890	0.05		
"Ukraine"	452449	-15634	2	1	28	48	0.3	7	3255	0.06		
"Greece"	415416	395071	1.9	36	-21	45	0.3	4	2847	0.05		
"United Kingdom"	396742	125658	1.8	49	152	7	3.2	1	3930	0.06		
"Belarus"	295502	166548	1.3	114	79	61	0.2	2	2268	0.23		
"Switzerland"	272549	93493	1.2	14	21	20	1.5	4	3384	0.07		
"Czech Republic"	263789	220125	1.2	-25	16	28	1	4	2987	0.1		
"Canada"	221406	209403	1	-59	37111	14	2.2	1	5042	0.26		
"China"	141149	-1498344	0.6	-9	-67	2	11.1	5	6416	0.04		
"Austria"	139995	59373	0.6	-9	10	27	1	3	1514	0.18		
"Thailand"	134161	77879	0.6	3	3	23	1.2	2	4905	0.09		
"Romania"	120592	25648	0.5	-24	19	37	0.5	6	1891	0.07		
"Indonesia"	87319	32601	0.4	-65	18965	30	0.9	2	5872	0.11		
"United States of America"	75147	-367391	0.3	-20	201	1	13.4	3	7938	0.08		
"Viet Nam"	73055	-39646	0.3	15	-58	19	1.5	8	3535	0.19		
"Brazil"	72050	-122916	0.3	333	993	26	1	6	10879	0.09		
"France"	64595	-116330	0.3	-41	-42	6	3.2	1	3195	0.06		
"Gibraltar"	59598	59598	0.3		1718	114	0.03	-5	2572	0.09		
"Bulgaria"	54042	35389	0.2	111	9673	57	0.2	6	2237	0.05		
"Iran, Islamic Republic of"	43287	-354237	0.2	23	12	72	0.1	-18	5612	0.13		
