Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Bangladesh's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Bangladesh (%)	
"Total"	52458371	-17294005	100	5	27		100	3				
"United States of America"	8795887	6458518	16.8	8	40	1	13.4	3	7938	0.08		
"Germany"	8412792	7536406	16	6	28	3	6.5	3	3376	0.05		
"France"	3631397	3405603	6.9	5	26	6	3.2	1	3195	0.06		
"Spain"	3604790	3372402	6.9	4	22	15	1.9	3	3890	0.05		
"United Kingdom"	3298637	2738507	6.3	-3	8	7	3.2	1	3930	0.06		
"Poland"	2945567	2872846	5.6	20	30	18	1.5	8	3121	0.08		
"India"	1764100	-12328648	3.4	26	72	10	2.6	2	5793	0.05		
"Netherlands"	1695829	1280016	3.2	3	16	8	2.8	5	3706	0.07		
"Italy"	1523248	912247	2.9	-2	10	11	2.5	2	2891	0.06		
"Canada"	1505166	711922	2.9	2	28	14	2.2	1	5042	0.26		
"Japan"	1448559	-901356	2.8	3	10	4	3.5	1	6256	0.09		
"Russian Federation"	1273263	-447981	2.4	8	42	21	1.3	5	4187	0.09		
"Switzerland"	1016973	878918	1.9	17	40	20	1.5	4	3384	0.07		
"Denmark"	991588	888193	1.9	7	38	35	0.6	5	2182	0.08		
"China"	950305	-20357443	1.8	0	19	2	11.1	5	6416	0.04		
"Australia"	907412	-135460	1.7	7	24	24	1.1	1	10262	0.1		
"Belgium"	825514	611657	1.6	-7	11	12	2.4	3	2709	0.08		
"Czech Republic"	766653	718923	1.5	10	26	28	1	4	2987	0.1		
"Sweden"	629700	566825	1.2	5	21	31	0.9	3	2128	0.07		
"Korea, Republic of"	551564	-1084288	1.1	15	40	9	2.8	4	5699	0.09		
