Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Belgium's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Belgium (%)	
"World"	547537372	30951541	100	4	31		100	3				
"Germany"	102181198	31468107	18.7	6	40	3	6.5	3	3376	0.05		
"France"	78201436	29738348	14.3	2	36	6	3.2	1	3195	0.06		
"Netherlands"	66960511	-32009016	12.2	3	38	8	2.8	5	3706	0.07		
"Area Nes"	34650635	15334863	6.3	544	475064							
"United States of America"	32750917	99852	6	12	10	1	13.4	3	7938	0.08		
"Italy"	26173532	5287230	4.8	3	21	11	2.5	2	2891	0.06		
"Spain"	15913665	1980817	2.9	6	27	15	1.9	3	3890	0.05		
"Poland"	14079824	5977162	2.6	9	41	18	1.5	8	3121	0.08		
"China"	9504142	-19842320	1.7	3	-3	2	11.1	5	6416	0.04		
"Sweden"	9324872	813484	1.7	4	23	31	0.9	3	2128	0.07		
"Japan"	9029234	-1982161	1.6	19	148	4	3.5	1	6256	0.09		
"Luxembourg"	8131648	5871921	1.5	2	25	71	0.1	3	1488	0.14		
"Turkey"	7374657	907644	1.3	4	29	22	1.2	3	4285	0.05		
"India"	7280341	93249	1.3	-10	43	10	2.6	2	5793	0.05		
"Switzerland"	6464275	-3698381	1.2	-1	13	20	1.5	4	3384	0.07		
"Austria"	5576562	1752558	1	4	31	27	1	3	1514	0.18		
"Russian Federation"	5260422	-3972182	1	3	18	21	1.3	5	4187	0.09		
"Czech Republic"	5149073	236296	0.9	6	26	28	1	4	2987	0.1		
"Canada"	5030053	735853	0.9	11	33	14	2.2	1	5042	0.26		
"Denmark"	4527907	2432680	0.8	8	27	35	0.6	5	2182	0.08		
"Brazil"	4416540	1636309	0.8	0	39	26	1	6	10879	0.09		
"United Arab Emirates"	4349784	2067989	0.8	-3	49	29	0.9	-2	5715	0.08		
"Ireland"	4347836	-17408364	0.8	16	35	36	0.5	4	3265	0.1		
"Hungary"	3764577	641267	0.7	9	14	33	0.6	6	2180	0.09		
"Korea, Republic of"	3464169	-682045	0.6	15	70	9	2.8	4	5699	0.09		
"Nigeria"	3373493	2900153	0.6	-3	105	53	0.2	17	7792	0.1		
"Portugal"	3165428	1271378	0.6	5	36	40	0.4	2	2788	0.14		
"Israel"	3155687	1597640	0.6	3	40	42	0.4	4	5483	0.07		
"Romania"	3032004	1229949	0.6	8	33	37	0.5	6	1891	0.07		
"Australia"	2971924	1935920	0.5	6	45	24	1.1	1	10262	0.1		
"Norway"	2831753	-5727241	0.5	9	48	39	0.5	3	3470	0.06		
"Finland"	2783878	194382	0.5	2	16	44	0.4	3	2842	0.07		
"Egypt"	2693630	2211566	0.5	15	66	46	0.3	-1	5219	0.05		
"Greece"	2563090	2097586	0.5	5	37	45	0.3	4	2847	0.05		
"Saudi Arabia"	2449818	-628162	0.4	4	29	32	0.7	3	5816	0.07		
"Mexico"	1927626	-3104830	0.4	5	39	13	2.3	2	7039	0.24		
"South Africa"	1858277	-1888558	0.3	2	37	41	0.4	-1	9230	0.07		
"Singapore"	1837906	-1952444	0.3	5	13	16	1.9	3	5773	0.07		
"Hong Kong, China"	1624605	1160212	0.3	-12	7	5	3.3	3	2841	0.22		
"Slovakia"	1555370	1264	0.3	4	24	38	0.5	4	2664	0.07		
"Morocco"	1350777	755443	0.2	6	38	52	0.3	4	4316	0.07		
"Lithuania"	1256445	446240	0.2	2	51	59	0.2	7	1630	0.07		
"Malaysia"	1181139	-496393	0.2	13	55	25	1.1	3	5172	0.09		
"Thailand"	1167780	-678301	0.2	-5	28	23	1.2	2	4905	0.09		
"Taipei, Chinese"	1153951	-1401222	0.2	8	1	17	1.7	8	5007	0.1		
"Bulgaria"	1148315	-264638	0.2	5	43	57	0.2	6	2237	0.05		
"Philippines"	1045040	789615	0.2	14	140	34	0.6	2	4354	0.09		
"Viet Nam"	1040009	-2161892	0.2	12	44	19	1.5	8	3535	0.19		
"Senegal"	1031130	990205	0.2	12	75	110	0.04	4	6632	0.05		
"Pakistan"	1024969	484585	0.2	11	113	47	0.3	2	4850	0.11		
"Slovenia"	965518	535052	0.2	5	41	55	0.2	10	2404	0.07		
"Indonesia"	925581	-804176	0.2	10	43	30	0.9	2	5872	0.11		
"Ukraine"	911295	108436	0.2	4	31	48	0.3	7	3255	0.06		
"Algeria"	883199	-214611	0.2	-8	-2	64	0.2	-8	4584	0.07		
"Croatia"	799264	589230	0.1	15	-2	63	0.2	6	1362	0.07		
"Libya, State of"	794726	741131	0.1	47	211	89	0.07	12	3475	0.08		
"Argentina"	761618	445887	0.1	0	29	50	0.3	-5	10631	0.1		
"Chile"	729555	434555	0.1	6	36	43	0.4	6	11582	0.13		
"Ghana"	686135	404826	0.1	10	83	82	0.08	8	8888	0.18		
"Colombia"	650749	128280	0.1	8	44	51	0.3	4	8915	0.13		
"Côte d'Ivoire"	576983	-192486	0.1	8	58	93	0.06	9	6793	0.08		
"Botswana"	570731	-697950	0.1	58	48	124	0.03	2	2968	0.52		
"Estonia"	524169	229595	0.1	5	32	73	0.1	6	2314	0.06		
"Latvia"	520689	304553	0.1	6	41	77	0.1	7	1575	0.08		
"Tunisia"	506793	267574	0.1	4	10	78	0.10	-1	3411	0.06		
"New Zealand"	499773	78731	0.1	11	77	56	0.2	3	11141	0.09		
"Iraq"	475747	471566	0.1	23	39	62	0.2	3	4107	0.18		
"Qatar"	468645	-1155277	0.1	4	42	70	0.1	0	5745	0.06		
"Angola"	461783	-180653	0.1	8	82	100	0.05	-11	7692	0.06		
