Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Bosnia and Herzegovina's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Bosnia and Herzegovina (%)	
"World"	8614111	-4415975	100	5	40		100	3				
"Germany"	1290414	-259914	15	6	36	3	6.5	3	3376	0.05		
"Croatia"	1126626	-33574	13.1	8	42	63	0.2	6	1362	0.07		
"Area Nes"	1110853	-373198	12.9	1	53							
"Italy"	972998	-597405	11.3	4	64	11	2.5	2	2891	0.06		
"Austria"	776434	279093	9	8	32	27	1	3	1514	0.18		
"Slovenia"	736548	141919	8.6	4	32	55	0.2	10	2404	0.07		
"Montenegro"	238199	205146	2.8	0	40	152	0.01	0	2382	0.08		
"Netherlands"	216955	41775	2.5	7	54	8	2.8	5	3706	0.07		
"Turkey"	215756	-549765	2.5	-3	17	22	1.2	3	4285	0.05		
"Switzerland"	203468	112613	2.4	18	31	20	1.5	4	3384	0.07		
"France"	201901	-54012	2.3	13	32	6	3.2	1	3195	0.06		
"Hungary"	159354	-187098	1.8	-3	44	33	0.6	6	2180	0.09		
"Poland"	138779	-233247	1.6	11	58	18	1.5	8	3121	0.08		
"Romania"	130420	92	1.5	5	34	37	0.5	6	1891	0.07		
"Czech Republic"	102502	-106933	1.2	-3	43	28	1	4	2987	0.1		
"Slovakia"	94267	-27045	1.1	-2	38	38	0.5	4	2664	0.07		
"United States of America"	93302	-228236	1.1	28	135	1	13.4	3	7938	0.08		
"Macedonia, North"	80285	-33767	0.9	-1	9	103	0.05	8	1348	0.09		
"Sweden"	64618	-7615	0.8	1	32	31	0.9	3	2128	0.07		
"Russian Federation"	64239	-316376	0.7	-7	-1	21	1.3	5	4187	0.09		
"Spain"	55908	-92334	0.6	-11	61	15	1.9	3	3890	0.05		
"United Kingdom"	54634	-23513	0.6	4	-16	7	3.2	1	3930	0.06		
"Luxembourg"	49577	45884	0.6	3	24	71	0.1	3	1488	0.14		
"Belgium"	44842	-87517	0.5	7	34	12	2.4	3	2709	0.08		
"Bulgaria"	38928	-59617	0.5	-5	69	57	0.2	6	2237	0.05		
"Albania"	31503	-5146	0.4	7	37	121	0.03	6	1886	0.13		
"Denmark"	30391	-12944	0.4	27	49	35	0.6	5	2182	0.08		
"Egypt"	26008	14160	0.3	15	-41	46	0.3	-1	5219	0.05		
"Norway"	24394	12247	0.3	16	66	39	0.5	3	3470	0.06		
