Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Bulgaria's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Bulgaria (%)	
"World"	41943036	-5507618	100	5	31		100	3				
"Germany"	6289402	468446	15	10	23	3	6.5	3	3376	0.05		
"Romania"	4259881	667926	10.2	12	47	37	0.5	6	1891	0.07		
"Italy"	3181665	42393	7.6	2	45	11	2.5	2	2891	0.06		
"Greece"	2786151	272937	6.6	7	31	45	0.3	4	2847	0.05		
"Turkey"	2587391	-1073835	6.2	-4	26	22	1.2	3	4285	0.05		
"France"	1538567	289820	3.7	4	26	6	3.2	1	3195	0.06		
"Belgium"	1371825	453923	3.3	1	23	12	2.4	3	2709	0.08		
"China"	1354335	-1202564	3.2	14	28	2	11.1	5	6416	0.04		
"Spain"	1154231	255365	2.8	5	51	15	1.9	3	3890	0.05		
"Poland"	1065319	-633767	2.5	9	34	18	1.5	8	3121	0.08		
"Netherlands"	1056608	-964867	2.5	6	26	8	2.8	5	3706	0.07		
"Austria"	995603	-262308	2.4	13	63	27	1	3	1514	0.18		
"United States of America"	963141	616714	2.3	16	49	1	13.4	3	7938	0.08		
"Serbia"	924588	20054	2.2	12	43	65	0.2	9	2497	0.06		
"Czech Republic"	923921	-248766	2.2	9	25	28	1	4	2987	0.1		
"Hungary"	775151	-965062	1.8	8	40	33	0.6	6	2180	0.09		
"United Kingdom"	769086	389456	1.8	0	1	7	3.2	1	3930	0.06		
"Special categories"	602492	397325	1.4	-18	-5							
"Macedonia, North"	584863	151045	1.4	9	21	103	0.05	8	1348	0.09		
"Russian Federation"	525405	-3090417	1.3	-9	9	21	1.3	5	4187	0.09		
"Ukraine"	492089	-522369	1.2	26	89	48	0.3	7	3255	0.06		
"Denmark"	400229	183548	1	16	80	35	0.6	5	2182	0.08		
"Croatia"	394915	164916	0.9	23	109	63	0.2	6	1362	0.07		
"Slovakia"	351115	-244438	0.8	10	14	38	0.5	4	2664	0.07		
"Sweden"	330783	30202	0.8	5	17	31	0.9	3	2128	0.07		
"Switzerland"	284004	-64739	0.7	10	37	20	1.5	4	3384	0.07		
"Egypt"	273377	-45381	0.7	-16	42	46	0.3	-1	5219	0.05		
"Tunisia"	264448	240340	0.6	11	77	78	0.10	-1	3411	0.06		
"Slovenia"	260336	-94099	0.6	1	24	55	0.2	10	2404	0.07		
"Korea, Republic of"	250532	78873	0.6	29	131	9	2.8	4	5699	0.09		
"Saudi Arabia"	237012	155786	0.6	49	102	32	0.7	3	5816	0.07		
"Georgia"	234975	-215376	0.6	0	56	113	0.04	-2	2513	0.09		
"Israel"	222101	13376	0.5	16	86	42	0.4	4	5483	0.07		
"Ship stores and bunkers"	188869	188869	0.5	-11	65	75	0.1	-11		0.16		
"Cyprus"	170229	77432	0.4	14	28	105	0.05	-1	3118	0.09		
"Gibraltar"	169009	168991	0.4	12	46	114	0.03	-5	2572	0.09		
"Namibia"	167597	167593	0.4	2	3	126	0.03	-1	3757	0.37		
"India"	163618	-78834	0.4	7	26	10	2.6	2	5793	0.05		
"Portugal"	155789	8163	0.4	3	32	40	0.4	2	2788	0.14		
"Albania"	140316	90963	0.3	10	38	121	0.03	6	1886	0.13		
"Libya, State of"	139502	76382	0.3	24	6	89	0.07	12	3475	0.08		
"Morocco"	115944	10696	0.3	8	17	52	0.3	4	4316	0.07		
"Viet Nam"	112911	-4040	0.3	29	146	19	1.5	8	3535	0.19		
"Mexico"	112829	41007	0.3	14	78	13	2.3	2	7039	0.24		
"Bosnia and Herzegovina"	112081	76065	0.3	10	21	94	0.06	3	2228	0.07		
"Hong Kong, China"	108039	-64134	0.3	11	24	5	3.3	3	2841	0.22		
"Lithuania"	105978	-3635	0.3	6	13	59	0.2	7	1630	0.07		
"Iran, Islamic Republic of"	102865	30511	0.2	18	-6	72	0.1	-18	5612	0.13		
"Algeria"	97022	44963	0.2	-5	9	64	0.2	-8	4584	0.07		
"South Africa"	96254	47725	0.2	2	-23	41	0.4	-1	9230	0.07		
"Pakistan"	95088	51507	0.2	42	260	47	0.3	2	4850	0.11		
"Finland"	94140	-8953	0.2	14	28	44	0.4	3	2842	0.07		
"United Arab Emirates"	93945	49535	0.2	-17	16	29	0.9	-2	5715	0.08		
"Moldova, Republic of"	82532	8523	0.2	1	19	118	0.03	8	2317	0.08		
"Philippines"	80626	20883	0.2	27	-26	34	0.6	2	4354	0.09		
"Canada"	79668	-70929	0.2	10	-41	14	2.2	1	5042	0.26		
"Ireland"	79424	-229433	0.2	4	5	36	0.5	4	3265	0.1		
"Indonesia"	76636	39716	0.2	22	89	30	0.9	2	5872	0.11		
"Luxembourg"	68536	1594	0.2	50	292	71	0.1	3	1488	0.14		
"Thailand"	66270	-13150	0.2	8	-29	23	1.2	2	4905	0.09		
"Japan"	64692	-184104	0.2	8	11	4	3.5	1	6256	0.09		
"Norway"	64614	29022	0.2	8	21	39	0.5	3	3470	0.06		
"Lebanon"	63562	2548	0.2	-5	-47	97	0.06	-12	3592	0.06		
"Belarus"	61163	-3981	0.1	16	-4	61	0.2	2	2268	0.23		
"Iraq"	51387	51263	0.1	5	26	62	0.2	3	4107	0.18		
"Kazakhstan"	47070	44702	0.1	13	24	58	0.2	6	3017	0.25		
"Latvia"	46858	8381	0.1	8	-4	77	0.1	7	1575	0.08		
"Australia"	46708	-80199	0.1	11	-8	24	1.1	1	10262	0.1		
"Armenia"	42563	41498	0.1	9	8	131	0.02	6	3323	0.15		
"Estonia"	42344	-11890	0.1	5	77	73	0.1	6	2314	0.06		
"Jordan"	42198	37811	0.1	13	115	84	0.08	0	5167	0.07		
"Taipei, Chinese"	40525	-165722	0.1	2	-13	17	1.7	8	5007	0.1		
"Malaysia"	38649	-74263	0.1	2	53	25	1.1	3	5172	0.09		
"Brazil"	38448	-180329	0.1	6	-23	26	1	6	10879	0.09		
"Malta"	35021	17894	0.1	12	28	120	0.03	1	3249	0.08		
"Singapore"	34897	-14800	0.1	-49	50	16	1.9	3	5773	0.07		
"Bangladesh"	30863	26462	0.1	18	-1	49	0.3	6	4172	0.15		
"Uzbekistan"	26153	10931	0.1	16	4	74	0.1	16	3412	0.12		
"Azerbaijan"	23453	-52986	0.1	1	40	98	0.05	5	3712	0.09		
"Chile"	19191	-310317	0	18	43	43	0.4	6	11582	0.13		
"Qatar"	18892	2694	0	9	22	70	0.1	0	5745	0.06		
"Nigeria"	18233	-574	0	35	-46	53	0.2	17	7792	0.1		
"Montenegro"	17046	15604	0	-4	-3	152	0.01	0	2382	0.08		
"Ethiopia"	16400	12904	0	-17	1371	90	0.07	1	6305	0.11		
"Sudan"	14702	14702	0	8	-55	122	0.03	-2		0.13		
"Yemen"	13887	13149	0	0	102	107	0.04	11	5706	0.11		
"Côte d'Ivoire"	13092	-31210	0	8	-21	93	0.06	9	6793	0.08		
"Tanzania, United Republic of"	12212	3673	0	16	58	102	0.05	7	6633	0.1		
"Oman"	11110	9474	0	8	-57	83	0.08	-6	5977	0.08		
"Kuwait"	8858	5955	0	3	-15	76	0.1	-3	5837	0.07		
"Sri Lanka"	8269	3995	0	15	0	85	0.08	-3	4351	0.16		
"New Zealand"	7912	-6631	0	2	-4	56	0.2	3	11141	0.09		
"Uganda"	7559	2753	0	17	312	132	0.02	11	5788	0.09		
"Argentina"	7518	-29608	0	-28	14	50	0.3	-5	10631	0.1		
"Colombia"	6891	4185	0	-9	34	51	0.3	4	8915	0.13		
"Ecuador"	5619	-79901	0	23	10	69	0.1	3	9174	0.12		
"Guatemala"	5524	5405	0	4	27	68	0.1	7	5828	0.15		
"Peru"	5414	-381024	0	-27	-35	54	0.2	3	10420	0.13		
"Syrian Arab Republic"	5277	2876	0	-37	32	139	0.02	-3	2496	0.27		
"Dominican Republic"	4896	3869	0	-5	10	67	0.1	5	6446	0.22		
"Niger"	4648	4648	0	81	289	162	0	13	5715	0.09		
"Kyrgyzstan"	4176	1435	0	1	59	127	0.03	1	2892	0.2		
"Senegal"	4109	267	0	85	184	110	0.04	4	6632	0.05		
"Bahrain"	3683	-28112	0	1	69	101	0.05	1	6359	0.08		
"Honduras"	3492	-3729	0	42	71	99	0.05	4	6104	0.16		
"Benin"	3369	3369	0	22	35	149	0.01	-2	6481	0.07		
"Mongolia"	3337	3336	0	12	45	125	0.03	8	3267	0.22		
"Myanmar"	3221	-1403	0	8	-62	79	0.10	-1	2536	0.25		
"Kenya"	2944	2386	0	-17	-16	80	0.09	2	6680	0.08		
"Panama"	2716	-103480	0	-25	24	60	0.2	1	8657	0.12		
"Ghana"	2573	-3340	0	-36	-14	82	0.08	8	8888	0.18		
"Afghanistan"	2400	2398	0	13	-9	147	0.02	-8	2990	0.12		
"Palestine, State of"	2356	2356	0	33	81	176	0	8	3026	0.1		
"Uruguay"	2354	-9106	0	21	43	95	0.06	0	9836	0.11		
"Mauritania"	2199	2197	0	26	14	146	0.02	1	5817	0.07		
"Liberia"	2120	-2315	0	12	136	87	0.07	17	11608	0.19		
"Mauritius"	2074	1212	0	2	-33	133	0.02	-2	7320	0.08		
"Mali"	2063	1927	0	8	19	141	0.02	9	5008	0.1		
"Iceland"	2047	-218	0	-4	105	112	0.04	-1	4251	0.05		
"Costa Rica"	1934	1813	0	-3	3	86	0.08	3	6987	0.22		
"Cambodia"	1843	99	0	0	4	66	0.1	16	2651	0.18		
"Paraguay"	1717	472	0	17	0	92	0.06	0	7311	0.15		
"Rwanda"	1625	1624	0	19	-39	159	0.01	17	5437	0.08		
"El Salvador"	1575	1487	0	31	-67	88	0.07	9	4914	0.15		
"Turkmenistan"	1486	-35477	0	-8	-37	148	0.02	4	3495	0.15		
"Cameroon"	1460	671	0	-15	-38	116	0.03	8	7279	0.14		
"Botswana"	1456	1456	0	-16	3255	124	0.03	2	2968	0.52		
