Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Canada's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Canada (%)	
"World"	503726004	14143331	100	2	29		100	3				
"United States of America"	380589387	143231175	75.6	2	33	1	13.4	3	7938	0.08		
"China"	22987555	-45665951	4.6	3	22	2	11.1	5	6416	0.04		
"United Kingdom"	12941790	6660056	2.6	1	-13	7	3.2	1	3930	0.06		
"Japan"	11447554	-875427	2.3	4	24	4	3.5	1	6256	0.09		
"Mexico"	6530519	-20137657	1.3	-2	43	13	2.3	2	7039	0.24		
"Germany"	5470542	-9774814	1.1	14	15	3	6.5	3	3376	0.05		
"Korea, Republic of"	4533715	-3716424	0.9	0	29	9	2.8	4	5699	0.09		
"Netherlands"	3808700	689569	0.8	11	-6	8	2.8	5	3706	0.07		
"France"	3227848	-2437948	0.6	5	17	6	3.2	1	3195	0.06		
"Belgium"	3016612	-865260	0.6	-2	61	12	2.4	3	2709	0.08		
"Hong Kong, China"	2824769	2484273	0.6	2	99	5	3.3	3	2841	0.22		
"Norway"	2498346	1718042	0.5	11	32	39	0.5	3	3470	0.06		
"Switzerland"	2417213	-2126445	0.5	8	80	20	1.5	4	3384	0.07		
"India"	2361591	-2408682	0.5	-8	-14	10	2.6	2	5793	0.05		
"Italy"	2114243	-6239292	0.4	5	-23	11	2.5	2	2891	0.06		
"Taipei, Chinese"	1947526	-4296245	0.4	7	47	17	1.7	8	5007	0.1		
"Spain"	1854926	-1160673	0.4	3	76	15	1.9	3	3890	0.05		
"Australia"	1844571	56735	0.4	4	16	24	1.1	1	10262	0.1		
"Brazil"	1805517	-4171038	0.4	6	13	26	1	6	10879	0.09		
"Indonesia"	1787723	208035	0.4	4	34	30	0.9	2	5872	0.11		
"Saudi Arabia"	1744107	-141809	0.3	7	50	32	0.7	3	5816	0.07		
"United Arab Emirates"	1561271	1122697	0.3	6	19	29	0.9	-2	5715	0.08		
"Philippines"	998719	-121084	0.2	8	50	34	0.6	2	4354	0.09		
"Chile"	972941	-466487	0.2	7	33	43	0.4	6	11582	0.13		
"Singapore"	964847	144703	0.2	-1	5	16	1.9	3	5773	0.07		
"Turkey"	916676	-1307985	0.2	-3	9	22	1.2	3	4285	0.05		
"Peru"	866486	-2305579	0.2	11	33	54	0.2	3	10420	0.13		
"Algeria"	862021	815783	0.2	11	87	64	0.2	-8	4584	0.07		
"Malaysia"	814961	-2219547	0.2	7	42	25	1.1	3	5172	0.09		
"Colombia"	801047	-237806	0.2	4	36	51	0.3	4	8915	0.13		
"Bangladesh"	793244	-711922	0.2	13	-11	49	0.3	6	4172	0.15		
"Thailand"	694115	-2593201	0.1	4	17	23	1.2	2	4905	0.09		
"Poland"	659405	-1128300	0.1	1	63	18	1.5	8	3121	0.08		
"Ireland"	616446	-1676938	0.1	5	23	36	0.5	4	3265	0.1		
"Pakistan"	567335	133254	0.1	0	14	47	0.3	2	4850	0.11		
"Finland"	551028	-550880	0.1	-1	12	44	0.4	3	2842	0.07		
"Malta"	526528	496375	0.1	40	158	120	0.03	1	3249	0.08		
"Viet Nam"	525620	-7324464	0.1	-12	-4	19	1.5	8	3535	0.19		
"Russian Federation"	523944	-1184213	0.1	1	14	21	1.3	5	4187	0.09		
"Egypt"	500266	-521947	0.1	24	-6	46	0.3	-1	5219	0.05		
"Nigeria"	483000	-1162252	0.1	12	-10	53	0.2	17	7792	0.1		
"Ecuador"	457137	154250	0.1	16	55	69	0.1	3	9174	0.12		
"Morocco"	399170	-111104	0.1	8	-12	52	0.3	4	4316	0.07		
"Israel"	381028	-670708	0.1	-2	42	42	0.4	4	5483	0.07		
"Sweden"	348212	-1587999	0.1	-13	14	31	0.9	3	2128	0.07		
"New Zealand"	345896	-268164	0.1	-6	22	56	0.2	3	11141	0.09		
"Iran, Islamic Republic of"	325507	297645	0.1	46	6	72	0.1	-18	5612	0.13		
"South Africa"	305076	-1034275	0.1	-1	31	41	0.4	-1	9230	0.07		
"Ghana"	297498	215640	0.1	10	42	82	0.08	8	8888	0.18		
"Latvia"	285631	201613	0.1	-20	141	77	0.1	7	1575	0.08		
"Bahamas"	284321	277798	0.1	0	151	115	0.03	-8	6248	0.19		
"Argentina"	283180	-495963	0.1	-7	58	50	0.3	-5	10631	0.1		
"Austria"	280906	-1562223	0.1	-2	104	27	1	3	1514	0.18		
"Trinidad and Tobago"	247629	-34837	0	-4	51	128	0.03	-1	6663	0.26		
"Portugal"	232140	-366566	0	-5	60	40	0.4	2	2788	0.14		
"Dominican Republic"	228363	25887	0	13	21	67	0.1	5	6446	0.22		
"Cuba"	224038	-334690	0	-11	13	145	0.02	-13	7148	0.09		
"Denmark"	195882	-1000952	0	-14	-11	35	0.6	5	2182	0.08		
"Botswana"	192395	186697	0	-23	-14	124	0.03	2	2968	0.52		
"Czech Republic"	180617	-499598	0	1	12	28	1	4	2987	0.1		
"Ukraine"	175811	-5423	0	-7	47	48	0.3	7	3255	0.06		
"Bahrain"	173571	127143	0	8	73	101	0.05	1	6359	0.08		
"Guatemala"	172425	-345870	0	15	85	68	0.1	7	5828	0.15		
"Panama"	163677	148284	0	5	70	60	0.2	1	8657	0.12		
"Tanzania, United Republic of"	154856	135873	0	14	471	102	0.05	7	6633	0.1		
"Costa Rica"	147130	-327003	0	3	24	86	0.08	3	6987	0.22		
"Bulgaria"	146070	-9467	0	-12	-20	57	0.2	6	2237	0.05		
"Senegal"	142987	139045	0	38	87	110	0.04	4	6632	0.05		
"Bonaire, Sint Eustatius and Saba"	134331	134325	0			189	0	20		0.19		
"Venezuela, Bolivarian Republic of"	134183	122574	0	-5	145	117	0.03	-11	8121	0.16		
"Romania"	121312	-409863	0	-1	5	37	0.5	6	1891	0.07		
"Lithuania"	117367	-149081	0	12	81	59	0.2	7	1630	0.07		
"Greece"	114551	-154412	0	9	26	45	0.3	4	2847	0.05		
"Luxembourg"	114380	-54330	0	12	24	71	0.1	3	1488	0.14		
"Jamaica"	108701	52971	0	2	19	137	0.02	-2	6759	0.22		
"Iraq"	107536	106652	0	5	64	62	0.2	3	4107	0.18		
"Qatar"	107283	7017	0	-6	27	70	0.1	0	5745	0.06		
"Sri Lanka"	103983	-270350	0	-9	-41	85	0.08	-3	4351	0.16		
"Lebanon"	93322	59114	0	-6	76	97	0.06	-12	3592	0.06		
"Ethiopia"	89198	48016	0	8	-30	90	0.07	1	6305	0.11		
"Kuwait"	88526	76385	0	-14	23	76	0.1	-3	5837	0.07		
"Tunisia"	87096	-49947	0	30	-24	78	0.10	-1	3411	0.06		
"Hungary"	85193	-583164	0	4	80	33	0.6	6	2180	0.09		
"El Salvador"	80908	17770	0	12	97	88	0.07	9	4914	0.15		
"Kenya"	74552	38712	0	-14	-2	80	0.09	2	6680	0.08		
"Uruguay"	71842	6606	0	-4	48	95	0.06	0	9836	0.11		
"Iceland"	70555	-20045	0	-8	39	112	0.04	-1	4251	0.05		
"Kazakhstan"	69796	-657783	0	-12	23	58	0.2	6	3017	0.25		
"Bermuda"	69597	69142	0	16	32	169	0	-3	8006	0.28		
"Cameroon"	69424	59838	0	19	19	116	0.03	8	7279	0.14		
"Côte d'Ivoire"	65367	-177014	0	21	34	93	0.06	9	6793	0.08		
"Haiti"	64576	6968	0	6	-10	140	0.02	0	6340	0.18		
"Curaçao"	63536	63487	0	28	-11	163	0	-12		0.24		
"Albania"	59035	48819	0	28	63	121	0.03	6	1886	0.13		
"Libya, State of"	58374	58197	0	32	52	89	0.07	12	3475	0.08		
"Slovenia"	56785	-119530	0	1	-27	55	0.2	10	2404	0.07		
"Oman"	54603	-1891	0	-9	-25	83	0.08	-6	5977	0.08		
"Angola"	51393	51076	0	4	-51	100	0.05	-11	7692	0.06		
"Nepal"	49654	39690	0	38	-54	96	0.06	8	1856	0.56		
"United States Minor Outlying Islands"	47762	45301	0	30	380	177	0	0		0.21		
"Jordan"	47606	-49304	0	-2	-25	84	0.08	0	5167	0.07		
"Macao, China"	45370	37796	0	14	9	81	0.09	15		0.17		
"Honduras"	43969	-306710	0	2	55	99	0.05	4	6104	0.16		
"Togo"	40959	29959	0	32	82	153	0.01	10	7318	0.08		
"Nicaragua"	40668	-63767	0	12	5	104	0.05	4	5888	0.1		
"Burkina Faso"	40232	38082	0	-2	5	136	0.02	5	6109	0.05		
"Mali"	40050	36015	0	20	48	141	0.02	9	5008	0.1		
"Barbados"	38250	23178	0	8	7	161	0	0	4992	0.21		
"Cayman Islands"	36620	33540	0	29	-43	123	0.03	5	7522	0.35		
"Sudan"	35818	35497	0	15	-33	122	0.03	-2		0.13		
"Slovakia"	35631	-591248	0	7	37	38	0.5	4	2664	0.07		
"Mozambique"	31814	-578	0	5	-51	108	0.04	8	6196	0.1		
"Guyana"	30790	-128467	0	6	40	144	0.02	13	11175	0.21		
"Cambodia"	30685	-1392360	0	-14	31	66	0.1	16	2651	0.18		
"Georgia"	30646	9508	0	0	38	113	0.04	-2	2513	0.09		
"Benin"	28308	27790	0	4	54	149	0.01	-2	6481	0.07		
"Myanmar"	28124	-81924	0	2	-29	79	0.10	-1	2536	0.25		
"Guinea"	27613	-35143	0	21	52	135	0.02	7	9140	0.19		
"Saint Pierre and Miquelon"	27461	19840	0	9	107	215	0	10	3489	0.45		
"Maldives"	26876	25818	0	-5	171	151	0.01	-3	4478	0.08		
"Uganda"	26779	12506	0	11	11	132	0.02	11	5788	0.09		
"Croatia"	26287	-47463	0	-20	16	63	0.2	6	1362	0.07		
"Canada"	25673	-3747739	0		101087	14	2.2	1	5042	0.26		
"Antigua and Barbuda"	23922	23596	0	22	228	174	0	1	6334	0.27		
"Serbia"	23104	-66406	0	13	5	65	0.2	9	2497	0.06		
"New Caledonia"	20485	19845	0	-23	15	155	0.01	-1	11471	0.2		
"Liberia"	19558	-3067	0	40	395	87	0.07	17	11608	0.19		
"Mauritania"	19153	-318085	0	6	-11	146	0.02	1	5817	0.07		
"Suriname"	18793	11056	0	-7	11	173	0	1	9050	0.14		
"Estonia"	18409	-127557	0	-1	-4	73	0.1	6	2314	0.06		
"Saint Vincent and the Grenadines"	18111	18051	0	46	94	196	0	3	6798	0.14		
"Paraguay"	17393	6969	0	-10	53	92	0.06	0	7311	0.15		
