Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in China's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by China (%)	
"World"	3026233691	587547398	100	6	17		100	3				
"United States of America"	521008384	357396895	17.2	3	15	1	13.4	3	7938	0.08		
"Hong Kong, China"	313106773	304059203	10.3	1	15	5	3.3	3	2841	0.22		
"Japan"	151300183	-37123985	5	2	6	4	3.5	1	6256	0.09		
"Korea, Republic of"	135096349	-58718285	4.5	6	20	9	2.8	4	5699	0.09		
"Viet Nam"	125811125	42807483	4.2	15	11	19	1.5	8	3535	0.19		
"Germany"	102996497	-6746713	3.4	9	19	3	6.5	3	3376	0.05		
"Netherlands"	91596787	79175211	3	7	16	8	2.8	5	3706	0.07		
"India"	87913681	61634688	2.9	4	32	10	2.6	2	5793	0.05		
"United Kingdom"	78793343	55445856	2.6	9	9	7	3.2	1	3930	0.06		
"Taipei, Chinese"	70772778	-156412219	2.3	12	18	17	1.7	8	5007	0.1		
"Malaysia"	69143321	-18398154	2.3	13	23	25	1.1	3	5172	0.09		
"Thailand"	62140390	5127767	2.1	12	23	23	1.2	2	4905	0.09		
"Mexico"	61092900	43653265	2	11	36	13	2.3	2	7039	0.24		
"Australia"	59634454	-92559626	2	9	12	24	1.1	1	10262	0.1		
"Russian Federation"	59451809	-11218906	2	7	18	21	1.3	5	4187	0.09		
"Indonesia"	54245916	-2189077	1.8	9	32	30	0.9	2	5872	0.11		
"Philippines"	51844271	29296682	1.7	12	24	34	0.6	2	4354	0.09		
"Singapore"	49093622	13808343	1.6	3	-15	16	1.9	3	5773	0.07		
"Brazil"	48182886	-55178418	1.6	11	38	26	1	6	10879	0.09		
"Canada"	46964854	19624094	1.6	10	12	14	2.2	1	5042	0.26		
"France"	42162163	6958005	1.4	10	13	6	3.2	1	3195	0.06		
"Italy"	39228389	11568329	1.3	6	19	11	2.5	2	2891	0.06		
"United Arab Emirates"	38557568	13526106	1.3	7	19	29	0.9	-2	5715	0.08		
"Poland"	33093853	28050845	1.1	16	24	18	1.5	8	3121	0.08		
"Spain"	32746013	21391961	1.1	8	19	15	1.9	3	3890	0.05		
"Belgium"	27616485	19934448	0.9	14	33	12	2.4	3	2709	0.08		
"Saudi Arabia"	27457213	-24155306	0.9	14	-2	32	0.7	3	5816	0.07		
"Turkey"	25981536	21323816	0.9	9	28	22	1.2	3	4285	0.05		
"Chile"	23692051	-11376005	0.8	10	54	43	0.4	6	11582	0.13		
"Pakistan"	21536769	18308280	0.7	2	40	47	0.3	2	4850	0.11		
"Bangladesh"	21307748	20357443	0.7	5	41	49	0.3	6	4172	0.15		
"Nigeria"	20575509	17904924	0.7	13	23	53	0.2	17	7792	0.1		
"South Africa"	19207768	-11341969	0.6	4	26	41	0.4	-1	9230	0.07		
"Egypt"	16324723	14812730	0.5	13	20	46	0.3	-1	5219	0.05		
"Israel"	13691790	6989509	0.5	11	22	42	0.4	4	5483	0.07		
"Czech Republic"	13408774	7837996	0.4	10	-2	28	1	4	2987	0.1		
"Colombia"	12752364	8020780	0.4	12	37	51	0.3	4	8915	0.13		
"Kazakhstan"	12597038	2283170	0.4	2	8	58	0.2	6	3017	0.25		
"Peru"	11942225	-9573208	0.4	12	35	54	0.2	3	10420	0.13		
"Cambodia"	10340897	8436979	0.3	20	28	66	0.1	16	2651	0.18		
"Greece"	9937947	9026537	0.3	17	41	45	0.3	4	2847	0.05		
"Sweden"	9922948	856306	0.3	7	19	31	0.9	3	2128	0.07		
"Denmark"	9649146	3297601	0.3	8	29	35	0.6	5	2182	0.08		
"Iraq"	9575099	-14068160	0.3	6	-12	62	0.2	3	4107	0.18		
"Argentina"	9565118	3050439	0.3	-1	35	50	0.3	-5	10631	0.1		
"Myanmar"	9346571	2648924	0.3	2	-26	79	0.10	-1	2536	0.25		
"Hungary"	9273175	4077492	0.3	10	25	33	0.6	6	2180	0.09		
"Panama"	9257753	8230669	0.3	9	5	60	0.2	1	8657	0.12		
"Ukraine"	8403434	-513289	0.3	11	22	48	0.3	7	3255	0.06		
"New Zealand"	7768487	-7142738	0.3	9	28	56	0.2	3	11141	0.09		
"Iran, Islamic Republic of"	7396786	1665974	0.2	-21	-13	72	0.1	-18	5612	0.13		
"Ghana"	7365480	6128968	0.2	12	9	82	0.08	8	8888	0.18		
"Kyrgyzstan"	6241856	6166508	0.2	-4	118	127	0.03	1	2892	0.2		
"Romania"	6088208	2809988	0.2	11	19	37	0.5	6	1891	0.07		
"Kenya"	6053461	5839962	0.2	4	12	80	0.09	2	6680	0.08		
"Algeria"	5698716	4680304	0.2	-7	2	64	0.2	-8	4584	0.07		
"Switzerland"	5599649	-29597498	0.2	14	10	20	1.5	4	3384	0.07		
"Tanzania, United Republic of"	5489295	4916498	0.2	14	31	102	0.05	7	6633	0.1		
"Morocco"	5171701	4437867	0.2	12	24	52	0.3	4	4316	0.07		
"Uzbekistan"	5171618	3207682	0.2	16	1	74	0.1	16	3412	0.12		
"Liberia"	5159882	5136185	0.2	27	52	87	0.07	17	11608	0.19		
"Ecuador"	4918015	123771	0.2	9	51	69	0.1	3	9174	0.12		
"Slovenia"	4849683	4269737	0.2	8	40	55	0.2	10	2404	0.07		
"Portugal"	4816712	1581699	0.2	8	15	40	0.4	2	2788	0.14		
"Austria"	4787057	-2908975	0.2	16	41	27	1	3	1514	0.18		
"Sri Lanka"	4758409	4137768	0.2	2	24	85	0.08	-3	4351	0.16		
"Ireland"	4559707	-11347748	0.2	10	14	36	0.5	4	3265	0.1		
"Slovakia"	4116031	-2483221	0.1	10	36	38	0.5	4	2664	0.07		
"Norway"	3983888	-5482210	0.1	13	13	39	0.5	3	3470	0.06		
"Kuwait"	3902421	-12424572	0.1	5	9	76	0.1	-3	5837	0.07		
"Dominican Republic"	3574009	3271928	0.1	18	43	67	0.1	5	6446	0.22		
"Jordan"	3565535	3178206	0.1	6	12	84	0.08	0	5167	0.07		
"Guatemala"	3551822	3128081	0.1	13	44	68	0.1	7	5828	0.15		
