Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Croatia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Croatia (%)	
"World"	22779832	-11715335	100	7	33		100	3				
"Slovenia"	2880672	-815386	12.6	10	64	55	0.2	10	2404	0.07		
"Italy"	2822083	-1405108	12.4	4	33	11	2.5	2	2891	0.06		
"Germany"	2665484	-2288617	11.7	6	23	3	6.5	3	3376	0.05		
"Hungary"	2070427	-376322	9.1	41	71	33	0.6	6	2180	0.09		
"Bosnia and Herzegovina"	1972719	575257	8.7	4	32	94	0.06	3	2228	0.07		
"Austria"	1258482	-880788	5.5	4	29	27	1	3	1514	0.18		
"Serbia"	1216698	202552	5.3	9	32	65	0.2	9	2497	0.06		
"United States of America"	709356	25036	3.1	5	36	1	13.4	3	7938	0.08		
"France"	579391	-247755	2.5	10	13	6	3.2	1	3195	0.06		
"Poland"	451243	-914142	2	17	41	18	1.5	8	3121	0.08		
"Romania"	385143	36034	1.7	20	16	37	0.5	6	1891	0.07		
"Netherlands"	359825	-926019	1.6	17	42	8	2.8	5	3706	0.07		
"Czech Republic"	339254	-420486	1.5	4	20	28	1	4	2987	0.1		
"Spain"	328096	-357722	1.4	6	13	15	1.9	3	3890	0.05		
"Turkey"	318047	-208967	1.4	7	52	22	1.2	3	4285	0.05		
"Switzerland"	309938	89669	1.4	14	21	20	1.5	4	3384	0.07		
"Belgium"	299039	-374686	1.3	2	-2	12	2.4	3	2709	0.08		
"Montenegro"	279692	271690	1.2	5	41	152	0.01	0	2382	0.08		
"United Kingdom"	251252	85129	1.1	3	-15	7	3.2	1	3930	0.06		
