Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Cyprus's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Cyprus (%)	
"World"	3886871	-6201759	100	-2	24		100	3				
"Lebanon"	337659	310243	8.7	41	237	97	0.06	-12	3592	0.06		
"Greece"	298031	-2109552	7.7	0	13	45	0.3	4	2847	0.05		
"Marshall Islands"	297144	243891	7.6	16	67	91	0.06	-1	7455	0.18		
"Ship stores and bunkers"	261117	261117	6.7	-8	38	75	0.1	-11		0.16		
"United Kingdom"	251769	-133370	6.5	6	23	7	3.2	1	3930	0.06		
"British Virgin Islands"	238359	194111	6.1	130	1247	156	0.01	8	7242	0.27		
"Libya, State of"	213722	209894	5.5	-15	15	89	0.07	12	3475	0.08		
"Liberia"	164974	88036	4.2	52	-29	87	0.07	17	11608	0.19		
"Germany"	115482	-507884	3	-10	61	3	6.5	3	3376	0.05		
"Norway"	114252	103448	2.9	-32	410	39	0.5	3	3470	0.06		
"Israel"	105953	-370465	2.7	6	2	42	0.4	4	5483	0.07		
"United States of America"	89410	-50012	2.3	11	1	1	13.4	3	7938	0.08		
"Sweden"	85761	38037	2.2	18	79	31	0.9	3	2128	0.07		
"Kenya"	78679	75203	2	207	141	80	0.09	2	6680	0.08		
"Russian Federation"	72266	-29767	1.9	12	34	21	1.3	5	4187	0.09		
"China"	61270	-447726	1.6	0	-39	2	11.1	5	6416	0.04		
"Hong Kong, China"	59546	28660	1.5	5	-1	5	3.3	3	2841	0.22		
"Italy"	51837	-980091	1.3	2	43	11	2.5	2	2891	0.06		
"France"	50537	-116169	1.3	37	-62	6	3.2	1	3195	0.06		
"Netherlands"	46036	-471050	1.2	3	-73	8	2.8	5	3706	0.07		
"Singapore"	45884	4969	1.2	-31	248	16	1.9	3	5773	0.07		
"Bermuda"	38429	35470	1		1280867	169	0	-3	8006	0.28		
"Area Nes"	35223	-42934	0.9	-36	-36							
"Czech Republic"	29812	-23461	0.8	0	2	28	1	4	2987	0.1		
"Bulgaria"	27722	-100036	0.7	10	17	57	0.2	6	2237	0.05		
"Romania"	27521	-150310	0.7	0	11	37	0.5	6	1891	0.07		
"Egypt"	26983	-18826	0.7	-39	171	46	0.3	-1	5219	0.05		
"Saudi Arabia"	25558	-22576	0.7	2	23	32	0.7	3	5816	0.07		
"Slovenia"	24789	1573	0.6	84	9	55	0.2	10	2404	0.07		
"United Arab Emirates"	24328	-44174	0.6	-16	-35	29	0.9	-2	5715	0.08		
"Australia"	23803	17808	0.6	1	-13	24	1.1	1	10262	0.1		
"Austria"	22131	-40053	0.6	7	16	27	1	3	1514	0.18		
"India"	21975	-76030	0.6	5	-11	10	2.6	2	5793	0.05		
"Viet Nam"	21886	-21300	0.6	6	-60	19	1.5	8	3535	0.19		
"Bangladesh"	20212	3493	0.5	76	476	49	0.3	6	4172	0.15		
"Poland"	19830	-131737	0.5	25	32	18	1.5	8	3121	0.08		
"Spain"	19068	-306893	0.5	-4	3	15	1.9	3	3890	0.05		
"Thailand"	18943	-11365	0.5	29	20	23	1.2	2	4905	0.09		
"Denmark"	18597	-26735	0.5	11	-1	35	0.6	5	2182	0.08		
"Malta"	16644	-94592	0.4	-9	-39	120	0.03	1	3249	0.08		
"Switzerland"	15903	-51622	0.4	-21	1	20	1.5	4	3384	0.07		
"Philippines"	15590	11285	0.4	46	697	34	0.6	2	4354	0.09		
"Ireland"	14956	-79102	0.4	-11	297	36	0.5	4	3265	0.1		
"Slovakia"	13754	-12411	0.4	-31	27	38	0.5	4	2664	0.07		
"Mexico"	13402	6674	0.3	36	-54	13	2.3	2	7039	0.24		
