Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Czech Republic's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Czech Republic (%)	
"World"	225574895	16623227	100	4	17		100	3				
"Germany"	73122422	26255744	32.4	4	16	3	6.5	3	3376	0.05		
"Slovakia"	18120541	8736884	8	5	24	38	0.5	4	2664	0.07		
"Poland"	14987954	-2051859	6.6	6	25	18	1.5	8	3121	0.08		
"France"	10439797	4467395	4.6	1	16	6	3.2	1	3195	0.06		
"Austria"	10114465	4281545	4.5	3	27	27	1	3	1514	0.18		
"United Kingdom"	8753484	5460101	3.9	-2	13	7	3.2	1	3930	0.06		
"Italy"	8721933	-12242	3.9	3	18	11	2.5	2	2891	0.06		
"Netherlands"	8308057	2942529	3.7	6	6	8	2.8	5	3706	0.07		
"Hungary"	7432082	2129173	3.3	7	17	33	0.6	6	2180	0.09		
"Spain"	5685830	2054924	2.5	-1	19	15	1.9	3	3890	0.05		
"United States of America"	5326298	158826	2.4	8	18	1	13.4	3	7938	0.08		
"Belgium"	4960361	1473670	2.2	3	23	12	2.4	3	2709	0.08		
"Russian Federation"	4316440	-1834318	1.9	4	1	21	1.3	5	4187	0.09		
"Sweden"	3810580	2194440	1.7	5	21	31	0.9	3	2128	0.07		
"Romania"	3381554	564999	1.5	6	13	37	0.5	6	1891	0.07		
"Switzerland"	3322028	1188734	1.5	6	11	20	1.5	4	3384	0.07		
"China"	2971074	-32082551	1.3	4	14	2	11.1	5	6416	0.04		
"Turkey"	2335671	-36306	1	1	0	22	1.2	3	4285	0.05		
"Denmark"	2217789	752292	1	6	6	35	0.6	5	2182	0.08		
"Ukraine"	1594662	-221863	0.7	5	12	48	0.3	7	3255	0.06		
"Ireland"	1467086	523592	0.7	15	37	36	0.5	4	3265	0.1		
"Japan"	1432619	-2801501	0.6	13	59	4	3.5	1	6256	0.09		
"Bulgaria"	1184838	392554	0.5	8	18	57	0.2	6	2237	0.05		
"Finland"	1181344	558352	0.5	2	18	44	0.4	3	2842	0.07		
"Slovenia"	1142327	298866	0.5	6	16	55	0.2	10	2404	0.07		
"Norway"	1063457	618290	0.5	5	34	39	0.5	3	3470	0.06		
"Israel"	1047265	776239	0.5	-2	31	42	0.4	4	5483	0.07		
"Serbia"	981384	62026	0.4	9	37	65	0.2	9	2497	0.06		
"India"	877261	-347605	0.4	3	58	10	2.6	2	5793	0.05		
"Lithuania"	865325	387646	0.4	6	9	59	0.2	7	1630	0.07		
"Portugal"	788983	146388	0.3	6	21	40	0.4	2	2788	0.14		
"Croatia"	782929	547486	0.3	5	15	63	0.2	6	1362	0.07		
"Mexico"	769879	-276970	0.3	-1	-13	13	2.3	2	7039	0.24		
"Egypt"	687253	574166	0.3	23	57	46	0.3	-1	5219	0.05		
"United Arab Emirates"	681616	595041	0.3	-6	9	29	0.9	-2	5715	0.08		
"Australia"	603083	471529	0.3	8	27	24	1.1	1	10262	0.1		
"Greece"	589136	227657	0.3	8	21	45	0.3	4	2847	0.05		
"South Africa"	581050	-305729	0.3	0	24	41	0.4	-1	9230	0.07		
"Korea, Republic of"	553487	-3832244	0.2	5	4	9	2.8	4	5699	0.09		
"Morocco"	544017	254797	0.2	9	62	52	0.3	4	4316	0.07		
"Singapore"	486191	156327	0.2	11	12	16	1.9	3	5773	0.07		
"Latvia"	418446	287224	0.2	9	35	77	0.1	7	1575	0.08		
"Brazil"	397949	173797	0.2	6	25	26	1	6	10879	0.09		
"Hong Kong, China"	392122	260320	0.2	2	-4	5	3.3	3	2841	0.22		
"Estonia"	388630	196147	0.2	5	8	73	0.1	6	2314	0.06		
"Belarus"	372775	181980	0.2	10	17	61	0.2	2	2268	0.23		
"Canada"	356967	-95742	0.2	0	34	14	2.2	1	5042	0.26		
"Saudi Arabia"	351888	244526	0.2	-11	-15	32	0.7	3	5816	0.07		
"Luxembourg"	341745	119079	0.2	10	11	71	0.1	3	1488	0.14		
"Taipei, Chinese"	284137	-1259190	0.1	6	8	17	1.7	8	5007	0.1		
"Kazakhstan"	229559	-546640	0.1	4	-39	58	0.2	6	3017	0.25		
"Malaysia"	193583	-2109209	0.1	-3	5	25	1.1	3	5172	0.09		
"Tunisia"	185889	-99149	0.1	4	19	78	0.10	-1	3411	0.06		
"Thailand"	185571	-1425835	0.1	-2	31	23	1.2	2	4905	0.09		
"Bosnia and Herzegovina"	180526	-9844	0.1	0	19	94	0.06	3	2228	0.07		
"Macedonia, North"	148057	-168566	0.1	1	32	103	0.05	8	1348	0.09		
"Iraq"	134607	134308	0.1	22	91	62	0.2	3	4107	0.18		
"Moldova, Republic of"	134367	2385	0.1	18	27	118	0.03	8	2317	0.08		
"New Zealand"	122892	89615	0.1	5	44	56	0.2	3	11141	0.09		
"Qatar"	121437	108525	0.1	5	-12	70	0.1	0	5745	0.06		
"Philippines"	119247	-392716	0.1	2	-3	34	0.6	2	4354	0.09		
"Chile"	111245	62955	0	9	52	43	0.4	6	11582	0.13		
"Georgia"	104318	75720	0	3	29	113	0.04	-2	2513	0.09		
"Cyprus"	102381	64947	0	5	-4	105	0.05	-1	3118	0.09		
"Indonesia"	100497	-413155	0	1	-47	30	0.9	2	5872	0.11		
"Viet Nam"	91579	-1701228	0	-9	26	19	1.5	8	3535	0.19		
"Azerbaijan"	88087	-516974	0	0	19	98	0.05	5	3712	0.09		
"Albania"	74413	11958	0	5	48	121	0.03	6	1886	0.13		
"Pakistan"	71275	-200610	0	-3	92	47	0.3	2	4850	0.11		
"Uzbekistan"	69897	61843	0	5	-10	74	0.1	16	3412	0.12		
"Algeria"	67914	66505	0	-23	-17	64	0.2	-8	4584	0.07		
"Argentina"	65548	14346	0	-11	37	50	0.3	-5	10631	0.1		
"Iceland"	62703	-42346	0	-3	57	112	0.04	-1	4251	0.05		
"Nigeria"	62601	7836	0	9	-32	53	0.2	17	7792	0.1		
"Ghana"	57949	55170	0	26	130	82	0.08	8	8888	0.18		
"Kuwait"	57388	52338	0	-14	16	76	0.1	-3	5837	0.07		
"Armenia"	55693	49081	0	4	21	131	0.02	6	3323	0.15		
"Colombia"	54947	10394	0	-1	25	51	0.3	4	8915	0.13		
"Peru"	48621	21911	0	5	9	54	0.2	3	10420	0.13		
"Bangladesh"	47730	-718923	0	3	22	49	0.3	6	4172	0.15		
"El Salvador"	44413	38368	0	-6	108	88	0.07	9	4914	0.15		
"Oman"	43532	24586	0	-12	-25	83	0.08	-6	5977	0.08		
"Ecuador"	39461	-4942	0	26	46	69	0.1	3	9174	0.12		
"Iran, Islamic Republic of"	38919	12560	0	-21	46	72	0.1	-18	5612	0.13		
"Jordan"	38891	-24422	0	-10	-6	84	0.08	0	5167	0.07		
"Europe Othr. Nes"	35125	-845250	0	24	164							
"Malta"	32902	-28022	0	-7	3	120	0.03	1	3249	0.08		
"Côte d'Ivoire"	31371	-17228	0	25	-45	93	0.06	9	6793	0.08		
"Ship stores and bunkers"	31142	28126	0	-26	37	75	0.1	-11		0.16		
"Palestine, State of"	30058	29768	0	20	667	176	0	8	3026	0.1		
"Lebanon"	27323	24248	0	-23	-7	97	0.06	-12	3592	0.06		
"Senegal"	25059	22963	0	14	95	110	0.04	4	6632	0.05		
"Bahrain"	24786	10502	0	-7	44	101	0.05	1	6359	0.08		
"Uganda"	22956	19604	0	24	-22	132	0.02	11	5788	0.09		
"Kenya"	19738	12777	0	-14	-22	80	0.09	2	6680	0.08		
"Montenegro"	18350	16631	0	-29	7	152	0.01	0	2382	0.08		
"Mongolia"	17989	17384	0	5	26	125	0.03	8	3267	0.22		
"Libya, State of"	17305	-71842	0	37	23	89	0.07	12	3475	0.08		
"Sri Lanka"	14665	-77445	0	3	60	85	0.08	-3	4351	0.16		
"Turkmenistan"	14376	14329	0	-4	70	148	0.02	4	3495	0.15		
"Uruguay"	14341	187	0	13	84	95	0.06	0	9836	0.11		
"Guatemala"	12696	4115	0	17	-4	68	0.1	7	5828	0.15		
"Maldives"	12519	12273	0	22	35	151	0.01	-3	4478	0.08		
"Mali"	12088	11973	0	-10	-8	141	0.02	9	5008	0.1		
"Cuba"	11719	4335	0	-20	29	145	0.02	-13	7148	0.09		
"Honduras"	11489	8494	0	-3	72	99	0.05	4	6104	0.16		
"Mauritius"	11320	674	0	4	93	133	0.02	-2	7320	0.08		
"Ethiopia"	11154	5967	0	-6	-41	90	0.07	1	6305	0.11		
"Tanzania, United Republic of"	10732	9301	0	-8	-25	102	0.05	7	6633	0.1		
"Angola"	10000	9994	0	11	1	100	0.05	-11	7692	0.06		
