Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Egypt's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Egypt (%)	
"World"	40701704	-33079525	100	8	52		100	3				
"Area Nes"	2714607	-4254496	6.7	-10	102068							
"Turkey"	2647318	-483901	6.5	5	58	22	1.2	3	4285	0.05		
"Italy"	2579539	198165	6.3	-1	85	11	2.5	2	2891	0.06		
"India"	2327320	-143069	5.7	22	90	10	2.6	2	5793	0.05		
"United States of America"	2159154	-2946237	5.3	8	47	1	13.4	3	7938	0.08		
"Saudi Arabia"	1999112	-4252227	4.9	7	17	32	0.7	3	5816	0.07		
"Spain"	1693775	293434	4.2	10	122	15	1.9	3	3890	0.05		
"Malta"	1632245	1566000	4	42	234	120	0.03	1	3249	0.08		
"Greece"	1407088	1094474	3.5	45	106	45	0.3	4	2847	0.05		
"China"	1288006	-8721609	3.2	7	114	2	11.1	5	6416	0.04		
"United Arab Emirates"	1196514	-738296	2.9	-12	-58	29	0.9	-2	5715	0.08		
"United Kingdom"	1056955	-138256	2.6	-6	38	7	3.2	1	3930	0.06		
"France"	928456	-509827	2.3	4	73	6	3.2	1	3195	0.06		
"Germany"	821734	-2475336	2	5	43	3	6.5	3	3376	0.05		
"Libya, State of"	796170	732430	2	11	39	89	0.07	12	3475	0.08		
"Canada"	785399	521741	1.9	88	12	14	2.2	1	5042	0.26		
"Sudan"	716036	538188	1.8	11	51	122	0.03	-2		0.13		
"Morocco"	683862	490302	1.7	10	53	52	0.3	4	4316	0.07		
"Jordan"	631775	493220	1.6	3	11	84	0.08	0	5167	0.07		
"Netherlands"	629884	-395249	1.5	6	37	8	2.8	5	3706	0.07		
"Korea, Republic of"	587462	-799836	1.4	73	62	9	2.8	4	5699	0.09		
"Japan"	545218	-200708	1.3	56	256	4	3.5	1	6256	0.09		
"Algeria"	507150	447612	1.2	-2	3	64	0.2	-8	4584	0.07		
"Singapore"	505410	332832	1.2	64	283	16	1.9	3	5773	0.07		
"Ship stores and bunkers"	488600	488031	1.2		165	75	0.1	-11		0.16		
"Iraq"	460784	137976	1.1	-4	9	62	0.2	3	4107	0.18		
"Belgium"	405979	-1143351	1	3	60	12	2.4	3	2709	0.08		
"Russian Federation"	402300	-2079519	1	0	-1	21	1.3	5	4187	0.09		
"Slovakia"	397062	151591	1		135	38	0.5	4	2664	0.07		
"Brazil"	356506	-1255852	0.9	23	65	26	1	6	10879	0.09		
"Pakistan"	350412	296524	0.9	25	61	47	0.3	2	4850	0.11		
"Kenya"	339414	140902	0.8	3	-3	80	0.09	2	6680	0.08		
"Lebanon"	331311	135999	0.8	-18	11	97	0.06	-12	3592	0.06		
"Yemen"	311130	268251	0.8	4	-1	107	0.04	11	5706	0.11		
"Syrian Arab Republic"	301132	243516	0.7	3	4	139	0.02	-3	2496	0.27		
"Argentina"	296993	-1008418	0.7	65	117	50	0.3	-5	10631	0.1		
"Palestine, State of"	255367	255066	0.6	15	62	176	0	8	3026	0.1		
"Kuwait"	248877	-967132	0.6	-8	6	76	0.1	-3	5837	0.07		
"Romania"	239254	-383869	0.6	8	103	37	0.5	6	1891	0.07		
"Tunisia"	231427	170497	0.6	-17	-11	78	0.10	-1	3411	0.06		
"Taipei, Chinese"	228055	-142671	0.6	138	179	17	1.7	8	5007	0.1		
"Bahrain"	225689	-94244	0.6	42	67	101	0.05	1	6359	0.08		
"Slovenia"	195181	137978	0.5	34	32	55	0.2	10	2404	0.07		
"Bangladesh"	193084	145452	0.5	18	119	49	0.3	6	4172	0.15		
"Poland"	175874	-236813	0.4	12	47	18	1.5	8	3121	0.08		
"Oman"	140909	-128708	0.3	-6	-15	83	0.08	-6	5977	0.08		
"Nigeria"	138395	131893	0.3	0	35	53	0.2	17	7792	0.1		
"Côte d'Ivoire"	135324	121635	0.3	20	174	93	0.06	9	6793	0.08		
"Portugal"	132445	-38815	0.3	-6	149	40	0.4	2	2788	0.14		
"Ghana"	128587	112658	0.3	-1	65	82	0.08	8	8888	0.18		
"Croatia"	120501	38451	0.3	66	636	63	0.2	6	1362	0.07		
"South Africa"	116962	61878	0.3	-11	57	41	0.4	-1	9230	0.07		
"Ukraine"	114335	-1283245	0.3	18	78	48	0.3	7	3255	0.06		
"Bulgaria"	112914	-138370	0.3	9	37	57	0.2	6	2237	0.05		
"Israel"	112868	68882	0.3	13	71	42	0.4	4	5483	0.07		
"Malaysia"	106183	-340420	0.3	-4	38	25	1.1	3	5172	0.09		
"Indonesia"	105031	-1074568	0.3	2	0	30	0.9	2	5872	0.11		
"Ethiopia"	100363	93735	0.2	-10	14	90	0.07	1	6305	0.11		
"Madagascar"	100212	98580	0.2		159	138	0.02	2	7339	0.08		
"Australia"	91769	-355446	0.2	46	-61	24	1.1	1	10262	0.1		
"Hungary"	91525	-184546	0.2	-9	-25	33	0.6	6	2180	0.09		
"Uganda"	80030	66253	0.2	3	13	132	0.02	11	5788	0.09		
"Djibouti"	67895	65462	0.2	18	24	130	0.02	5	6387	0.22		
"Senegal"	66850	65033	0.2	5	2	110	0.04	4	6632	0.05		
"Somalia"	63876	62698	0.2	-2	-51	150	0.01	9	5305	0.16		
"Ireland"	63504	-258848	0.2	8	32	36	0.5	4	3265	0.1		
"Kazakhstan"	61938	57441	0.2	14	-6	58	0.2	6	3017	0.25		
"Cameroon"	60497	59228	0.1	14	45	116	0.03	8	7279	0.14		
"Czech Republic"	56550	-459045	0.1	-5	26	28	1	4	2987	0.1		
"Tanzania, United Republic of"	41923	37780	0.1	7	24	102	0.05	7	6633	0.1		
"Hong Kong, China"	41053	-3847	0.1	20	-38	5	3.3	3	2841	0.22		
"Sweden"	39286	-679345	0.1	7	39	31	0.9	3	2128	0.07		
"Rwanda"	37419	37003	0.1	21	-2	159	0.01	17	5437	0.08		
"Thailand"	37412	-730659	0.1	-12	44	23	1.2	2	4905	0.09		
"Togo"	35197	35066	0.1	-2	17	153	0.01	10	7318	0.08		
"Cyprus"	34581	11748	0.1	-29	-69	105	0.05	-1	3118	0.09		
"Viet Nam"	32909	-704178	0.1	9	-6	19	1.5	8	3535	0.19		
"Mexico"	32311	-88542	0.1	-4	44	13	2.3	2	7039	0.24		
"Finland"	32051	-481314	0.1	6	60	44	0.4	3	2842	0.07		
"Mauritius"	25338	25155	0.1	-7	7	133	0.02	-2	7320	0.08		
"Mauritania"	25319	25116	0.1	3	27	146	0.02	1	5817	0.07		
"Zimbabwe"	24033	3597	0.1	16	49	134	0.02	7	3754	0.39		
"Switzerland"	23332	-890013	0.1	-45	-83	20	1.5	4	3384	0.07		
"Guinea"	22607	22340	0.1	29	57	135	0.02	7	9140	0.19		
"Guatemala"	19555	-13724	0	30	81	68	0.1	7	5828	0.15		
"Gibraltar"	19413	19413	0			114	0.03	-5	2572	0.09		
"Georgia"	19327	-12089	0	-34	175	113	0.04	-2	2513	0.09		
"Angola"	19116	19109	0	-11	64	100	0.05	-11	7692	0.06		
"Benin"	18909	-3625	0	20	110	149	0.01	-2	6481	0.07		
"Dominican Republic"	18618	17787	0	30	42	67	0.1	5	6446	0.22		
"Uruguay"	17863	-201462	0	-1	-42	95	0.06	0	9836	0.11		
"Peru"	17244	9604	0	21	177	54	0.2	3	10420	0.13		
"Lithuania"	16276	-42270	0	-8	8	59	0.2	7	1630	0.07		
"Gabon"	16170	15959	0	3	42	158	0.01	-2	7114	0.11		
"Ecuador"	15602	7679	0	19	171	69	0.1	3	9174	0.12		
"Albania"	15591	14606	0	16	45	121	0.03	6	1886	0.13		
"Colombia"	15445	-120674	0	7	82	51	0.3	4	8915	0.13		
"Liberia"	14877	14866	0	47	144	87	0.07	17	11608	0.19		
"Austria"	14708	-247217	0	2	12	27	1	3	1514	0.18		
"Denmark"	14110	-232779	0	-6	39	35	0.6	5	2182	0.08		
"Chile"	13562	-16846	0	7	35	43	0.4	6	11582	0.13		
"Congo, Democratic Republic of the"	13326	-3391	0	-5	-9	111	0.04	13	6479	0.14		
"Norway"	12963	-268602	0	1	-7	39	0.5	3	3470	0.06		
"Sri Lanka"	12435	-12690	0	-6	-60	85	0.08	-3	4351	0.16		
"Burundi"	11997	11729	0	10	-9	188	0	13	4755	0.14		
"Mali"	10892	10853	0	1	-15	141	0.02	9	5008	0.1		
"Burkina Faso"	10328	915	0	-3	-48	136	0.02	5	6109	0.05		
"Congo"	10187	-102130	0	-20	136	154	0.01	-18	6851	0.07		
"Mozambique"	10167	7839	0	2	-39	108	0.04	8	6196	0.1		
"Zambia"	10021	-266505	0	-10	23	119	0.03	-9	5447	0.14		
"Cuba"	9531	9530	0	71	176	145	0.02	-13	7148	0.09		
"Belarus"	9419	-25383	0	12	-18	61	0.2	2	2268	0.23		
"Venezuela, Bolivarian Republic of"	8307	-77512	0	53	82	117	0.03	-11	8121	0.16		
"Philippines"	8118	-7783	0	-27	37	34	0.6	2	4354	0.09		
"Serbia"	7395	-34381	0	9	14	65	0.2	9	2497	0.06		
"Panama"	7298	1948	0	3	67	60	0.2	1	8657	0.12		
"New Zealand"	7115	-127471	0	30	-31	56	0.2	3	11141	0.09		
"Niger"	7047	7040	0	-12	66	162	0	13	5715	0.09		
"Chad"	6791	3955	0	-11	4	184	0	13	6931	0.16		
"Costa Rica"	6388	702	0	31	403	86	0.08	3	6987	0.22		
"Sierra Leone"	6319	2095	0	19	25	170	0	10	8820	0.13		
