Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Estonia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Estonia (%)	
"World"	22282692	-1858496	100	7	32		100	3				
"Finland"	3097010	1053121	13.9	5	21	44	0.4	3	2842	0.07		
"Latvia"	2137740	1070163	9.6	9	46	77	0.1	7	1575	0.08		
"United States of America"	1996971	1531728	9	32	53	1	13.4	3	7938	0.08		
"Sweden"	1939432	850415	8.7	-1	15	31	0.9	3	2128	0.07		
"Russian Federation"	1429220	-1367907	6.4	-3	1	21	1.3	5	4187	0.09		
"Germany"	1340088	-913715	6	4	31	3	6.5	3	3376	0.05		
"Netherlands"	1298943	694938	5.8	23	101	8	2.8	5	3706	0.07		
"Lithuania"	1257292	-73421	5.6	8	35	59	0.2	7	1630	0.07		
"United Kingdom"	785719	390776	3.5	20	102	7	3.2	1	3930	0.06		
"Denmark"	673727	388314	3	11	24	35	0.6	5	2182	0.08		
"Norway"	666859	502512	3	1	24	39	0.5	3	3470	0.06		
"Poland"	634670	-591025	2.8	16	61	18	1.5	8	3121	0.08		
"France"	418045	-131763	1.9	5	40	6	3.2	1	3195	0.06		
"Belgium"	273938	-80007	1.2	1	14	12	2.4	3	2709	0.08		
"Italy"	246793	-388451	1.1	10	34	11	2.5	2	2891	0.06		
"China"	232222	-1871240	1	1	-17	2	11.1	5	6416	0.04		
"Switzerland"	228199	-96530	1	15	88	20	1.5	4	3384	0.07		
"Turkey"	211371	-4030	0.9	-1	51	22	1.2	3	4285	0.05		
"Area Nes"	198286	190265	0.9	154	24							
"Ukraine"	195527	39855	0.9	6	-7	48	0.3	7	3255	0.06		
"Singapore"	194003	178696	0.9	4	334	16	1.9	3	5773	0.07		
"Ship stores and bunkers"	188814	188814	0.8	-1	38	75	0.1	-11		0.16		
"Canada"	171427	131083	0.8	5	63	14	2.2	1	5042	0.26		
"Spain"	165843	-177371	0.7	1	52	15	1.9	3	3890	0.05		
"Czech Republic"	150635	-152399	0.7	11	45	28	1	4	2987	0.1		
"Japan"	138446	-213378	0.6	14	28	4	3.5	1	6256	0.09		
"India"	117887	30106	0.5	9	59	10	2.6	2	5793	0.05		
"Belarus"	115266	-708675	0.5	2	13	61	0.2	2	2268	0.23		
"Saudi Arabia"	113249	72803	0.5	-8	41	32	0.7	3	5816	0.07		
"Uzbekistan"	108728	99217	0.5	44	13	74	0.1	16	3412	0.12		
"Austria"	99140	-87855	0.4	15	52	27	1	3	1514	0.18		
"Australia"	88048	79672	0.4	22	-50	24	1.1	1	10262	0.1		
"Bulgaria"	86874	59238	0.4	26	72	57	0.2	6	2237	0.05		
"United Arab Emirates"	73993	67575	0.3	5	65	29	0.9	-2	5715	0.08		
"Nigeria"	63926	62752	0.3	17	211	53	0.2	17	7792	0.1		
"Korea, Republic of"	59917	-54532	0.3	-2	-28	9	2.8	4	5699	0.09		
"Hungary"	59085	-97311	0.3	2	24	33	0.6	6	2180	0.09		
"Israel"	51768	34580	0.2	26	73	42	0.4	4	5483	0.07		
"Romania"	51719	-16579	0.2	-18	19	37	0.5	6	1891	0.07		
"Iceland"	50980	42700	0.2	7	62	112	0.04	-1	4251	0.05		
"Greece"	47724	24540	0.2	32	142	45	0.3	4	2847	0.05		
"Slovakia"	43033	-108290	0.2	-9	36	38	0.5	4	2664	0.07		
"Brazil"	41811	-2583	0.2	16	39	26	1	6	10879	0.09		
"Gibraltar"	39171	39171	0.2	354	88	114	0.03	-5	2572	0.09		
"Ireland"	38523	-11328	0.2	21	70	36	0.5	4	3265	0.1		
"Mexico"	35957	-847	0.2	-26	23	13	2.3	2	7039	0.24		
"Portugal"	34573	-1555	0.2	13	19	40	0.4	2	2788	0.14		
"Kazakhstan"	33154	-94673	0.1	-11	-23	58	0.2	6	3017	0.25		
"Togo"	31076	30154	0.1	-49	6294	153	0.01	10	7318	0.08		
"Slovenia"	30152	-12676	0.1	24	53	55	0.2	10	2404	0.07		
"Hong Kong, China"	29841	-2449	0.1	1	27	5	3.3	3	2841	0.22		
"Morocco"	28271	16838	0.1	36	-49	52	0.3	4	4316	0.07		
"Taipei, Chinese"	25418	-125166	0.1	45	-9	17	1.7	8	5007	0.1		
"Serbia"	24916	12556	0.1	15	76	65	0.2	9	2497	0.06		
"Malta"	24871	21428	0.1	40	274	120	0.03	1	3249	0.08		
"Egypt"	23423	14275	0.1	-15	36	46	0.3	-1	5219	0.05		
"Thailand"	19986	-38448	0.1	0	6	23	1.2	2	4905	0.09		
"Mongolia"	17383	16749	0.1	36	601	125	0.03	8	3267	0.22		
"Namibia"	17022	16555	0.1	24	0	126	0.03	-1	3757	0.37		
"Algeria"	15034	14790	0.1	23	-50	64	0.2	-8	4584	0.07		
"Oman"	15010	13896	0.1	48	372	83	0.08	-6	5977	0.08		
"Malaysia"	13414	-120990	0.1	29	5	25	1.1	3	5172	0.09		
"Uruguay"	12812	11173	0.1	19	315	95	0.06	0	9836	0.11		
"Cyprus"	12137	-2244	0.1	-25	24	105	0.05	-1	3118	0.09		
"Viet Nam"	12050	-101425	0.1	24	-2	19	1.5	8	3535	0.19		
"South Africa"	12027	-20631	0.1	13	-42	41	0.4	-1	9230	0.07		
"Angola"	11538	11538	0.1	15	926	100	0.05	-11	7692	0.06		
"Argentina"	11336	7675	0.1	-23	-74	50	0.3	-5	10631	0.1		
"Chile"	10852	1577	0	30	-18	43	0.4	6	11582	0.13		
"New Zealand"	10363	520	0	21	97	56	0.2	3	11141	0.09		
"Croatia"	9698	-3485	0	26	22	63	0.2	6	1362	0.07		
"Moldova, Republic of"	8703	4814	0	4	42	118	0.03	8	2317	0.08		
"Mozambique"	8074	8056	0	155	-28	108	0.04	8	6196	0.1		
"Indonesia"	6645	-235199	0	5	-13	30	0.9	2	5872	0.11		
"Philippines"	6091	-14710	0	37	138	34	0.6	2	4354	0.09		
"Guatemala"	5588	3681	0	28	1371	68	0.1	7	5828	0.15		
"Turkmenistan"	5398	5361	0	-31	157	148	0.02	4	3495	0.15		
"Georgia"	5352	-4893	0	1	11	113	0.04	-2	2513	0.09		
"Pakistan"	4946	-17202	0	9	-8	47	0.3	2	4850	0.11		
"Peru"	4858	-4152	0	28	56	54	0.2	3	10420	0.13		
"Cuba"	4799	4501	0	-7	30	145	0.02	-13	7148	0.09		
"Iran, Islamic Republic of"	4418	2741	0	-18	324	72	0.1	-18	5612	0.13		
"Jordan"	4199	3874	0	-14	-28	84	0.08	0	5167	0.07		
"Azerbaijan"	3874	322	0	-3	22	98	0.05	5	3712	0.09		
"Qatar"	3023	3017	0	25	22	70	0.1	0	5745	0.06		
"Cambodia"	3016	-15369	0	55	39	66	0.1	16	2651	0.18		
"Bolivia, Plurinational State of"	2700	2509	0	36	136	106	0.04	-3	7978	0.11		
"Tajikistan"	2553	2534	0	43	61	142	0.02	9	2803	0.17		
"Bahrain"	2433	1880	0	2	98	101	0.05	1	6359	0.08		
"Kuwait"	2420	2404	0	-25	5	76	0.1	-3	5837	0.07		
"Sri Lanka"	2317	-6452	0	-11	-15	85	0.08	-3	4351	0.16		
"Costa Rica"	2198	-4656	0	89	18	86	0.08	3	6987	0.22		
"Luxembourg"	2090	-9106	0	32	39	71	0.1	3	1488	0.14		
"Macedonia, North"	1964	15	0	-1	-7	103	0.05	8	1348	0.09		
"Iraq"	1949	1949	0	21	-14	62	0.2	3	4107	0.18		
"Honduras"	1886	1190	0	66	148	99	0.05	4	6104	0.16		
"Armenia"	1853	629	0	-30	16	131	0.02	6	3323	0.15		
"Congo"	1800	1796	0	135	483	154	0.01	-18	6851	0.07		
"Paraguay"	1618	1559	0	10	-9	92	0.06	0	7311	0.15		
"Kenya"	1503	-41	0	-1	-87	80	0.09	2	6680	0.08		
"Bosnia and Herzegovina"	1365	-154	0	5	36	94	0.06	3	2228	0.07		
"El Salvador"	1346	1032	0	103	3538	88	0.07	9	4914	0.15		
"Uganda"	1336	1249	0	30	-54	132	0.02	11	5788	0.09		
"Ecuador"	1315	-18181	0	12	-80	69	0.1	3	9174	0.12		
"Albania"	1313	-12415	0	30	165	121	0.03	6	1886	0.13		
"Colombia"	1230	-3594	0	-12	-49	51	0.3	4	8915	0.13		
"Libya, State of"	1053	-30402	0	77	-15	89	0.07	12	3475	0.08		
"Venezuela, Bolivarian Republic of"	1037	-1501	0	136	222	117	0.03	-11	8121	0.16		
"Côte d'Ivoire"	1017	-30566	0	20	-3	93	0.06	9	6793	0.08		
"Rwanda"	1009	1009	0		1610	159	0.01	17	5437	0.08		
"Tunisia"	1003	-3275	0	-25	16	78	0.10	-1	3411	0.06		
"Lebanon"	990	955	0	-24	30	97	0.06	-12	3592	0.06		
"Ethiopia"	864	-290	0	72	-26	90	0.07	1	6305	0.11		
"Dominican Republic"	819	-5785	0	56	13	67	0.1	5	6446	0.22		
"Ghana"	783	-22793	0	-8	30	82	0.08	8	8888	0.18		
"Senegal"	753	471	0	-58	49	110	0.04	4	6632	0.05		
"Eswatini"	716	672	0	95	13	160	0	1	1597	0.74		
"Nicaragua"	712	615	0	54	-53	104	0.05	4	5888	0.1		
"Kyrgyzstan"	687	-162	0	-6	-97	127	0.03	1	2892	0.2		
"Tanzania, United Republic of"	677	576	0	-11	4	102	0.05	7	6633	0.1		
"Faroe Islands"	605	242	0	-25	-72	172	0	7	1404	0.27		
"Suriname"	597	507	0	-5	7	173	0	1	9050	0.14		
"Panama"	537	-2638	0	77	-98	60	0.2	1	8657	0.12		
"Gambia"	535	531	0	21	134	167	0	7	8260	0.14		
"French Southern and Antarctic Territories"	528	447	0	-55		214	0	14		0.12		
"Bangladesh"	459	-36914	0	-38	-44	49	0.3	6	4172	0.15		
"Mauritania"	442	425	0	210	-94	146	0.02	1	5817	0.07		
"Yemen"	397	397	0	25	-76	107	0.04	11	5706	0.11		
"Sudan"	369	369	0	-13	-65	122	0.03	-2		0.13		
"Liberia"	361	-271	0	29	-24	87	0.07	17	11608	0.19		
"Jamaica"	357	-799	0	41	1016	137	0.02	-2	6759	0.22		
"Burkina Faso"	313	214	0	69	-9	136	0.02	5	6109	0.05		
"Syrian Arab Republic"	300	289	0	-4	-39	139	0.02	-3	2496	0.27		
"New Caledonia"	286	286	0	-10	221	155	0.01	-1	11471	0.2		
"Malawi"	259	244	0	-11	151	168	0	0	5169	0.15		
"Cameroon"	244	-1236	0	-15	-70	116	0.03	8	7279	0.14		
"Zambia"	242	236	0	26	107	119	0.03	-9	5447	0.14		
"Sierra Leone"	227	-396	0	0	19	170	0	10	8820	0.13		
"Myanmar"	212	-6398	0	244	104	79	0.10	-1	2536	0.25		
"Afghanistan"	185	174	0	-15	95	147	0.02	-8	2990	0.12		
"Maldives"	183	183	0	13	-30	151	0.01	-3	4478	0.08		
"Curaçao"	181	181	0	31	277	163	0	-12		0.24		
"Benin"	175	173	0	-18	-31	149	0.01	-2	6481	0.07		
"Bonaire, Sint Eustatius and Saba"	143	143	0	20	-8	189	0	20		0.19		
"Macao, China"	136	78	0	-3	3300	81	0.09	15		0.17		
"Trinidad and Tobago"	133	-23	0	97	-99	128	0.03	-1	6663	0.26		
"Aruba"	131	131	0	63	56	175	0	-3	4917	0.3		
"Sint Maarten (Dutch part)"	126	126	0	99	223	213	0	-7		0.43		
"Greenland"	110	-1211	0	72	-66	180	0	6	3482	0.44		
"Brunei Darussalam"	108	108	0		332	109	0.04	26	5185	0.11		
