Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Finland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Finland (%)	
"World"	81326554	-4666321	100	2	24		100	3				
"Germany"	10758115	-1737516	13.2	0	21	3	6.5	3	3376	0.05		
"Sweden"	8307919	-1564222	10.2	3	22	31	0.9	3	2128	0.07		
"United States of America"	5401356	2666108	6.6	6	-1	1	13.4	3	7938	0.08		
"Netherlands"	4978857	1133773	6.1	1	16	8	2.8	5	3706	0.07		
"Russian Federation"	4358784	-5693086	5.4	2	28	21	1.3	5	4187	0.09		
"China"	4227581	-3537766	5.2	1	24	2	11.1	5	6416	0.04		
"Italy"	3442789	1075675	4.2	17	114	11	2.5	2	2891	0.06		
"United Kingdom"	2967294	1339070	3.6	-2	20	7	3.2	1	3930	0.06		
"Estonia"	2807627	95650	3.5	6	44	73	0.1	6	2314	0.06		
"Belgium"	2546734	813500	3.1	2	41	12	2.4	3	2709	0.08		
"France"	2434545	343057	3	4	18	6	3.2	1	3195	0.06		
"Poland"	2353820	-240476	2.9	5	30	18	1.5	8	3121	0.08		
"Norway"	2043017	80477	2.5	2	17	39	0.5	3	3470	0.06		
"Area Nes"	1734074	-1264821	2.1	-8	-28							
"Denmark"	1441387	-587153	1.8	3	32	35	0.6	5	2182	0.08		
"Japan"	1432926	518273	1.8	4	41	4	3.5	1	6256	0.09		
"Switzerland"	1421399	698910	1.7	13	186	20	1.5	4	3384	0.07		
"Spain"	1196798	-639762	1.5	-1	19	15	1.9	3	3890	0.05		
"Turkey"	1113376	259042	1.4	7	30	22	1.2	3	4285	0.05		
"Canada"	943126	354696	1.2	6	56	14	2.2	1	5042	0.26		
"Lithuania"	924055	272720	1.1	10	45	59	0.2	7	1630	0.07		
"Ireland"	830140	36415	1	32	155	36	0.5	4	3265	0.1		
"Australia"	805636	550849	1	7	14	24	1.1	1	10262	0.1		
"Korea, Republic of"	792717	-5412	1	0	9	9	2.8	4	5699	0.09		
"Latvia"	772029	410200	0.9	2	23	77	0.1	7	1575	0.08		
"India"	636555	148396	0.8	0	22	10	2.6	2	5793	0.05		
"Brazil"	600658	107815	0.7	17	-7	26	1	6	10879	0.09		
"Austria"	583479	-325091	0.7	9	15	27	1	3	1514	0.18		
"Czech Republic"	503586	-683232	0.6	9	37	28	1	4	2987	0.1		
"Egypt"	474235	427896	0.6	2	20	46	0.3	-1	5219	0.05		
"South Africa"	429059	204539	0.5	6	34	41	0.4	-1	9230	0.07		
"Mexico"	384781	-21188	0.5	-3	32	13	2.3	2	7039	0.24		
"Taipei, Chinese"	354442	-228177	0.4	14	25	17	1.7	8	5007	0.1		
"Saudi Arabia"	350379	315141	0.4	6	-6	32	0.7	3	5816	0.07		
"Uruguay"	336163	313744	0.4	56	597	95	0.06	0	9836	0.11		
"Ukraine"	279974	164477	0.3	3	30	48	0.3	7	3255	0.06		
"Indonesia"	271753	46594	0.3	-9	60	30	0.9	2	5872	0.11		
"Thailand"	271334	-92791	0.3	4	41	23	1.2	2	4905	0.09		
"Hungary"	262307	-268153	0.3	-6	19	33	0.6	6	2180	0.09		
"Viet Nam"	257678	-380514	0.3	11	130	19	1.5	8	3535	0.19		
"Chile"	252945	-98561	0.3	6	-33	43	0.4	6	11582	0.13		
"Israel"	226849	150467	0.3	3	9	42	0.4	4	5483	0.07		
"Portugal"	224957	-329480	0.3	2	19	40	0.4	2	2788	0.14		
"Singapore"	212633	-81071	0.3	2	-5	16	1.9	3	5773	0.07		
"Philippines"	211574	23068	0.3	0	31	34	0.6	2	4354	0.09		
"Romania"	203985	-158421	0.3	0	14	37	0.5	6	1891	0.07		
"Greece"	203152	77664	0.2	8	38	45	0.3	4	2847	0.05		
