Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in France's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by France (%)	
"World"	569479663	-132428300	100	0	20		100	3				
"Germany"	80975613	-14680290	14.2	-1	17	3	6.5	3	3376	0.05		
"Italy"	46148403	-8287109	8.1	1	25	11	2.5	2	2891	0.06		
"Belgium"	43895420	-9793194	7.7	2	24	12	2.4	3	2709	0.08		
"Spain"	43049905	-6593554	7.6	-1	22	15	1.9	3	3890	0.05		
"United States of America"	41343350	1319286	7.3	-1	11	1	13.4	3	7938	0.08		
"United Kingdom"	33763854	8423661	5.9	-3	9	7	3.2	1	3930	0.06		
"China"	28469472	-46955499	5	4	42	2	11.1	5	6416	0.04		
"Netherlands"	23373600	-10183969	4.1	3	28	8	2.8	5	3706	0.07		
"Switzerland"	20252314	2661081	3.6	1	23	20	1.5	4	3384	0.07		
"Poland"	14113825	-1895041	2.5	5	33	18	1.5	8	3121	0.08		
"Turkey"	8682829	-2133873	1.5	3	21	22	1.2	3	4285	0.05		
"Singapore"	8472112	5981145	1.5	0	6	16	1.9	3	5773	0.07		
"Japan"	7702358	-3396111	1.4	-1	20	4	3.5	1	6256	0.09		
"Russian Federation"	7612593	-3957767	1.3	3	29	21	1.3	5	4187	0.09		
"India"	6962697	-978099	1.2	0	44	10	2.6	2	5793	0.05		
"Sweden"	6859272	-913463	1.2	3	17	31	0.9	3	2128	0.07		
"Portugal"	6292007	-2073729	1.1	1	16	40	0.4	2	2788	0.14		
"Hong Kong, China"	5963158	5266393	1	-5	1	5	3.3	3	2841	0.22		
"Czech Republic"	5859000	-3160669	1	1	21	28	1	4	2987	0.1		
"Korea, Republic of"	5659145	-1037044	1	1	3	9	2.8	4	5699	0.09		
"Morocco"	5367673	-1955838	0.9	1	15	52	0.3	4	4316	0.07		
"Austria"	5343161	-1162871	0.9	3	27	27	1	3	1514	0.18		
"Ireland"	5307433	-4498650	0.9	10	39	36	0.5	4	3265	0.1		
"Romania"	4943072	-345675	0.9	1	15	37	0.5	6	1891	0.07		
"United Arab Emirates"	4820653	3131375	0.8	4	34	29	0.9	-2	5715	0.08		
"Hungary"	4573691	-1143050	0.8	4	6	33	0.6	6	2180	0.09		
"Algeria"	4386644	-716676	0.8	-7	-9	64	0.2	-8	4584	0.07		
"Denmark"	4131595	466204	0.7	4	24	35	0.6	5	2182	0.08		
"Canada"	4034708	-559586	0.7	1	13	14	2.2	1	5042	0.26		
"Mexico"	3950451	971527	0.7	-2	32	13	2.3	2	7039	0.24		
"Brazil"	3839820	426151	0.7	-8	16	26	1	6	10879	0.09		
"Tunisia"	3616098	-1429994	0.6	-3	24	78	0.10	-1	3411	0.06		
"Slovakia"	3500607	-2906457	0.6	2	15	38	0.5	4	2664	0.07		
