Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Germany's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Germany (%)	
"World"	1626387793	205192436	100	1	18		100	3				
"United States of America"	144235136	59093937	8.9	1	22	1	13.4	3	7938	0.08		
"China"	122635526	-44690316	7.5	5	12	2	11.1	5	6416	0.04		
"France"	120683725	47236348	7.4	-2	16	6	3.2	1	3195	0.06		
"Netherlands"	108240506	454046	6.7	3	22	8	2.8	5	3706	0.07		
"Poland"	92332636	11015933	5.7	7	24	18	1.5	8	3121	0.08		
"Italy"	88806638	11625077	5.5	2	28	11	2.5	2	2891	0.06		
"Austria"	81112915	27614424	5	2	21	27	1	3	1514	0.18		
"United Kingdom"	77297205	39421499	4.8	-6	1	7	3.2	1	3930	0.06		
"Switzerland"	72431928	13740260	4.5	3	12	20	1.5	4	3384	0.07		
"Belgium"	59552087	2738326	3.7	3	20	12	2.4	3	2709	0.08		
"Czech Republic"	54535369	-4524249	3.4	2	22	28	1	4	2987	0.1		
"Spain"	51601297	11009467	3.2	-1	20	15	1.9	3	3890	0.05		
"Hungary"	33940655	-1155941	2.1	3	21	33	0.6	6	2180	0.09		
"Russian Federation"	31501329	4273133	1.9	0	19	21	1.3	5	4187	0.09		
"Sweden"	31493398	11558438	1.9	-1	18	31	0.9	3	2128	0.07		
"Turkey"	25186206	3447322	1.5	2	2	22	1.2	3	4285	0.05		
"Denmark"	24342237	9567193	1.5	2	16	35	0.6	5	2182	0.08		
"Korea, Republic of"	22143247	7195738	1.4	2	9	9	2.8	4	5699	0.09		
"Romania"	21619977	4225029	1.3	4	19	37	0.5	6	1891	0.07		
"Japan"	21566952	-6172303	1.3	-2	9	4	3.5	1	6256	0.09		
"Slovakia"	18013497	-2236221	1.1	3	19	38	0.5	4	2664	0.07		
"Area Nes"	17200883	-35632310	1.1	15	53							
"Mexico"	15616531	6468222	1	-1	21	13	2.3	2	7039	0.24		
"India"	14709577	1847055	0.9	2	20	10	2.6	2	5793	0.05		
"Finland"	14152962	4161871	0.9	1	22	44	0.4	3	2842	0.07		
"Brazil"	12398617	3451912	0.8	4	28	26	1	6	10879	0.09		
"Portugal"	11848421	3469442	0.7	2	17	40	0.4	2	2788	0.14		
"Canada"	11848229	4549688	0.7	0	11	14	2.2	1	5042	0.26		
"Australia"	11681713	8027690	0.7	0	20	24	1.1	1	10262	0.1		
"Norway"	11264165	2594080	0.7	2	17	39	0.5	3	3470	0.06		
"Taipei, Chinese"	11023649	-3370640	0.7	5	18	17	1.7	8	5007	0.1		
"South Africa"	9458794	-5045084	0.6	-6	27	41	0.4	-1	9230	0.07		
"Ireland"	9172211	-16113181	0.6	-4	4	36	0.5	4	3265	0.1		
"Singapore"	8500225	3530872	0.5	-1	22	16	1.9	3	5773	0.07		
"United Arab Emirates"	8408439	7397513	0.5	-10	6	29	0.9	-2	5715	0.08		
"Greece"	8389599	5114956	0.5	8	21	45	0.3	4	2847	0.05		
