Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Greece's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Greece (%)	
"World"	46451612	-27554702	100	6	32		100	3				
"Italy"	4618617	-1457662	9.9	5	25	11	2.5	2	2891	0.06		
"Germany"	3371767	-4714637	7.3	9	26	3	6.5	3	3376	0.05		
"Cyprus"	2768926	2259565	6	7	32	105	0.05	-1	3118	0.09		
"Turkey"	2435715	-517109	5.2	-3	59	22	1.2	3	4285	0.05		
"Bulgaria"	2203781	-76483	4.7	8	31	57	0.2	6	2237	0.05		
"France"	2185268	-851314	4.7	27	8	6	3.2	1	3195	0.06		
"United States of America"	1921182	224690	4.1	6	46	1	13.4	3	7938	0.08		
"Romania"	1597337	646600	3.4	12	28	37	0.5	6	1891	0.07		
"United Kingdom"	1547917	757526	3.3	4	17	7	3.2	1	3930	0.06		
"Spain"	1387398	-1227608	3	12	7	15	1.9	3	3890	0.05		
"Lebanon"	1381587	1272550	3	-9	87	97	0.06	-12	3592	0.06		
"Libya, State of"	1190313	157465	2.6	36	65	89	0.07	12	3475	0.08		
"Korea, Republic of"	1086378	702210	2.3	53	187	9	2.8	4	5699	0.09		
"Netherlands"	1047538	-3070424	2.3	9	33	8	2.8	5	3706	0.07		
"Macedonia, North"	1032103	694304	2.2	3	67	103	0.05	8	1348	0.09		
"Poland"	856118	-382653	1.8	12	31	18	1.5	8	3121	0.08		
"China"	841783	-5082879	1.8	9	-14	2	11.1	5	6416	0.04		
"Albania"	809632	557841	1.7	8	39	121	0.03	6	1886	0.13		
"Saudi Arabia"	726052	-112338	1.6	-10	114	32	0.7	3	5816	0.07		
"Israel"	649063	184631	1.4	4	54	42	0.4	4	5483	0.07		
"Gibraltar"	610881	610833	1.3	-6	23	114	0.03	-5	2572	0.09		
"Tunisia"	590548	494853	1.3	23	187	78	0.10	-1	3411	0.06		
"Belgium"	548563	-1852468	1.2	3	25	12	2.4	3	2709	0.08		
"Serbia"	519149	214914	1.1	9	41	65	0.2	9	2497	0.06		
"Egypt"	518869	-1002107	1.1	-17	-9	46	0.3	-1	5219	0.05		
"Slovenia"	477206	228411	1	13	31	55	0.2	10	2404	0.07		
"Austria"	472654	-281042	1	14	20	27	1	3	1514	0.18		
"United Arab Emirates"	429203	243713	0.9	5	61	29	0.9	-2	5715	0.08		
"Singapore"	420349	372707	0.9	-17	240	16	1.9	3	5773	0.07		
"Ukraine"	400487	165868	0.9	24	81	48	0.3	7	3255	0.06		
"Hungary"	391731	-259794	0.8	25	38	33	0.6	6	2180	0.09		
"Czech Republic"	381455	-183787	0.8	9	30	28	1	4	2987	0.1		
"Malta"	378003	326672	0.8	2	39	120	0.03	1	3249	0.08		
"Croatia"	315765	210564	0.7	42	-1	63	0.2	6	1362	0.07		
"Portugal"	298927	148212	0.6	8	52	40	0.4	2	2788	0.14		
"Japan"	293230	94295	0.6	36	-28	4	3.5	1	6256	0.09		
"Sweden"	270544	-260926	0.6	2	25	31	0.9	3	2128	0.07		
