Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Greenland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Greenland (%)	
"Total"	1366929	417240	100	9	0		100	3				
"Denmark"	723776	115770	52.9	9	2	35	0.6	5	2182	0.08		
"China"	192536	192026	14.1	9	-26	2	11.1	5	6416	0.04		
"Russian Federation"	103433	103286	7.6	-1	98	21	1.3	5	4187	0.09		
"Japan"	73547	73518	5.4	1	-5	4	3.5	1	6256	0.09		
"Taipei, Chinese"	45954	45949	3.4	16	42	17	1.7	8	5007	0.1		
"United States of America"	41643	28499	3	33	43	1	13.4	3	7938	0.08		
"Germany"	40188	27436	2.9	38	-23	3	6.5	3	3376	0.05		
"Norway"	30763	25442	2.3	4	-7	39	0.5	3	3470	0.06		
"United Kingdom"	26196	22426	1.9	49	58	7	3.2	1	3930	0.06		
"Iceland"	19093	1008	1.4	10	-42	112	0.04	-1	4251	0.05		
"Poland"	11641	10463	0.9	4	-28	18	1.5	8	3121	0.08		
"Spain"	10320	-102173	0.8	14	30	15	1.9	3	3890	0.05		
"Ukraine"	9903	9903	0.7	10	-8	48	0.3	7	3255	0.06		
"France"	9192	3889	0.7	36	-30	6	3.2	1	3195	0.06		
"Thailand"	6904	6881	0.5	-2	0	23	1.2	2	4905	0.09		
"Morocco"	5214	5214	0.4	42	226	52	0.3	4	4316	0.07		
"Portugal"	2847	1767	0.2	105		40	0.4	2	2788	0.14		
"Belarus"	2371	2371	0.2	53	364	61	0.2	2	2268	0.23		
"Ireland"	2103	1975	0.2			36	0.5	4	3265	0.1		
"Netherlands"	1521	-5063	0.1	7	-56	8	2.8	5	3706	0.07		
"Canada"	1348	-9031	0.1	55	-40	14	2.2	1	5042	0.26		
"Estonia"	1321	1211	0.1	55	-11	73	0.1	6	2314	0.06		
"Sweden"	1280	-130584	0.1	-16	31900	31	0.9	3	2128	0.07		
"Switzerland"	1202	1159	0.1	72	996	20	1.5	4	3384	0.07		
"Korea, Republic of"	475	472	0	-20	136	9	2.8	4	5699	0.09		
"Luxembourg"	432	432	0	-12	-7	71	0.1	3	1488	0.14		
"Finland"	315	-3174	0	-34	-24	44	0.4	3	2842	0.07		
"Lithuania"	274	-83	0	-7	219	59	0.2	7	1630	0.07		
"Azerbaijan"	256	256	0		2227	98	0.05	5	3712	0.09		
"Czech Republic"	187	-611	0	35	53	28	1	4	2987	0.1		
"Indonesia"	140	104	0	223	62	30	0.9	2	5872	0.11		
"Malaysia"	130	37	0	-3	2214	25	1.1	3	5172	0.09		
"New Zealand"	93	7	0	109		56	0.2	3	11141	0.09		
"Bulgaria"	68	47	0			57	0.2	6	2237	0.05		
"Macao, China"	51	51	0	-41	11	81	0.09	15		0.17		
"Moldova, Republic of"	47	40	0	-22		118	0.03	8	2317	0.08		
"Armenia"	37	37	0	67	640	131	0.02	6	3323	0.15		
"Slovenia"	30	-116	0	35	43	55	0.2	10	2404	0.07		
"Singapore"	22	18	0		-76	16	1.9	3	5773	0.07		
"Brunei Darussalam"	16	16	0	-6		109	0.04	26	5185	0.11		
"Belgium"	13	-7501	0	51	990	12	2.4	3	2709	0.08		
"Colombia"	12	12	0	-42		51	0.3	4	8915	0.13		
"India"	9	-1390	0	16	50	10	2.6	2	5793	0.05		
"Uzbekistan"	8	8	0			74	0.1	16	3412	0.12		
"Hungary"	5	-18	0		-50	33	0.6	6	2180	0.09		
"Austria"	3	-2112	0	37		27	1	3	1514	0.18		
"Paraguay"	2	2	0			92	0.06	0	7311	0.15		
"Turkey"	2	-28	0	39	-84	22	1.2	3	4285	0.05		
