Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Hungary's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Hungary (%)	
"World"	141256736	2352072	100	4	18		100	3				
"Germany"	37779955	4735672	26.7	4	13	3	6.5	3	3376	0.05		
"Italy"	8272767	2074381	5.9	7	31	11	2.5	2	2891	0.06		
"Romania"	7433452	3517437	5.3	5	19	37	0.5	6	1891	0.07		
"Slovakia"	7268619	-892984	5.1	6	13	38	0.5	4	2664	0.07		
"Austria"	6386358	-2083394	4.5	2	23	27	1	3	1514	0.18		
"Poland"	6054355	-1876283	4.3	5	22	18	1.5	8	3121	0.08		
"France"	5933134	1511682	4.2	3	17	6	3.2	1	3195	0.06		
"Czech Republic"	5788562	-1017698	4.1	2	21	28	1	4	2987	0.1		
"Netherlands"	4684265	-2174489	3.3	3	12	8	2.8	5	3706	0.07		
"United Kingdom"	4427287	3088411	3.1	0	19	7	3.2	1	3930	0.06		
"United States of America"	4149191	1202909	2.9	5	16	1	13.4	3	7938	0.08		
"Spain"	3697563	1618049	2.6	3	12	15	1.9	3	3890	0.05		
"Ukraine"	3278822	1141021	2.3	12	38	48	0.3	7	3255	0.06		
"Belgium"	2916144	-357673	2.1	8	-3	12	2.4	3	2709	0.08		
"Serbia"	2744814	897071	1.9	9	36	65	0.2	9	2497	0.06		
"Croatia"	2548419	658787	1.8	7	38	63	0.2	6	1362	0.07		
"China"	2476385	-7340813	1.8	-3	20	2	11.1	5	6416	0.04		
"Turkey"	2462391	1039632	1.7	3	21	22	1.2	3	4285	0.05		
"Sweden"	2118367	1177644	1.5	6	19	31	0.9	3	2128	0.07		
"Russian Federation"	2069073	-2199340	1.5	2	10	21	1.3	5	4187	0.09		
"Slovenia"	1595124	-212710	1.1	5	22	55	0.2	10	2404	0.07		
"Bulgaria"	1575651	785521	1.1	5	12	57	0.2	6	2237	0.05		
"Switzerland"	1426713	612146	1	10	11	20	1.5	4	3384	0.07		
"Mexico"	867595	482369	0.6	-3	17	13	2.3	2	7039	0.24		
"Denmark"	847696	101324	0.6	-2	12	35	0.6	5	2182	0.08		
"Japan"	830057	-826979	0.6	3	18	4	3.5	1	6256	0.09		
"Portugal"	700830	383978	0.5	8	28	40	0.4	2	2788	0.14		
"Greece"	661306	441311	0.5	9	23	45	0.3	4	2847	0.05		
"Korea, Republic of"	599914	-3579753	0.4	6	25	9	2.8	4	5699	0.09		
"Finland"	515003	265768	0.4	8	15	44	0.4	3	2842	0.07		
"Macedonia, North"	491324	106145	0.3	10	14	103	0.05	8	1348	0.09		
"Australia"	489480	411269	0.3	0	46	24	1.1	1	10262	0.1		
