Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Iceland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Iceland (%)	
"World"	5976689	-1865249	100	2	30		100	3				
"Netherlands"	1626214	1099667	27.2	0	74	8	2.8	5	3706	0.07		
"Spain"	706128	553839	11.8	7	-11	15	1.9	3	3890	0.05		
"United Kingdom"	572535	127626	9.6	4	12	7	3.2	1	3930	0.06		
"France"	480231	295983	8	10	30	6	3.2	1	3195	0.06		
"United States of America"	464115	-181453	7.8	5	33	1	13.4	3	7938	0.08		
"Germany"	360613	-309172	6	-3	43	3	6.5	3	3376	0.05		
"Norway"	194118	-567197	3.2	-9	1	39	0.5	3	3470	0.06		
"Denmark"	146101	-450419	2.4	6	15	35	0.6	5	2182	0.08		
"China"	129614	-565642	2.2	1	43	2	11.1	5	6416	0.04		
"Poland"	123189	-63091	2.1	26	5	18	1.5	8	3121	0.08		
"Portugal"	112197	86606	1.9	9	10	40	0.4	2	2788	0.14		
"Canada"	111462	41543	1.9	9	68	14	2.2	1	5042	0.26		
"Japan"	102009	-21591	1.7	-9	156	4	3.5	1	6256	0.09		
"Belgium"	90679	-58204	1.5	-1	18	12	2.4	3	2709	0.08		
"Nigeria"	66210	66181	1.1	5	1	53	0.2	17	7792	0.1		
"Ukraine"	51743	47399	0.9	28	58	48	0.3	7	3255	0.06		
"Lithuania"	51423	-41429	0.9	10	-5	59	0.2	7	1630	0.07		
"Ireland"	49916	-37426	0.8	39	205	36	0.5	4	3265	0.1		
"Faroe Islands"	46382	36928	0.8	6	-17	172	0	7	1404	0.27		
"Hungary"	42734	17139	0.7	-6	26	33	0.6	6	2180	0.09		
"Sweden"	39298	-299261	0.7	9	25	31	0.9	3	2128	0.07		
"Italy"	37650	-188427	0.6	-8	3	11	2.5	2	2891	0.06		
"Russian Federation"	36826	-13473	0.6	-20	75	21	1.3	5	4187	0.09		
"Belarus"	32732	29802	0.5	5	38	61	0.2	2	2268	0.23		
