Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in India's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by India (%)	
"World"	394813673	-175588331	100	4	43		100	3				
"United States of America"	71510497	30123681	18.1	9	45	1	13.4	3	7938	0.08		
"United Arab Emirates"	25446639	-17623706	6.4	-8	42	29	0.9	-2	5715	0.08		
"China"	23036597	-64498539	5.8	15	21	2	11.1	5	6416	0.04		
"Bangladesh"	14092748	12328648	3.6	13	78	49	0.3	6	4172	0.15		
"Hong Kong, China"	11290061	-6911490	2.9	-9	18	5	3.3	3	2841	0.22		
"Singapore"	10650087	-7551444	2.7	-4	28	16	1.9	3	5773	0.07		
"United Kingdom"	10374395	3629393	2.6	1	34	7	3.2	1	3930	0.06		
"Netherlands"	10284461	5934186	2.6	10	64	8	2.8	5	3706	0.07		
"Germany"	9513606	-3451637	2.4	1	24	3	6.5	3	3376	0.05		
"Nepal"	9189859	7872139	2.3	8	57	96	0.06	8	1856	0.56		
"Belgium"	9055695	-505327	2.3	4	98	12	2.4	3	2709	0.08		
"Saudi Arabia"	8245418	-19443928	2.1	11	34	32	0.7	3	5816	0.07		
"Indonesia"	8089416	-8635412	2	15	85	30	0.9	2	5872	0.11		
"Italy"	7703849	2884114	2	4	77	11	2.5	2	2891	0.06		
"Turkey"	7264963	5298254	1.8	4	100	22	1.2	3	4285	0.05		
"Korea, Republic of"	7103450	-9972703	1.8	9	57	9	2.8	4	5699	0.09		
"Australia"	6917333	-8185673	1.8	11	99	24	1.1	1	10262	0.1		
"Malaysia"	6704320	-5385446	1.7	3	8	25	1.1	3	5172	0.09		
"Viet Nam"	6638390	-436925	1.7	-8	48	19	1.5	8	3535	0.19		
"Brazil"	6262205	1333708	1.6	17	70	26	1	6	10879	0.09		
"France"	6130379	2240376	1.6	2	40	6	3.2	1	3195	0.06		
"Japan"	6077163	-8335076	1.5	4	50	4	3.5	1	6256	0.09		
"South Africa"	5989463	-5081263	1.5	7	71	41	0.4	-1	9230	0.07		
"Thailand"	5515880	-3153023	1.4	7	46	23	1.2	2	4905	0.09		
