Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Iraq's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Iraq (%)	
"Total"	80707078	45577743	100	-1	27		100	3				
"India"	26566073	24533652	32.9	8	64	10	2.6	2	5793	0.05		
"China"	23643259	14068160	29.3	10	23	2	11.1	5	6416	0.04		
"Korea, Republic of"	5323531	4337127	6.6	-11	25	9	2.8	4	5699	0.09		
"Greece"	4908914	4652324	6.1	-2	115	45	0.3	4	2847	0.05		
"Italy"	3975965	3199500	4.9	-1	57	11	2.5	2	2891	0.06		
"United States of America"	3885397	3079579	4.8	-29	19	1	13.4	3	7938	0.08		
"Spain"	1788690	1595853	2.2	-3	80	15	1.9	3	3890	0.05		
"Turkey"	1664100	-9467182	2.1	21	-80	22	1.2	3	4285	0.05		
"Singapore"	1397380	1306895	1.7	-10	-22	16	1.9	3	5773	0.07		
"Germany"	1099886	45550	1.4	-9	135	3	6.5	3	3376	0.05		
"Taipei, Chinese"	1081004	912206	1.3	-9	37	17	1.7	8	5007	0.1		
"France"	1018974	665929	1.3	37	285	6	3.2	1	3195	0.06		
"Austria"	801765	708867	1	15	169	27	1	3	1514	0.18		
"Serbia"	755000	741656	0.9	5	77	65	0.2	9	2497	0.06		
"Netherlands"	499490	-89447	0.6	-39	-35	8	2.8	5	3706	0.07		
"Malaysia"	458643	8760	0.6	1	52	25	1.1	3	5172	0.09		
"Romania"	372517	227533	0.5	11	165	37	0.5	6	1891	0.07		
"Egypt"	322808	-137976	0.4	-24	-1	46	0.3	-1	5219	0.05		
"Brazil"	304699	-93903	0.4	6	200	26	1	6	10879	0.09		
"Japan"	229681	-195184	0.3	-39	27	4	3.5	1	6256	0.09		
"Croatia"	212915	203592	0.3	-12	20	63	0.2	6	1362	0.07		
"Pakistan"	118474	74054	0.1	9	195	47	0.3	2	4850	0.11		
"Poland"	78206	-69280	0.1	-75	1564020	18	1.5	8	3121	0.08		
"Philippines"	70587	60853	0.1	270	233431	34	0.6	2	4354	0.09		
"Brunei Darussalam"	61543	61543	0.1		27	109	0.04	26	5185	0.11		
"Saudi Arabia"	18485	-757515	0	19	66	32	0.7	3	5816	0.07		
"Nigeria"	7096	7082	0	321	374	53	0.2	17	7792	0.1		
"Ethiopia"	5089	4558	0		-58	90	0.07	1	6305	0.11		
"Armenia"	4718	-172596	0	74	107	131	0.02	6	3323	0.15		
"Morocco"	4372	-1273	0	86	373	52	0.3	4	4316	0.07		
"Belgium"	4181	-471566	0	-50	-62	12	2.4	3	2709	0.08		
"Kenya"	3995	580	0	295	247	80	0.09	2	6680	0.08		
"Hong Kong, China"	3466	-10712	0	-7	567	5	3.3	3	2841	0.22		
"Georgia"	3227	-12410	0	30	-66	113	0.04	-2	2513	0.09		
"United Kingdom"	2216	-440941	0	51	-98	7	3.2	1	3930	0.06		
"Uzbekistan"	1945	-9788	0	271	57	74	0.1	16	3412	0.12		
"Hungary"	935	-44837	0	-74	-97	33	0.6	6	2180	0.09		
"Canada"	884	-106652	0	-56	139	14	2.2	1	5042	0.26		
"Norway"	789	-2304	0	52	6841	39	0.5	3	3470	0.06		
"Sweden"	786	-80757	0	-83	266	31	0.9	3	2128	0.07		
"South Africa"	708	-57133	0	192	8	41	0.4	-1	9230	0.07		
"Switzerland"	546	-213906	0	-6	66	20	1.5	4	3384	0.07		
"Tanzania, United Republic of"	520	129	0	1373	-20	102	0.05	7	6633	0.1		
"Tajikistan"	474	91	0	-4	1028	142	0.02	9	2803	0.17		
"Australia"	454	-26503	0	62	330	24	1.1	1	10262	0.1		
"Denmark"	427	-49789	0	9	968	35	0.6	5	2182	0.08		
"Azerbaijan"	328	-22755	0		598	98	0.05	5	3712	0.09		
"Czech Republic"	299	-134308	0	20	486	28	1	4	2987	0.1		
"Madagascar"	272	-677	0		-89	138	0.02	2	7339	0.08		
"Fiji"	156	156	0	135		157	0.01	-7	7384	0.12		
"Senegal"	151	139	0		232	110	0.04	4	6632	0.05		
"Ukraine"	128	-686539	0	21	-56	48	0.3	7	3255	0.06		
"Bulgaria"	124	-51263	0	-85	527	57	0.2	6	2237	0.05		
"Colombia"	116	-30343	0	18		51	0.3	4	8915	0.13		
"New Zealand"	112	-11315	0	555	9	56	0.2	3	11141	0.09		
"Indonesia"	98	-213663	0	38	-100	30	0.9	2	5872	0.11		
"Ireland"	65	-93213	0	17	343	36	0.5	4	3265	0.1		
"Thailand"	61	-282585	0	-52	22	23	1.2	2	4905	0.09		
"Mauritania"	52	52	0			146	0.02	1	5817	0.07		
"Tunisia"	52	-13387	0	65	12	78	0.10	-1	3411	0.06		
"Russian Federation"	49	-282632	0	23	-87	21	1.3	5	4187	0.09		
"Finland"	30	-6918	0	4	-72	44	0.4	3	2842	0.07		
"Lithuania"	25	-3489	0	98	733	59	0.2	7	1630	0.07		
"Cyprus"	24	-11642	0	36	700	105	0.05	-1	3118	0.09		
"Ecuador"	19	-56094	0		278	69	0.1	3	9174	0.12		
"Portugal"	18	-25865	0	-95	200	40	0.4	2	2788	0.14		
"Paraguay"	14	-2588	0	-18		92	0.06	0	7311	0.15		
"Mozambique"	12	12	0	202	680	108	0.04	8	6196	0.1		
"Belarus"	7	-3425	0		-83	61	0.2	2	2268	0.23		
"El Salvador"	6	6	0			88	0.07	9	4914	0.15		
"Angola"	6	6	0	20	19	100	0.05	-11	7692	0.06		
"Honduras"	6	-16	0	97		99	0.05	4	6104	0.16		
"Moldova, Republic of"	6	-5698	0			118	0.03	8	2317	0.08		
"Latvia"	5	-2515	0	48	150	77	0.1	7	1575	0.08		
"Slovakia"	5	-17138	0	-67	-44	38	0.5	4	2664	0.07		
