Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ireland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ireland (%)	
"World"	189996305	70488950	100	8	5		100	3				
"United States of America"	58597403	38602671	30.8	11	7	1	13.4	3	7938	0.08		
"United Kingdom"	21168361	-1472287	11.1	2	27	7	3.2	1	3930	0.06		
"Germany"	20895365	11397724	11	21	5	3	6.5	3	3376	0.05		
"Belgium"	15993283	11535933	8.4	1	-22	12	2.4	3	2709	0.08		
"China"	13067217	4786646	6.9	31	11	2	11.1	5	6416	0.04		
"Netherlands"	11045559	4332683	5.8	11	13	8	2.8	5	3706	0.07		
"France"	6208862	-6304648	3.3	1	1	6	3.2	1	3195	0.06		
"Italy"	5055876	2560289	2.7	14	-5	11	2.5	2	2891	0.06		
"Switzerland"	3321840	-2424301	1.7	-20	-10	20	1.5	4	3384	0.07		
"Japan"	3166186	2005677	1.7	5	-19	4	3.5	1	6256	0.09		
"Spain"	2735749	633485	1.4	-1	-6	15	1.9	3	3890	0.05		
"Mexico"	2123120	1739106	1.1	5	37	13	2.3	2	7039	0.24		
"Poland"	1648483	633442	0.9	1	25	18	1.5	8	3121	0.08		
"Canada"	1533962	800700	0.8	8	-26	14	2.2	1	5042	0.26		
"Greece"	1299843	1180009	0.7	45	-35	45	0.3	4	2847	0.05		
"Sweden"	1014686	36972	0.5	1	14	31	0.9	3	2128	0.07		
"Australia"	989472	874679	0.5	0	-2	24	1.1	1	10262	0.1		
"Israel"	963138	-1882875	0.5	29	138	42	0.4	4	5483	0.07		
"Special categories"	949076	-1328873	0.5	-33	61							
"Hong Kong, China"	935244	840608	0.5	2	18	5	3.3	3	2841	0.22		
"Norway"	918388	52635	0.5	13	174	39	0.5	3	3470	0.06		
"Turkey"	837349	-173187	0.4	9	12	22	1.2	3	4285	0.05		
"Malta"	802761	786342	0.4	66	1609	120	0.03	1	3249	0.08		
"Korea, Republic of"	796055	-536196	0.4	3	8	9	2.8	4	5699	0.09		
"Czech Republic"	752051	-521994	0.4	7	52	28	1	4	2987	0.1		
"Portugal"	747941	425274	0.4	8	87	40	0.4	2	2788	0.14		
