Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Israel's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Israel (%)	
"World"	59828554	-30451165	100	-3	19		100	3				
"United States of America"	16281215	7039451	27.2	-3	24	1	13.4	3	7938	0.08		
"Area Nes"	5273947	-3805160	8.8	384	20							
"China"	4371522	-12274482	7.3	4	3	2	11.1	5	6416	0.04		
"India"	2854135	351880	4.8	5	78	10	2.6	2	5793	0.05		
"United Kingdom"	2378689	404773	4	-16	-36	7	3.2	1	3930	0.06		
"Netherlands"	2211084	765662	3.7	0	-10	8	2.8	5	3706	0.07		
"Belgium"	1954654	-172989	3.3	-10	34	12	2.4	3	2709	0.08		
"Turkey"	1866865	-3774809	3.1	2	30	22	1.2	3	4285	0.05		
"Germany"	1778839	-3913832	3	1	6	3	6.5	3	3376	0.05		
"Ireland"	1435875	604663	2.4	96	625	36	0.5	4	3265	0.1		
"Hong Kong, China"	1384904	258130	2.3	-29	12	5	3.3	3	2841	0.22		
"Italy"	1337493	-2195644	2.2	5	70	11	2.5	2	2891	0.06		
"France"	1260518	-814413	2.1	-9	9	6	3.2	1	3195	0.06		
"Brazil"	1227872	662548	2.1	5	22	26	1	6	10879	0.09		
"Korea, Republic of"	1159221	-843264	1.9	3	47	9	2.8	4	5699	0.09		
"Spain"	1134509	-705431	1.9	6	30	15	1.9	3	3890	0.05		
"Taipei, Chinese"	1058936	-160631	1.8	13	27	17	1.7	8	5007	0.1		
"Japan"	991225	-1298172	1.7	2	5	4	3.5	1	6256	0.09		
"Russian Federation"	777615	-1603533	1.3	0	16	21	1.3	5	4187	0.09		
"Switzerland"	742443	-627088	1.2	-22	67	20	1.5	4	3384	0.07		
"Singapore"	689503	-184371	1.2	7	34	16	1.9	3	5773	0.07		
"Canada"	596003	98307	1	-5	5	14	2.2	1	5042	0.26		
"Cyprus"	556683	409517	0.9	-2	76	105	0.05	-1	3118	0.09		
"Australia"	549825	364967	0.9	-1	15	24	1.1	1	10262	0.1		
"Greece"	441465	-141608	0.7	-12	36	45	0.3	4	2847	0.05		
"Mexico"	381373	-113562	0.6	0	18	13	2.3	2	7039	0.24		
"Slovenia"	353349	195748	0.6	-3	8	55	0.2	10	2404	0.07		
"United Arab Emirates"	316837	-251123	0.5		329	29	0.9	-2	5715	0.08		
"Thailand"	292629	-658153	0.5	-7	-3	23	1.2	2	4905	0.09		
"Malta"	266630	221872	0.4	9	79	120	0.03	1	3249	0.08		
"South Africa"	222436	137320	0.4	-7	25	41	0.4	-1	9230	0.07		
"Poland"	220556	-888124	0.4	-5	10	18	1.5	8	3121	0.08		
"Ukraine"	196995	-578945	0.3	6	46	48	0.3	7	3255	0.06		
"Philippines"	183632	44567	0.3	7	-2	34	0.6	2	4354	0.09		
"Romania"	168071	-552613	0.3	5	26	37	0.5	6	1891	0.07		
"Viet Nam"	158774	-1068158	0.3	10	0	19	1.5	8	3535	0.19		
"Czech Republic"	157026	-907236	0.3	-2	27	28	1	4	2987	0.1		
"Hungary"	153214	-440307	0.3	2	22	33	0.6	6	2180	0.09		
"Sweden"	147792	-295992	0.2	-2	-7	31	0.9	3	2128	0.07		
"Argentina"	135430	-327901	0.2	-3	11	50	0.3	-5	10631	0.1		
"Egypt"	119533	-90002	0.2	5	31	46	0.3	-1	5219	0.05		
"Azerbaijan"	116418	101501	0.2	-10	-42	98	0.05	5	3712	0.09		
"Chile"	115446	7778	0.2	2	-24	43	0.4	6	11582	0.13		
"Austria"	107341	-393531	0.2	11	41	27	1	3	1514	0.18		
"Denmark"	100931	-273456	0.2	0	2	35	0.6	5	2182	0.08		
"Sri Lanka"	93584	-38332	0.2	10	46	85	0.08	-3	4351	0.16		
"Colombia"	89901	58223	0.2	0	25	51	0.3	4	8915	0.13		
"Nigeria"	88106	81261	0.1	-26	146	53	0.2	17	7792	0.1		
"Portugal"	78500	-393184	0.1	-13	2	40	0.4	2	2788	0.14		
"Peru"	75849	56352	0.1	-3	31	54	0.2	3	10420	0.13		
"New Zealand"	69494	53682	0.1	-3	9	56	0.2	3	11141	0.09		
"Jordan"	65076	-40016	0.1	-3	65	84	0.08	0	5167	0.07		
"Norway"	64672	-206303	0.1	5	11	39	0.5	3	3470	0.06		
"Finland"	55188	-283274	0.1	-5	15	44	0.4	3	2842	0.07		
"Albania"	54967	51605	0.1	75	0	121	0.03	6	1886	0.13		
"Bulgaria"	50607	-208882	0.1	1	7	57	0.2	6	2237	0.05		
"Costa Rica"	43450	25295	0.1	-4	48	86	0.08	3	6987	0.22		
"Kenya"	41542	24391	0.1	-14	10	80	0.09	2	6680	0.08		
"Lithuania"	36516	-62026	0.1	-1	-8	59	0.2	7	1630	0.07		
"Ecuador"	35648	27225	0.1	5	61	69	0.1	3	9174	0.12		
"Rwanda"	35060	35005	0.1	60	104	159	0.01	17	5437	0.08		
"Latvia"	33543	-34995	0.1	-1	38	77	0.1	7	1575	0.08		
"Kazakhstan"	32272	29248	0.1	11	-74	58	0.2	6	3017	0.25		
"Guatemala"	30633	21402	0.1	4	16	68	0.1	7	5828	0.15		
"Morocco"	30578	-86545	0.1	17	150	52	0.3	4	4316	0.07		
"Dominican Republic"	29402	17889	0	3	2	67	0.1	5	6446	0.22		
"Indonesia"	25956	-259199	0	-24	17	30	0.9	2	5872	0.11		
"Belarus"	24336	-105567	0	1	-14	61	0.2	2	2268	0.23		
"Ghana"	23265	16002	0	-10	-30	82	0.08	8	8888	0.18		
"El Salvador"	22875	19514	0	27	276	88	0.07	9	4914	0.15		
"Ethiopia"	22491	-54999	0	0	31	90	0.07	1	6305	0.11		
"Slovakia"	22430	-317397	0	2	25	38	0.5	4	2664	0.07		
"Croatia"	21021	-55041	0	2	2	63	0.2	6	1362	0.07		
"Uganda"	19957	8830	0	25	113	132	0.02	11	5788	0.09		
"Luxembourg"	19699	-5239	0	5	-9	71	0.1	3	1488	0.14		
"Serbia"	18462	-40654	0	28	29	65	0.2	9	2497	0.06		
"Georgia"	17492	-30633	0	-9	-25	113	0.04	-2	2513	0.09		
"Estonia"	17307	-45048	0	4	99	73	0.1	6	2314	0.06		
"Tanzania, United Republic of"	16802	6554	0	7	18	102	0.05	7	6633	0.1		
"Turkmenistan"	15739	4090	0	28	1304	148	0.02	4	3495	0.15		
"Uruguay"	13422	-103866	0	-7	0	95	0.06	0	9836	0.11		
"Uzbekistan"	12616	7278	0	-8	-44	74	0.1	16	3412	0.12		
"Kuwait"	10238	10238	0			76	0.1	-3	5837	0.07		
"Armenia"	9668	3322	0	11	117	131	0.02	6	3323	0.15		
"Senegal"	9514	5185	0	-10	74	110	0.04	4	6632	0.05		
"Côte d'Ivoire"	9491	-12155	0	-1	22	93	0.06	9	6793	0.08		
"Malaysia"	8882	-394236	0	9	26	25	1.1	3	5172	0.09		
"Panama"	8868	5022	0	-13	22	60	0.2	1	8657	0.12		
"Paraguay"	8310	-173422	0	6	-39	92	0.06	0	7311	0.15		
"Honduras"	7665	3008	0	-23	-19	99	0.05	4	6104	0.16		
"Cuba"	7065	5130	0	35	30	145	0.02	-13	7148	0.09		
"Cameroon"	6442	6018	0	2	-13	116	0.03	8	7279	0.14		
"Jamaica"	5426	2977	0	4	31	137	0.02	-2	6759	0.22		
"Mauritius"	4543	1108	0	2	-15	133	0.02	-2	7320	0.08		
"Zambia"	4315	2760	0	-16	-53	119	0.03	-9	5447	0.14		
"Moldova, Republic of"	4110	-7935	0	-19	18	118	0.03	8	2317	0.08		
"Namibia"	3922	2876	0	-6	61	126	0.03	-1	3757	0.37		
