Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Italy's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Italy (%)	
"World"	611009552	59476093	100	3	23		100	3				
"Germany"	79180712	-10380330	13	4	24	3	6.5	3	3376	0.05		
"France"	62450017	16072835	10.2	2	21	6	3.2	1	3195	0.06		
"United States of America"	58512976	39801100	9.6	5	21	1	13.4	3	7938	0.08		
"Switzerland"	32304924	19106167	5.3	8	12	20	1.5	4	3384	0.07		
"Spain"	30263627	1649205	5	1	27	15	1.9	3	3890	0.05		
"United Kingdom"	27753715	18205056	4.5	0	8	7	3.2	1	3930	0.06		
"Belgium"	21160389	-3717182	3.5	8	24	12	2.4	3	2709	0.08		
"Poland"	19111678	5040253	3.1	5	27	18	1.5	8	3121	0.08		
"China"	18570688	-27024254	3	3	27	2	11.1	5	6416	0.04		
"Netherlands"	17938723	-14807776	2.9	8	38	8	2.8	5	3706	0.07		
"Austria"	13517172	779209	2.2	3	28	27	1	3	1514	0.18		
"Turkey"	11282707	-374504	1.8	-2	28	22	1.2	3	4285	0.05		
"Romania"	9744824	1285650	1.6	2	22	37	0.5	6	1891	0.07		
"Russian Federation"	9108874	-7442124	1.5	-1	13	21	1.3	5	4187	0.09		
"Japan"	8941475	3669440	1.5	4	10	4	3.5	1	6256	0.09		
"Czech Republic"	8347302	-661189	1.4	3	25	28	1	4	2987	0.1		
"Special categories"	6894378	4565715	1.1	14	60							
"Greece"	6543619	2757766	1.1	6	32	45	0.3	4	2847	0.05		
"Sweden"	6402504	673566	1	4	19	31	0.9	3	2128	0.07		
"Hungary"	6353606	-904908	1	2	25	33	0.6	6	2180	0.09		
"Korea, Republic of"	6246963	1234067	1	5	17	9	2.8	4	5699	0.09		
"Canada"	5723252	3671103	0.9	5	17	14	2.2	1	5042	0.26		
"United Arab Emirates"	5705866	3252741	0.9	-3	29	29	0.9	-2	5715	0.08		
"Hong Kong, China"	5698613	5349277	0.9	-7	17	5	3.3	3	2841	0.22		
"Brazil"	5420142	357186	0.9	4	31	26	1	6	10879	0.09		
"Slovenia"	5241221	445567	0.9	-1	26	55	0.2	10	2404	0.07		
"Australia"	5109541	4388236	0.8	2	21	24	1.1	1	10262	0.1		
"Portugal"	5099264	2089940	0.8	1	19	40	0.4	2	2788	0.14		
"India"	4597938	-3217067	0.8	0	33	10	2.6	2	5793	0.05		
"Mexico"	4567204	3305350	0.7	-4	28	13	2.3	2	7039	0.24		
"Egypt"	4497048	2116523	0.7	8	28	46	0.3	-1	5219	0.05		
"Croatia"	4238754	1767692	0.7	3	29	63	0.2	6	1362	0.07		
"Slovakia"	4024593	-92047	0.7	3	22	38	0.5	4	2664	0.07		
"Denmark"	3990069	689587	0.7	3	18	35	0.6	5	2182	0.08		
"Saudi Arabia"	3951504	-1787383	0.6	-2	8	32	0.7	3	5816	0.07		
"Israel"	3654837	2577531	0.6	4	31	42	0.4	4	5483	0.07		
"Tunisia"	3380196	282053	0.6	-5	24	78	0.10	-1	3411	0.06		
"Ireland"	3105679	-3047619	0.5	4	36	36	0.5	4	3265	0.1		
"Bulgaria"	2877793	-330328	0.5	2	15	57	0.2	6	2237	0.05		
"South Africa"	2665826	480564	0.4	2	55	41	0.4	-1	9230	0.07		
"Morocco"	2609973	1080764	0.4	2	34	52	0.3	4	4316	0.07		
"Singapore"	2592674	1952883	0.4	0	21	16	1.9	3	5773	0.07		
"Ukraine"	2500721	-1391149	0.4	10	29	48	0.3	7	3255	0.06		
"Serbia"	2441906	693781	0.4	4	27	65	0.2	9	2497	0.06		
"Qatar"	2375863	-49302	0.4	17	97	70	0.1	0	5745	0.06		
"Finland"	2275217	-1263303	0.4	4	17	44	0.4	3	2842	0.07		
"Norway"	2127048	953296	0.3	1	16	39	0.5	3	3470	0.06		
"Algeria"	2086947	-4515759	0.3	-15	-6	64	0.2	-8	4584	0.07		
"Ship stores and bunkers"	1985253	1985253	0.3	-1	25	75	0.1	-11		0.16		
"Malta"	1949405	1629893	0.3	-3	20	120	0.03	1	3249	0.08		
"Albania"	1916391	440535	0.3	3	33	121	0.03	6	1886	0.13		
"Taipei, Chinese"	1916362	-870169	0.3	2	16	17	1.7	8	5007	0.1		
"Thailand"	1860459	-298914	0.3	3	15	23	1.2	2	4905	0.09		
"Kuwait"	1803553	1764253	0.3	5	70	76	0.1	-3	5837	0.07		
"Libya, State of"	1421948	-5169866	0.2	-1	42	89	0.07	12	3475	0.08		
"Viet Nam"	1401993	-2763187	0.2	-1	16	19	1.5	8	3535	0.19		
"Chile"	1396198	591889	0.2	4	34	43	0.4	6	11582	0.13		
"Lithuania"	1366885	537022	0.2	7	21	59	0.2	7	1630	0.07		
"Malaysia"	1327295	-559649	0.2	-2	1	25	1.1	3	5172	0.09		
