Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Japan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Japan (%)	
"Total"	793840928	214602723	100									
"China"	188424168	37123985	23.7	2	8	2	11.1	5	6416	0.04		
"United States of America"	139389858	64419666	17.6	-2	14	1	13.4	3	7938	0.08		
"Taipei, Chinese"	56263117	26971267	7.1	6	22	17	1.7	8	5007	0.1		
"Korea, Republic of"	54636756	24573632	6.9	-2	19	9	2.8	4	5699	0.09		
"Hong Kong, China"	37234364	21886960	4.7	0	11	5	3.3	3	2841	0.22		
"Thailand"	35689940	11056489	4.5	0	28	23	1.2	2	4905	0.09		
"Germany"	27739255	6172303	3.5	0	13	3	6.5	3	3376	0.05		
"Singapore"	21819549	3453385	2.7	-1	20	16	1.9	3	5773	0.07		
"Malaysia"	17794100	-376140	2.2	3	22	25	1.1	3	5172	0.09		
"Mexico"	17078967	13101753	2.2	-4	23	13	2.3	2	7039	0.24		
"Australia"	15176361	-14600480	1.9	-4	26	24	1.1	1	10262	0.1		
"India"	14412239	8335076	1.8	4	41	10	2.6	2	5793	0.05		
"Indonesia"	14256962	-3479811	1.8	-6	34	30	0.9	2	5872	0.11		
"Canada"	12322981	875427	1.6	-4	22	14	2.2	1	5042	0.26		
"Philippines"	11831921	1109617	1.5	-2	36	34	0.6	2	4354	0.09		
"France"	11098469	3396111	1.4	-2	15	6	3.2	1	3195	0.06		
"Belgium"	11011395	1982161	1.4	2	1	12	2.4	3	2709	0.08		
"United Kingdom"	9593655	2025326	1.2	-8	-6	7	3.2	1	3930	0.06		
"Netherlands"	9581017	4508339	1.2	1	13	8	2.8	5	3706	0.07		
"Russian Federation"	9127294	-1598718	1.1	1	28	21	1.3	5	4187	0.09		
"Saudi Arabia"	6069350	5140665	0.8	3	7	32	0.7	3	5816	0.07		
"Switzerland"	5306415	-3190241	0.7	-2	0	20	1.5	4	3384	0.07		
"Italy"	5272035	-3669440	0.7	2	27	11	2.5	2	2891	0.06		
"Brazil"	5145679	-393821	0.6	6	23	26	1	6	10879	0.09		
"Poland"	5076926	4246761	0.6	8	10	18	1.5	8	3121	0.08		
"Turkey"	4389184	3859493	0.6	0	17	22	1.2	3	4285	0.05		
"Czech Republic"	4234120	2801501	0.5	7	47	28	1	4	2987	0.1		
"Spain"	3511440	38344	0.4	-8	6	15	1.9	3	3890	0.05		
"New Zealand"	3192478	654234	0.4	-2	52	56	0.2	3	11141	0.09		
"South Africa"	2604866	-5632071	0.3	-6	36	41	0.4	-1	9230	0.07		
"Israel"	2289397	1298172	0.3	-6	85	42	0.4	4	5483	0.07		
"Pakistan"	2186175	1983265	0.3	-8	92	47	0.3	2	4850	0.11		
"Norway"	1765283	685634	0.2	1	10	39	0.5	3	3470	0.06		
"Chile"	1750069	-5182372	0.2	-6	82	43	0.4	6	11582	0.13		
"Hungary"	1657036	826979	0.2	2	22	33	0.6	6	2180	0.09		
"Macao, China"	1645870	1644742	0.2	26	35	81	0.09	15		0.17		
"Austria"	1440026	-600742	0.2	5	23	27	1	3	1514	0.18		
"Sweden"	1341985	-1428325	0.2	-10	21	31	0.9	3	2128	0.07		
"Colombia"	1268938	801109	0.2	-3	44	51	0.3	4	8915	0.13		
"Ukraine"	1213480	871986	0.2	16	13	48	0.3	7	3255	0.06		
"Ireland"	1160509	-2005677	0.1	10	12	36	0.5	4	3265	0.1		
"Argentina"	1140318	418374	0.1	-2	58	50	0.3	-5	10631	0.1		
"Peru"	1024386	-1755853	0.1	-4	41	54	0.2	3	10420	0.13		
"Finland"	914653	-518273	0.1	2	14	44	0.4	3	2842	0.07		
"Kenya"	892273	831009	0.1	1	8	80	0.09	2	6680	0.08		
"Egypt"	745926	200708	0.1	-8	-27	46	0.3	-1	5219	0.05		
"Portugal"	712089	360490	0.1	10	113	40	0.4	2	2788	0.14		
"Cambodia"	640513	-453115	0.1	1	-2	66	0.1	16	2651	0.18		
"Slovakia"	592175	285252	0.1	-3	21	38	0.5	4	2664	0.07		
"Ecuador"	583508	323023	0.1	-2	54	69	0.1	3	9174	0.12		
"Luxembourg"	492763	395232	0.1	-7	14	71	0.1	3	1488	0.14		
"Denmark"	471079	-1034826	0.1	-1	14	35	0.6	5	2182	0.08		
"Tanzania, United Republic of"	469006	401533	0.1	3	25	102	0.05	7	6633	0.1		
