Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Kazakhstan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Kazakhstan (%)	
"Total"	56805894	11182880	100	5	41		100	3				
"China"	10313868	-2283170	18.2	12	6	2	11.1	5	6416	0.04		
"Russian Federation"	7132347	-11361483	12.6	7	41	21	1.3	5	4187	0.09		
"Germany"	4213191	2521354	7.4	-3	58	3	6.5	3	3376	0.05		
"United Kingdom"	4063265	3731542	7.2	47	446	7	3.2	1	3930	0.06		
"Uzbekistan"	2701119	1677641	4.8	27	29	74	0.1	16	3412	0.12		
"Greece"	2634099	2619365	4.6	15	47	45	0.3	4	2847	0.05		
"Korea, Republic of"	2442129	1672931	4.3	17	124	9	2.8	4	5699	0.09		
"France"	2424950	1873970	4.3	-15	35	6	3.2	1	3195	0.06		
"Spain"	1863878	1726738	3.3	-5	42	15	1.9	3	3890	0.05		
"United States of America"	1795313	987946	3.2	12	91	1	13.4	3	7938	0.08		
"Romania"	1741395	1722430	3.1	5	36	37	0.5	6	1891	0.07		
"Austria"	1616590	1413470	2.8	3	63	27	1	3	1514	0.18		
"Turkey"	1595313	307008	2.8	0	35	22	1.2	3	4285	0.05		
"Italy"	1400691	809848	2.5	-5	-3	11	2.5	2	2891	0.06		
"Lithuania"	1313176	892615	2.3	2	92	59	0.2	7	1630	0.07		
"Poland"	957739	168308	1.7	-6	-14	18	1.5	8	3121	0.08		
"Tajikistan"	818545	458464	1.4	14	8	142	0.02	9	2803	0.17		
"Ukraine"	806184	381643	1.4	19	91	48	0.3	7	3255	0.06		
"Czech Republic"	776199	546640	1.4	5	135	28	1	4	2987	0.1		
"Canada"	727579	657783	1.3	14	143	14	2.2	1	5042	0.26		
"Japan"	716613	366990	1.3	-17	-3	4	3.5	1	6256	0.09		
"Kyrgyzstan"	684791	310044	1.2	3	37	127	0.03	1	2892	0.2		
"India"	530008	322552	0.9	-8	-59	10	2.6	2	5793	0.05		
"Netherlands"	493807	23226	0.9	6	366	8	2.8	5	3706	0.07		
"Singapore"	451099	437577	0.8	21	852	16	1.9	3	5773	0.07		
"Croatia"	329159	307099	0.6	31	13	63	0.2	6	1362	0.07		
"Indonesia"	277897	264553	0.5	75	114	30	0.9	2	5872	0.11		
"Hungary"	269200	117541	0.5	-18	62	33	0.6	6	2180	0.09		
"Serbia"	235826	228531	0.4	76	126	65	0.2	9	2497	0.06		
"Morocco"	215815	215672	0.4	4	751	52	0.3	4	4316	0.07		
"Belgium"	206321	-215533	0.4	-3	-6	12	2.4	3	2709	0.08		
"Brazil"	140400	127872	0.2	21	78	26	1	6	10879	0.09		
"Estonia"	127827	94673	0.2	8	345	73	0.1	6	2314	0.06		
"Taipei, Chinese"	111024	70775	0.2	0	51	17	1.7	8	5007	0.1		
"Azerbaijan"	95444	55550	0.2	-6	-18	98	0.05	5	3712	0.09		
"Belarus"	77487	-687464	0.1	-6	-21	61	0.2	2	2268	0.23		
"Switzerland"	73545	-206391	0.1	-42	-41	20	1.5	4	3384	0.07		
"Saudi Arabia"	41289	39002	0.1	29	114	32	0.7	3	5816	0.07		
"Slovakia"	39700	-23687	0.1	-2	-54	38	0.5	4	2664	0.07		
"Bosnia and Herzegovina"	34384	33966	0.1	56	1052	94	0.06	3	2228	0.07		
"Portugal"	32439	26730	0.1	-67	541	40	0.4	2	2788	0.14		
"Sweden"	21882	-109222	0	16	41	31	0.9	3	2128	0.07		
"Pakistan"	21793	-171873	0	2	4108	47	0.3	2	4850	0.11		
"Argentina"	20348	13401	0	65	97	50	0.3	-5	10631	0.1		
"Slovenia"	18951	-41259	0	7	190	55	0.2	10	2404	0.07		
"South Africa"	18750	3583	0	11	106	41	0.4	-1	9230	0.07		
"Georgia"	18486	-50042	0	-11	-45	113	0.04	-2	2513	0.09		
"Thailand"	17395	-31486	0	-26	29	23	1.2	2	4905	0.09		
"Tunisia"	16771	16765	0	-9	-28	78	0.10	-1	3411	0.06		
"Moldova, Republic of"	15830	1852	0	95	-73	118	0.03	8	2317	0.08		
"Senegal"	15793	15793	0	203	496	110	0.04	4	6632	0.05		
"Chile"	11200	1094	0	79	538	43	0.4	6	11582	0.13		
"Malaysia"	10742	-77567	0	-5	172	25	1.1	3	5172	0.09		
"Finland"	9584	-110597	0	-57	184	44	0.4	3	2842	0.07		
"Latvia"	8510	-47006	0	-13	232	77	0.1	7	1575	0.08		
"Armenia"	7787	-2736	0	19	36	131	0.02	6	3323	0.15		
"Norway"	6940	-71260	0	-10	25	39	0.5	3	3470	0.06		
"Cyprus"	6528	5842	0	141	27	105	0.05	-1	3118	0.09		
"Australia"	5299	-7648	0	51	-69	24	1.1	1	10262	0.1		
"Egypt"	4497	-57441	0	-39	175	46	0.3	-1	5219	0.05		
"Colombia"	3851	969	0	-6	350	51	0.3	4	8915	0.13		
"Ethiopia"	3692	3692	0	299	111	90	0.07	1	6305	0.11		
"Dominican Republic"	3047	3047	0	25	-25	67	0.1	5	6446	0.22		
"Israel"	3024	-29248	0	-41	286	42	0.4	4	5483	0.07		
"Hong Kong, China"	2412	-282255	0	1	107	5	3.3	3	2841	0.22		
"Bulgaria"	2368	-44702	0	-24	-85	57	0.2	6	2237	0.05		
"Mexico"	2137	2071	0	-34	-41	13	2.3	2	7039	0.24		
"Denmark"	1795	-27386	0	10	-73	35	0.6	5	2182	0.08		
"Nigeria"	1721	1663	0	164	6780	53	0.2	17	7792	0.1		
"Ireland"	1476	-68226	0	60	-30	36	0.5	4	3265	0.1		
"Peru"	472	-41	0		28	54	0.2	3	10420	0.13		
"Ecuador"	274	-20758	0		259	69	0.1	3	9174	0.12		
"Montenegro"	185	184	0	17	107	152	0.01	0	2382	0.08		
"Cambodia"	136	119	0	142	362	66	0.1	16	2651	0.18		
"Mauritius"	100	100	0	235	586	133	0.02	-2	7320	0.08		
"Tanzania, United Republic of"	97	97	0	150	9254	102	0.05	7	6633	0.1		
"Malta"	84	23	0	-20	-80	120	0.03	1	3249	0.08		
