Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Korea, Republic of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Korea, Republic of (%)	
"World"	644438622	29404127	100	1	26		100	3				
"China"	162919707	24297635	25.3	1	23	2	11.1	5	6416	0.04		
"United States of America"	96313665	22698415	14.9	7	29	1	13.4	3	7938	0.08		
"Viet Nam"	56729065	32763363	8.8	3	17	19	1.5	8	3535	0.19		
"Hong Kong, China"	37472095	35225633	5.8	-5	22	5	3.3	3	2841	0.22		
"Japan"	30063124	-24573632	4.7	0	20	4	3.5	1	6256	0.09		
"Taipei, Chinese"	24292826	809710	3.8	8	48	17	1.7	8	5007	0.1		
"India"	15604220	7548837	2.4	-2	31	10	2.6	2	5793	0.05		
"Singapore"	14175201	3483680	2.2	2	44	16	1.9	3	5773	0.07		
"Mexico"	11289115	3401152	1.8	-3	37	13	2.3	2	7039	0.24		
"Germany"	11106721	-10886718	1.7	6	16	3	6.5	3	3376	0.05		
"Malaysia"	10104931	-352173	1.6	5	11	25	1.1	3	5172	0.09		
"Russian Federation"	9982575	-7369718	1.5	7	45	21	1.3	5	4187	0.09		
"Australia"	9745267	-23169178	1.5	-17	58	24	1.1	1	10262	0.1		
"Philippines"	9655774	5762224	1.5	-7	35	34	0.6	2	4354	0.09		
"Indonesia"	8552309	-2175144	1.3	-3	35	30	0.9	2	5872	0.11		
"Thailand"	8525656	1518291	1.3	0	24	23	1.2	2	4905	0.09		
"Turkey"	7025311	5790602	1.1	2	27	22	1.2	3	4285	0.05		
"Canada"	6714507	351003	1	7	23	14	2.2	1	5042	0.26		
"Poland"	6595631	5494205	1	19	17	18	1.5	8	3121	0.08		
"United Kingdom"	5961283	152308	0.9	-10	33	7	3.2	1	3930	0.06		
"Netherlands"	5823220	-3340728	0.9	3	41	8	2.8	5	3706	0.07		
"Brazil"	4666744	-1952933	0.7	-5	18	26	1	6	10879	0.09		
"France"	4661791	-1981216	0.7	7	53	6	3.2	1	3195	0.06		
"Italy"	4596993	-3415836	0.7	1	43	11	2.5	2	2891	0.06		
"Belgium"	4436745	1013163	0.7	8	61	12	2.4	3	2709	0.08		
