Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Latvia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Latvia (%)	
"World"	19504867	-3474108	100	8	28		100	3				
"Lithuania"	3495474	-456662	17.9	8	41	59	0.2	7	1630	0.07		
"Estonia"	2094639	63666	10.7	7	18	73	0.1	6	2314	0.06		
"United Kingdom"	1480627	1274318	7.6	17	70	7	3.2	1	3930	0.06		
"Germany"	1429137	-981811	7.3	9	30	3	6.5	3	3376	0.05		
"Russian Federation"	1414598	-681725	7.3	3	9	21	1.3	5	4187	0.09		
"Sweden"	1076519	400518	5.5	4	24	31	0.9	3	2128	0.07		
"Denmark"	840744	384013	4.3	9	21	35	0.6	5	2182	0.08		
"Poland"	809745	-1395012	4.2	6	46	18	1.5	8	3121	0.08		
"Netherlands"	641254	-281751	3.3	17	38	8	2.8	5	3706	0.07		
"Finland"	496655	-358575	2.5	15	23	44	0.4	3	2842	0.07		
"France"	457224	89034	2.3	18	52	6	3.2	1	3195	0.06		
"United States of America"	445642	225257	2.3	-3	58	1	13.4	3	7938	0.08		
"Norway"	381286	277822	2	4	28	39	0.5	3	3470	0.06		
"Nigeria"	298851	298522	1.5	77	52	53	0.2	17	7792	0.1		
"Italy"	285627	-427768	1.5	8	17	11	2.5	2	2891	0.06		
"Turkey"	282046	129167	1.4	7	62	22	1.2	3	4285	0.05		
"Ukraine"	272161	5186	1.4	21	9	48	0.3	7	3255	0.06		
"Belgium"	267523	-192826	1.4	7	43	12	2.4	3	2709	0.08		
"Spain"	232234	-54552	1.2	10	25	15	1.9	3	3890	0.05		
"Czech Republic"	221410	-153607	1.1	1	30	28	1	4	2987	0.1		
"Belarus"	220964	-327341	1.1	6	6	61	0.2	2	2268	0.23		
"China"	185734	-831263	1	2	5	2	11.1	5	6416	0.04		
"Hungary"	127701	-106501	0.7	18	59	33	0.6	6	2180	0.09		
"Korea, Republic of"	106645	59796	0.5	11	21	9	2.8	4	5699	0.09		
"Austria"	102544	-105692	0.5	10	28	27	1	3	1514	0.18		
"Japan"	88281	59330	0.5	8	54	4	3.5	1	6256	0.09		
"Ireland"	85228	4671	0.4	15	34	36	0.5	4	3265	0.1		
"Slovakia"	83424	-92133	0.4	8	9	38	0.5	4	2664	0.07		
"South Africa"	81867	80110	0.4	20	58	41	0.4	-1	9230	0.07		
"United Arab Emirates"	67243	50517	0.3	-10	12	29	0.9	-2	5715	0.08		
"Switzerland"	66725	-37032	0.3	8	2	20	1.5	4	3384	0.07		
"Uzbekistan"	65821	51466	0.3	-10	11	74	0.1	16	3412	0.12		
"Romania"	57258	-12922	0.3	22	25	37	0.5	6	1891	0.07		
"Kazakhstan"	55516	47006	0.3	6	14	58	0.2	6	3017	0.25		
"Egypt"	53681	47377	0.3	-6	5	46	0.3	-1	5219	0.05		
"Israel"	53195	34379	0.3	12	-24	42	0.4	4	5483	0.07		
"Bulgaria"	51795	2724	0.3	14	14	57	0.2	6	2237	0.05		
"Hong Kong, China"	50859	27900	0.3	13	14	5	3.3	3	2841	0.22		
"Portugal"	47760	15199	0.2	18	47	40	0.4	2	2788	0.14		
"Saudi Arabia"	47742	47169	0.2	-14	-52	32	0.7	3	5816	0.07		
"Ship stores and bunkers"	44801	44801	0.2	-12	60	75	0.1	-11		0.16		
"Iceland"	44099	24246	0.2	7	28	112	0.04	-1	4251	0.05		
"Australia"	43554	19551	0.2	20	66	24	1.1	1	10262	0.1		
"Canada"	40104	-668001	0.2	9	47	14	2.2	1	5042	0.26		
"Georgia"	39301	30206	0.2	-2	26	113	0.04	-2	2513	0.09		
"Greece"	38696	1652	0.2	26	9	45	0.3	4	2847	0.05		
"Algeria"	34238	34237	0.2	54	-63	64	0.2	-8	4584	0.07		
"India"	32590	-48789	0.2	-2	36	10	2.6	2	5793	0.05		
"Brazil"	30755	13476	0.2	37	81	26	1	6	10879	0.09		
"Moldova, Republic of"	25589	16833	0.1	5	14	118	0.03	8	2317	0.08		
"Slovenia"	24687	-34457	0.1	14	8	55	0.2	10	2404	0.07		
"Cyprus"	23249	4389	0.1	15	33	105	0.05	-1	3118	0.09		
"Croatia"	22994	-12108	0.1	32	37	63	0.2	6	1362	0.07		
"Azerbaijan"	22237	20773	0.1	3	8	98	0.05	5	3712	0.09		
"Viet Nam"	20200	-191982	0.1	23	46	19	1.5	8	3535	0.19		
"Indonesia"	18680	9327	0.1	24	7	30	0.9	2	5872	0.11		
"Mauritania"	17230	17228	0.1	138	21172	146	0.02	1	5817	0.07		
"Thailand"	16854	-13756	0.1	8	18	23	1.2	2	4905	0.09		
"Malta"	16587	14940	0.1	2	79	120	0.03	1	3249	0.08		
"Morocco"	15564	14176	0.1	54	-78	52	0.3	4	4316	0.07		
"Paraguay"	15382	15180	0.1	-16	21	92	0.06	0	7311	0.15		
"Singapore"	15348	3883	0.1	0	-17	16	1.9	3	5773	0.07		
"Serbia"	15204	1041	0.1	19	10	65	0.2	9	2497	0.06		
"Luxembourg"	13741	2716	0.1	7	17	71	0.1	3	1488	0.14		
"New Zealand"	13297	10444	0.1	17	40	56	0.2	3	11141	0.09		
"Kenya"	13209	13127	0.1	26	-48	80	0.09	2	6680	0.08		
"Malaysia"	11994	-8667	0.1	4	34	25	1.1	3	5172	0.09		
"Taipei, Chinese"	10352	-107797	0.1	13	2	17	1.7	8	5007	0.1		
"Pakistan"	10082	3363	0.1	-11	-49	47	0.3	2	4850	0.11		
"Armenia"	9581	5866	0	11	26	131	0.02	6	3323	0.15		
"Tunisia"	9191	8835	0	33	147	78	0.10	-1	3411	0.06		
"Peru"	8886	7239	0	18	-24	54	0.2	3	10420	0.13		
"Tajikistan"	8595	8594	0	4	26	142	0.02	9	2803	0.17		
"Mexico"	8344	-13279	0	-3	-3	13	2.3	2	7039	0.24		
"Kyrgyzstan"	7834	7074	0	-10	-22	127	0.03	1	2892	0.2		
"Argentina"	7705	4322	0	0	28	50	0.3	-5	10631	0.1		
"Colombia"	7585	7337	0	28	22	51	0.3	4	8915	0.13		
"Mongolia"	7366	7364	0	47	174	125	0.03	8	3267	0.22		
"Chile"	7303	3730	0	12	-43	43	0.4	6	11582	0.13		
"Ghana"	7008	6728	0	54	-61	82	0.08	8	8888	0.18		
"Faroe Islands"	6305	2190	0	32	60	172	0	7	1404	0.27		
