Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Lebanon's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Lebanon (%)	
"Total"	2205226	-9851501	100	5	-17		100	3				
"Switzerland"	459763	79869	20.8	35	-58	20	1.5	4	3384	0.07		
"United States of America"	198337	-467512	9	15	0	1	13.4	3	7938	0.08		
"Egypt"	195312	-135999	8.9	17	68	46	0.3	-1	5219	0.05		
"Saudi Arabia"	147324	9412	6.7	-19	-40	32	0.7	3	5816	0.07		
"Greece"	109037	-1272550	4.9	30	32	45	0.3	4	2847	0.05		
"Netherlands"	66615	-208242	3	-4	3	8	2.8	5	3706	0.07		
"Belgium"	66580	-279891	3	5	74	12	2.4	3	2709	0.08		
"Spain"	63015	-268510	2.9	0	47	15	1.9	3	3890	0.05		
"Italy"	62514	-515443	2.8	8	6	11	2.5	2	2891	0.06		
"Bulgaria"	61014	-2548	2.8	-5	63	57	0.2	6	2237	0.05		
"France"	59980	-308405	2.7	-1	26	6	3.2	1	3195	0.06		
"United Kingdom"	51775	-153062	2.3	7	-3	7	3.2	1	3930	0.06		
"Germany"	48573	-565896	2.2	0	-18	3	6.5	3	3376	0.05		
"Turkey"	48417	-1645132	2.2	-27	-6	22	1.2	3	4285	0.05		
"China"	40361	-1308621	1.8	7	27	2	11.1	5	6416	0.04		
"Nigeria"	35574	34684	1.6	18	4	53	0.2	17	7792	0.1		
"Canada"	34208	-59114	1.6	8	18	14	2.2	1	5042	0.26		
"Korea, Republic of"	33388	-61556	1.5	-9	63	9	2.8	4	5699	0.09		
"India"	31917	-250372	1.4	-7	15	10	2.6	2	5793	0.05		
"Belarus"	31331	29614	1.4	-32	189	61	0.2	2	2268	0.23		
"Cyprus"	27416	-310243	1.2	23	9	105	0.05	-1	3118	0.09		
"Russian Federation"	22635	-497445	1	22	79	21	1.3	5	4187	0.09		
"Angola"	21950	21769	1	-23	50	100	0.05	-11	7692	0.06		
"Brazil"	20317	-136434	0.9	-19	582	26	1	6	10879	0.09		
"Morocco"	20219	-21467	0.9	-4	0	52	0.3	4	4316	0.07		
"Portugal"	18913	-4982	0.9	25	17	40	0.4	2	2788	0.14		
"Hong Kong, China"	17984	-64444	0.8	35	-69	5	3.3	3	2841	0.22		
"Benin"	16935	16925	0.8	56	16	149	0.01	-2	6481	0.07		
"Australia"	16645	3637	0.8	4	8	24	1.1	1	10262	0.1		
"Poland"	15671	-54449	0.7	15	-3	18	1.5	8	3121	0.08		
"Sweden"	15167	-16475	0.7	-2	-6	31	0.9	3	2128	0.07		
"Japan"	13711	-149690	0.6	-6	-41	4	3.5	1	6256	0.09		
"Senegal"	12289	-1439	0.6	5	17	110	0.04	4	6632	0.05		
"Tunisia"	10183	-7301	0.5	-5	17	78	0.10	-1	3411	0.06		
"Congo"	8616	8381	0.4	-1	11	154	0.01	-18	6851	0.07		
"Malaysia"	7883	-40278	0.4	0	116	25	1.1	3	5172	0.09		
"Kenya"	7483	6751	0.3	25	143	80	0.09	2	6680	0.08		
"Burkina Faso"	7432	7359	0.3	-6	160	136	0.02	5	6109	0.05		
"Togo"	6036	5409	0.3	21	41	153	0.01	10	7318	0.08		
"Norway"	5308	300	0.2	29	43	39	0.5	3	3470	0.06		
"Ukraine"	4401	-381637	0.2	19	3	48	0.3	7	3255	0.06		
