Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Libya, State of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Libya, State of (%)	
"Total"	30640044	15105003	100	-2	264		100	3				
"Italy"	6591814	5169866	21.5	6	235	11	2.5	2	2891	0.06		
"Germany"	3602756	2919252	11.8	-10	324	3	6.5	3	3376	0.05		
"Spain"	3427177	3060445	11.2	-10	386	15	1.9	3	3890	0.05		
"China"	2888398	969736	9.4	-3	256	2	11.1	5	6416	0.04		
"United States of America"	2220062	1924196	7.2	-9	887	1	13.4	3	7938	0.08		
"France"	2159187	1951009	7	-9	308	6	3.2	1	3195	0.06		
"Netherlands"	1751021	1218136	5.7	12	1346	8	2.8	5	3706	0.07		
"United Kingdom"	1548301	1407167	5.1	-14	1643	7	3.2	1	3930	0.06		
"Thailand"	1155874	967279	3.8	56	254	23	1.2	2	4905	0.09		
"Greece"	1032848	-157465	3.4	-15	1671	45	0.3	4	2847	0.05		
"Austria"	893308	832794	2.9	-5	545	27	1	3	1514	0.18		
"Turkey"	821796	-1947630	2.7	48	-51	22	1.2	3	4285	0.05		
"India"	368518	160621	1.2	30	2814	10	2.6	2	5793	0.05		
"Sweden"	321491	277940	1	-16	1079	31	0.9	3	2128	0.07		
"Switzerland"	302068	85393	1	6	109	20	1.5	4	3384	0.07		
"Australia"	288414	286287	0.9	12	79	24	1.1	1	10262	0.1		
"Denmark"	220541	188767	0.7	37	377	35	0.6	5	2182	0.08		
"Singapore"	171237	154674	0.6	-17	-14	16	1.9	3	5773	0.07		
"Ukraine"	147067	-277940	0.5	667	250	48	0.3	7	3255	0.06		
"Croatia"	116878	95696	0.4	-46	50996	63	0.2	6	1362	0.07		
"Czech Republic"	89147	71842	0.3	-47	4457250	28	1	4	2987	0.1		
"Tunisia"	77560	-564947	0.3	17	35	78	0.10	-1	3411	0.06		
"Egypt"	63740	-732430	0.2	2	79	46	0.3	-1	5219	0.05		
"Bulgaria"	63120	-76382	0.2	89	145	57	0.2	6	2237	0.05		
"Belgium"	53595	-741131	0.2	-7	1189	12	2.4	3	2709	0.08		
"Morocco"	36434	-40316	0.1	-2	166	52	0.3	4	4316	0.07		
"Japan"	33981	-270	0.1	45	-49	4	3.5	1	6256	0.09		
"Estonia"	31455	30402	0.1			73	0.1	6	2314	0.06		
"Malaysia"	30336	11155	0.1	-58	4640	25	1.1	3	5172	0.09		
"Brazil"	21055	-292349	0.1	-11	-13	26	1	6	10879	0.09		
"Hungary"	17214	4508	0.1	-54	15988	33	0.6	6	2180	0.09		
"Malta"	15888	-32562	0.1	-4	76	120	0.03	1	3249	0.08		
"Romania"	15450	-83493	0.1	36	170	37	0.5	6	1891	0.07		
"Portugal"	13670	-28051	0	-11		40	0.4	2	2788	0.14		
"Korea, Republic of"	12523	-416007	0	-66	-36	9	2.8	4	5699	0.09		
"Indonesia"	10483	-7005	0	-63	1377	30	0.9	2	5872	0.11		
"Mexico"	7876	7876	0	409	23767	13	2.3	2	7039	0.24		
"Serbia"	7457	-15454	0	337	2349	65	0.2	9	2497	0.06		
"Pakistan"	4132	-7579	0	-10	-17	47	0.3	2	4850	0.11		
"Cyprus"	3828	-209894	0	-63	191300	105	0.05	-1	3118	0.09		
"Moldova, Republic of"	580	-1567	0	505	199	118	0.03	8	2317	0.08		
"Mauritania"	387	315	0	-6	62	146	0.02	1	5817	0.07		
"Senegal"	321	321	0	-69	6506	110	0.04	4	6632	0.05		
"Taipei, Chinese"	259	-13527	0	-58	-4	17	1.7	8	5007	0.1		
"Nigeria"	181	-735	0	-1	3634	53	0.2	17	7792	0.1		
"Canada"	177	-58197	0	-76	285	14	2.2	1	5042	0.26		
"Congo"	111	110	0	92		154	0.01	-18	6851	0.07		
"Saudi Arabia"	92	-119388	0		-99	32	0.7	3	5816	0.07		
"Hong Kong, China"	64	-16789	0	-2	137	5	3.3	3	2841	0.22		
"Benin"	45	-117	0	81	6	149	0.01	-2	6481	0.07		
