Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Lithuania's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Lithuania (%)	
"World"	40813701	-3736292	100	7	24		100	3				
"Russian Federation"	4421465	-965010	10.8	-1	1	21	1.3	5	4187	0.09		
"Latvia"	3827477	407062	9.4	6	26	77	0.1	7	1575	0.08		
"Germany"	3345658	-2321082	8.2	10	26	3	6.5	3	3376	0.05		
"Poland"	3225141	-2143955	7.9	4	54	18	1.5	8	3121	0.08		
"United States of America"	2556801	1424770	6.3	9	76	1	13.4	3	7938	0.08		
"Netherlands"	2062929	-263598	5.1	20	20	8	2.8	5	3706	0.07		
"Estonia"	2001327	495414	4.9	6	32	73	0.1	6	2314	0.06		
"Sweden"	1814641	114195	4.4	4	21	31	0.9	3	2128	0.07		
"United Kingdom"	1589807	1200854	3.9	10	14	7	3.2	1	3930	0.06		
"Ukraine"	1550552	1026722	3.8	13	52	48	0.3	7	3255	0.06		
"Belarus"	1240265	-312617	3	1	4	61	0.2	2	2268	0.23		
"Norway"	1074202	861064	2.6	5	11	39	0.5	3	3470	0.06		
"Denmark"	1002021	319640	2.5	7	18	35	0.6	5	2182	0.08		
"France"	977482	-432115	2.4	6	18	6	3.2	1	3195	0.06		
"Italy"	933048	-1074337	2.3	7	32	11	2.5	2	2891	0.06		
"Belgium"	803117	-296026	2	16	15	12	2.4	3	2709	0.08		
"Finland"	715249	-548461	1.8	9	8	44	0.4	3	2842	0.07		
"Turkey"	610572	292241	1.5	11	57	22	1.2	3	4285	0.05		
"Spain"	520549	-214768	1.3	8	38	15	1.9	3	3890	0.05		
"Czech Republic"	493138	-337405	1.2	10	15	28	1	4	2987	0.1		
"Kazakhstan"	420561	-892615	1	-2	-6	58	0.2	6	3017	0.25		
"Austria"	409300	-106076	1	31	31	27	1	3	1514	0.18		
"Hungary"	337855	35024	0.8	9	44	33	0.6	6	2180	0.09		
"Singapore"	298283	285403	0.7	-10	254	16	1.9	3	5773	0.07		
"China"	270338	-1584844	0.7	11	-24	2	11.1	5	6416	0.04		
"Nigeria"	254751	253933	0.6	46	-5	53	0.2	17	7792	0.1		
"Switzerland"	231276	140559	0.6	7	42	20	1.5	4	3384	0.07		
"Romania"	194383	25592	0.5	15	49	37	0.5	6	1891	0.07		
"Uzbekistan"	183355	105180	0.4	1	15	74	0.1	16	3412	0.12		
"Ireland"	167411	-8073	0.4	12	47	36	0.5	4	3265	0.1		
"Slovakia"	160532	-123643	0.4	9	40	38	0.5	4	2664	0.07		
"Canada"	158097	126593	0.4	39	11	14	2.2	1	5042	0.26		
"South Africa"	151275	112780	0.4	28	114	41	0.4	-1	9230	0.07		
"Australia"	128987	120054	0.3	29	10	24	1.1	1	10262	0.1		
"Korea, Republic of"	120233	40046	0.3	2	83	9	2.8	4	5699	0.09		
"Saudi Arabia"	117188	91761	0.3	-9	-44	32	0.7	3	5816	0.07		
"Bulgaria"	116927	15995	0.3	14	19	57	0.2	6	2237	0.05		
"Ship stores and bunkers"	101358	101358	0.2	-8	15	75	0.1	-11		0.16		
"India"	96152	-10345	0.2	11	18	10	2.6	2	5793	0.05		
"Japan"	92318	-11457	0.2	-19	-1	4	3.5	1	6256	0.09		
"Portugal"	91033	-48294	0.2	-1	33	40	0.4	2	2788	0.14		
"Mexico"	89807	76841	0.2	32	288	13	2.3	2	7039	0.24		
"Israel"	88118	56588	0.2	16	-11	42	0.4	4	5483	0.07		
"United Arab Emirates"	81490	69645	0.2	-12	34	29	0.9	-2	5715	0.08		
"Greece"	79959	13625	0.2	19	31	45	0.3	4	2847	0.05		
"Brazil"	75385	46235	0.2	25	193	26	1	6	10879	0.09		
"Croatia"	70360	23824	0.2	16	32	63	0.2	6	1362	0.07		
