Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Luxembourg's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Luxembourg (%)	
"World"	16247127	-9290021	100	6	20		100	3				
"Germany"	4078909	-1957509	25.1	0	16	3	6.5	3	3376	0.05		
"France"	2604472	-517278	16	5	19	6	3.2	1	3195	0.06		
"Belgium"	2077803	-3924925	12.8	4	24	12	2.4	3	2709	0.08		
"Netherlands"	1044911	-32485	6.4	4	41	8	2.8	5	3706	0.07		
"Italy"	690452	-98832	4.2	4	29	11	2.5	2	2891	0.06		
"United States of America"	425027	-442661	2.6	110	38	1	13.4	3	7938	0.08		
"Poland"	424482	-35835	2.6	3	23	18	1.5	8	3121	0.08		
"United Kingdom"	415953	-106228	2.6	-4	-11	7	3.2	1	3930	0.06		
"Spain"	393820	50692	2.4	2	17	15	1.9	3	3890	0.05		
"Austria"	309075	128918	1.9	2	22	27	1	3	1514	0.18		
"China"	247457	-512187	1.5	137	18	2	11.1	5	6416	0.04		
"Europe Othr. Nes"	218811	-1267579	1.3	-7	44							
"Switzerland"	217069	-44695	1.3	483	28	20	1.5	4	3384	0.07		
"Sweden"	205780	72142	1.3	-1	11	31	0.9	3	2128	0.07		
"Czech Republic"	203873	-49993	1.3	0	39	28	1	4	2987	0.1		
"Russian Federation"	169991	126155	1	141	37	21	1.3	5	4187	0.09		
"Special categories"	150776	100863	0.9	17	57							
"Canada"	146713	12025	0.9	104	12	14	2.2	1	5042	0.26		
"Turkey"	142901	67749	0.9		-20	22	1.2	3	4285	0.05		
"Hungary"	110438	-46950	0.7	5	27	33	0.6	6	2180	0.09		
"Denmark"	101388	18746	0.6	-4	18	35	0.6	5	2182	0.08		
"Japan"	97531	-395232	0.6	522	20	4	3.5	1	6256	0.09		
"Norway"	96353	61676	0.6	366	30	39	0.5	3	3470	0.06		
"Mexico"	95739	41039	0.6	77	127	13	2.3	2	7039	0.24		
"Romania"	94089	53968	0.6	11	8	37	0.5	6	1891	0.07		
"Portugal"	87059	-26898	0.5	6	11	40	0.4	2	2788	0.14		
"Finland"	83325	33385	0.5	8	41	44	0.4	3	2842	0.07		
"Korea, Republic of"	75883	-42351	0.5		23	9	2.8	4	5699	0.09		
"Ireland"	66773	-38343	0.4	1	17	36	0.5	4	3265	0.1		
"Viet Nam"	65782	-159644	0.4	84	25	19	1.5	8	3535	0.19		
"Slovakia"	65548	-61359	0.4	2	27	38	0.5	4	2664	0.07		
"Slovenia"	47869	18357	0.3	3	14	55	0.2	10	2404	0.07		
"India"	47656	5183	0.3		4	10	2.6	2	5793	0.05		
"Brazil"	47499	29166	0.3		42	26	1	6	10879	0.09		
"South Africa"	41286	-82	0.3	132	12	41	0.4	-1	9230	0.07		
"Taipei, Chinese"	38706	-33623	0.2		-11	17	1.7	8	5007	0.1		
"Hong Kong, China"	36784	31702	0.2	148	-18	5	3.3	3	2841	0.22		
"Greece"	36321	22997	0.2	4	29	45	0.3	4	2847	0.05		
"Lithuania"	33400	-16538	0.2	9	20	59	0.2	7	1630	0.07		
"Saudi Arabia"	32608	28588	0.2	109	-11	32	0.7	3	5816	0.07		
"United Arab Emirates"	31673	13768	0.2		-33	29	0.9	-2	5715	0.08		
"Australia"	28393	23811	0.2	670	39	24	1.1	1	10262	0.1		
"Indonesia"	27592	-28696	0.2		72	30	0.9	2	5872	0.11		
"Bulgaria"	26576	18211	0.2	3	-17	57	0.2	6	2237	0.05		
"Singapore"	26227	19356	0.2		8	16	1.9	3	5773	0.07		
"Thailand"	25744	-14251	0.2	181	25	23	1.2	2	4905	0.09		
"Egypt"	24560	19870	0.2		-8	46	0.3	-1	5219	0.05		
"Nigeria"	23997	23967	0.1	107	-8	53	0.2	17	7792	0.1		
"New Zealand"	23706	19507	0.1		618	56	0.2	3	11141	0.09		
"Pakistan"	22996	16332	0.1		274	47	0.3	2	4850	0.11		
"Azerbaijan"	17755	17639	0.1		-11	98	0.05	5	3712	0.09		
"Serbia"	17342	9741	0.1		23	65	0.2	9	2497	0.06		
"Ukraine"	15463	-47072	0.1		12	48	0.3	7	3255	0.06		
"Malaysia"	13744	-19405	0.1		27	25	1.1	3	5172	0.09		
"Jordan"	13033	12762	0.1		14	84	0.08	0	5167	0.07		
"Côte d'Ivoire"	13029	-5039	0.1		132	93	0.06	9	6793	0.08		
