Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Macedonia, North's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Macedonia, North (%)	
"Total"	9166826	-998500	100	7	23		100	3				
"Germany"	4118005	2644516	44.9	7	28	3	6.5	3	3376	0.05		
"Bulgaria"	433818	-151045	4.7	2	34	57	0.2	6	2237	0.05		
"Hungary"	385179	-106145	4.2	46	1	33	0.6	6	2180	0.09		
"Serbia"	362622	-600286	4	8	47	65	0.2	9	2497	0.06		
"China"	359606	154321	3.9	55	58	2	11.1	5	6416	0.04		
"Greece"	337799	-694304	3.7	4	34	45	0.3	4	2847	0.05		
"Czech Republic"	316623	168566	3.5	-7	17	28	1	4	2987	0.1		
"Poland"	288739	130839	3.1	19	-11	18	1.5	8	3121	0.08		
"Italy"	244131	-109554	2.7	4	40	11	2.5	2	2891	0.06		
"United Kingdom"	202345	-1846218	2.2	27	27	7	3.2	1	3930	0.06		
"Turkey"	201540	-369015	2.2	17	54	22	1.2	3	4285	0.05		
"United States of America"	177988	132312	1.9	-14	8	1	13.4	3	7938	0.08		
"Slovenia"	175790	-95477	1.9	7	39	55	0.2	10	2404	0.07		
"France"	145117	40659	1.6	28	-6	6	3.2	1	3195	0.06		
"Spain"	136475	53177	1.5	3	37	15	1.9	3	3890	0.05		
"Croatia"	127610	-44602	1.4	8	28	63	0.2	6	1362	0.07		
"Romania"	125868	-155533	1.4	-11	-4	37	0.5	6	1891	0.07		
"Netherlands"	122751	-30529	1.3	10	54	8	2.8	5	3706	0.07		
"Bosnia and Herzegovina"	114052	33767	1.2	5	28	94	0.06	3	2228	0.07		
"Slovakia"	99967	-4599	1.1	28	8	38	0.5	4	2664	0.07		
"Switzerland"	98566	6366	1.1	6	24	20	1.5	4	3384	0.07		
"Russian Federation"	94551	13352	1	5	1	21	1.3	5	4187	0.09		
"Austria"	69524	-85752	0.8	2	23	27	1	3	1514	0.18		
"Belgium"	66250	-36150	0.7	-23	-65	12	2.4	3	2709	0.08		
"Sweden"	38787	3201	0.4	20	25	31	0.9	3	2128	0.07		
"Finland"	35215	32423	0.4	78	72	44	0.4	3	2842	0.07		
"Montenegro"	31835	27174	0.3	-1	24	152	0.01	0	2382	0.08		
"Mexico"	25909	25907	0.3	10	32	13	2.3	2	7039	0.24		
"Ukraine"	21533	-99174	0.2	12	39	48	0.3	7	3255	0.06		
"Japan"	20023	3551	0.2	39	23	4	3.5	1	6256	0.09		
"Saudi Arabia"	16822	16573	0.2	77	-35	32	0.7	3	5816	0.07		
"Norway"	13537	12443	0.1	7	44	39	0.5	3	3470	0.06		
"Indonesia"	13522	11592	0.1	19	123	30	0.9	2	5872	0.11		
"Brazil"	13137	-4187	0.1	26	200	26	1	6	10879	0.09		
"Belarus"	11267	9016	0.1	-20	14	61	0.2	2	2268	0.23		
"Denmark"	11250	-2899	0.1	10	32	35	0.6	5	2182	0.08		
"Canada"	10412	7209	0.1	-3	-19	14	2.2	1	5042	0.26		
"Portugal"	9110	-11732	0.1	-5	34	40	0.4	2	2788	0.14		
"Korea, Republic of"	8231	624	0.1	34	-2	9	2.8	4	5699	0.09		
"Australia"	7844	4873	0.1	5	-4	24	1.1	1	10262	0.1		
"Israel"	7749	5141	0.1	7	73	42	0.4	4	5483	0.07		
"Moldova, Republic of"	6141	2458	0.1	0	-1	118	0.03	8	2317	0.08		
"South Africa"	5848	5479	0.1	-7	69	41	0.4	-1	9230	0.07		
"Taipei, Chinese"	5374	1155	0.1	-16	191	17	1.7	8	5007	0.1		
"Luxembourg"	5071	3642	0.1	1	31	71	0.1	3	1488	0.14		
"Morocco"	4809	-11506	0.1	67	30	52	0.3	4	4316	0.07		
"Thailand"	4342	-3741	0	28	162	23	1.2	2	4905	0.09		
