Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Madagascar's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Madagascar (%)	
"World"	2718729	-1661615	100	-5	39		100	3				
"France"	536757	289294	19.7	-6	19	6	3.2	1	3195	0.06		
"United States of America"	506939	401594	18.6	-4	15	1	13.4	3	7938	0.08		
"China"	368505	-631306	13.6	13	213	2	11.1	5	6416	0.04		
"Japan"	239799	130967	8.8	4	289	4	3.5	1	6256	0.09		
"Canada"	148228	138866	5.5	18	135	14	2.2	1	5042	0.26		
"Netherlands"	143812	119237	5.3	-5	68	8	2.8	5	3706	0.07		
"Germany"	126585	32173	4.7	-12	-22	3	6.5	3	3376	0.05		
"India"	105347	-286489	3.9	4	37	10	2.6	2	5793	0.05		
"South Africa"	90216	-103776	3.3	-4	53	41	0.4	-1	9230	0.07		
"Taipei, Chinese"	45967	14133	1.7	3	229	17	1.7	8	5007	0.1		
"Indonesia"	41202	-16850	1.5	7	84	30	0.9	2	5872	0.11		
"Singapore"	32803	29032	1.2	-27	121	16	1.9	3	5773	0.07		
"Switzerland"	32059	24912	1.2	18	85	20	1.5	4	3384	0.07		
"Mauritius"	29194	-96574	1.1	-27	45	133	0.02	-2	7320	0.08		
"United Kingdom"	27175	1923	1	-13	-1	7	3.2	1	3930	0.06		
"Belgium"	24028	-16166	0.9	-7	39	12	2.4	3	2709	0.08		
"Viet Nam"	23434	-16857	0.9	-20	58	19	1.5	8	3535	0.19		
"United Arab Emirates"	22884	-204195	0.8	-25	-70	29	0.9	-2	5715	0.08		
"Spain"	18605	-28311	0.7	-25	-41	15	1.9	3	3890	0.05		
"Italy"	18186	-50629	0.7	-14	1	11	2.5	2	2891	0.06		
"Korea, Republic of"	12334	-35351	0.5	-37	-66	9	2.8	4	5699	0.09		
"Sweden"	11312	2875	0.4	-24	-29	31	0.9	3	2128	0.07		
"Turkey"	10770	-61060	0.4	18	-4	22	1.2	3	4285	0.05		
"Kenya"	8878	5249	0.3	-11	-31	80	0.09	2	6680	0.08		
"Portugal"	7496	-2491	0.3	15	9	40	0.4	2	2788	0.14		
"Comoros"	7367	6168	0.3	2	-13	192	0	18	5731	0.22		
"Australia"	7223	-21332	0.3	-14	22	24	1.1	1	10262	0.1		
"Morocco"	5869	-1217	0.2	-20	-57	52	0.3	4	4316	0.07		
"Tanzania, United Republic of"	5040	3048	0.2	-6	289	102	0.05	7	6633	0.1		
"Malaysia"	4727	-144277	0.2	9	-5	25	1.1	3	5172	0.09		
