Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Maldives's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Maldives (%)	
"World"	151581	-2428969	100	-6	-7		100	3				
"Thailand"	70183	-3221	46.3	-6	-1	23	1.2	2	4905	0.09		
"Germany"	17463	-34362	11.5	0	11	3	6.5	3	3376	0.05		
"United Kingdom"	10394	-12354	6.9	-5	-11	7	3.2	1	3930	0.06		
"France"	6167	-23232	4.1	-15	-53	6	3.2	1	3195	0.06		
"India"	5958	-309167	3.9	18	79	10	2.6	2	5793	0.05		
"Japan"	5449	-36277	3.6	10	111	4	3.5	1	6256	0.09		
"United States of America"	4405	-61563	2.9	-25	-49	1	13.4	3	7938	0.08		
"Mauritius"	4312	3112	2.8		528	133	0.02	-2	7320	0.08		
"Netherlands"	4163	-16114	2.7	54	74	8	2.8	5	3706	0.07		
"Italy"	3188	-33345	2.1	-13	-53	11	2.5	2	2891	0.06		
"Switzerland"	2798	-7861	1.8	-18	-5	20	1.5	4	3384	0.07		
"Bangladesh"	2697	-3443	1.8	33	12	49	0.3	6	4172	0.15		
"Sri Lanka"	2351	-137714	1.6	-23	-49	85	0.08	-3	4351	0.16		
"Viet Nam"	2130	-11447	1.4	3	-21	19	1.5	8	3535	0.19		
"Hong Kong, China"	1624	-21135	1.1	7	-3	5	3.3	3	2841	0.22		
"Costa Rica"	1155	1103	0.8	25	-52	86	0.08	3	6987	0.22		
"Spain"	757	-16441	0.5	-32	-65	15	1.9	3	3890	0.05		
"Ecuador"	732	165	0.5	34		69	0.1	3	9174	0.12		
"Taipei, Chinese"	612	-4591	0.4	-32	-23	17	1.7	8	5007	0.1		
"Malaysia"	543	-139328	0.4	56	136	25	1.1	3	5172	0.09		
"Korea, Republic of"	489	-20646	0.3	-41		9	2.8	4	5699	0.09		
"Indonesia"	478	-50208	0.3		4	30	0.9	2	5872	0.11		
"Norway"	466	-54	0.3	73	-48	39	0.5	3	3470	0.06		
"Canada"	428	-26687	0.3	71	-64	14	2.2	1	5042	0.26		
"Poland"	393	-5163	0.3	6	36	18	1.5	8	3121	0.08		
"United Arab Emirates"	354	-323640	0.2	-13	-11	29	0.9	-2	5715	0.08		
"Seychelles"	271	248	0.2			187	0	-7	6627	0.06		
"Libya, State of"	269	269	0.2			89	0.07	12	3475	0.08		
"Serbia"	267	61	0.2		-50	65	0.2	9	2497	0.06		
"Finland"	197	-1534	0.1	-3	30	44	0.4	3	2842	0.07		
"Belgium"	172	-8099	0.1	-28	-18	12	2.4	3	2709	0.08		
"Ireland"	119	-2069	0.1	-58	-79	36	0.5	4	3265	0.1		
