Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Malta's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Malta (%)	
"World"	3200432	-3874605	100	1	20		100	3				
"Germany"	418090	38873	13.1	-3	-8	3	6.5	3	3376	0.05		
"Italy"	293405	-1283178	9.2	-15	60	11	2.5	2	2891	0.06		
"France"	184966	-286226	5.8	-10	-23	6	3.2	1	3195	0.06		
"Japan"	176285	90021	5.5	-5	23	4	3.5	1	6256	0.09		
"Singapore"	141665	88719	4.4	-3	-4	16	1.9	3	5773	0.07		
"Hong Kong, China"	131231	114060	4.1	-1	-13	5	3.3	3	2841	0.22		
"United States of America"	129316	29685	4	-4	-2	1	13.4	3	7938	0.08		
"United Kingdom"	125895	-221922	3.9	4	144	7	3.2	1	3930	0.06		
"Ship stores and bunkers"	118322	60441	3.7	-17	163	75	0.1	-11		0.16		
"Greece"	83988	-101142	2.6	69	504	45	0.3	4	2847	0.05		
"Hungary"	77603	64378	2.4	61	28	33	0.6	6	2180	0.09		
"China"	74354	-287601	2.3	14	58	2	11.1	5	6416	0.04		
"Korea, Republic of"	63120	-28408	2	5	68	9	2.8	4	5699	0.09		
"Poland"	61807	27319	1.9	20	3	18	1.5	8	3121	0.08		
"Bulgaria"	61004	37809	1.9	61	458	57	0.2	6	2237	0.05		
"Philippines"	60874	9708	1.9	45	-7	34	0.6	2	4354	0.09		
"Netherlands"	55528	-283565	1.7	11	-5	8	2.8	5	3706	0.07		
"Sudan"	54563	54562	1.7	225	45	122	0.03	-2		0.13		
"Libya, State of"	48450	32562	1.5	-18	-30	89	0.07	12	3475	0.08		
"Spain"	44150	-378077	1.4	-11	17	15	1.9	3	3890	0.05		
"India"	42572	-155935	1.3	33	53	10	2.6	2	5793	0.05		
"Ireland"	41897	-238454	1.3	92	40	36	0.5	4	3265	0.1		
