Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Moldova, Republic of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Moldova, Republic of (%)	
"World"	3144476	-4032363	100	4	27		100	3				
"Romania"	833478	3412	26.5	6	18	37	0.5	6	1891	0.07		
"Turkey"	313960	-229704	10	31	83	22	1.2	3	4285	0.05		
"Russian Federation"	276067	-777481	8.8	2	27	21	1.3	5	4187	0.09		
"Germany"	245446	-301301	7.8	8	9	3	6.5	3	3376	0.05		
"Italy"	240036	-204595	7.6	-4	12	11	2.5	2	2891	0.06		
"Switzerland"	118855	81204	3.8	22	94	20	1.5	4	3384	0.07		
"Poland"	108508	-153109	3.5	2	-1	18	1.5	8	3121	0.08		
"Ukraine"	92767	-574509	3	6	34	48	0.3	7	3255	0.06		
"Czech Republic"	79001	-35938	2.5	29	-2	28	1	4	2987	0.1		
"Bulgaria"	77766	550	2.5	2	34	57	0.2	6	2237	0.05		
"Belarus"	67811	-77480	2.2	-12	3	61	0.2	2	2268	0.23		
"United Kingdom"	65381	571	2.1	-19	53	7	3.2	1	3930	0.06		
"Spain"	62798	-37892	2	21	81	15	1.9	3	3890	0.05		
"Greece"	44502	2587	1.4	5	65	45	0.3	4	2847	0.05		
"Hungary"	41801	-79797	1.3	50	53	33	0.6	6	2180	0.09		
"Netherlands"	35787	-41029	1.1	5	0	8	2.8	5	3706	0.07		
"Area Nes"	33543	25035	1.1	-14	53							
"France"	32422	-138252	1	-13	9	6	3.2	1	3195	0.06		
"United States of America"	31744	-75672	1	13	24	1	13.4	3	7938	0.08		
"Lebanon"	24831	24620	0.8	23	114	97	0.06	-12	3592	0.06		
"Serbia"	24207	-5446	0.8	9	144	65	0.2	9	2497	0.06		
"Austria"	22006	-75725	0.7	-16	-3	27	1	3	1514	0.18		
"Belgium"	20868	-31477	0.7	8	67	12	2.4	3	2709	0.08		
